gene,trait
ENSG00000168329,CAD
ENSG00000198670,CAD
ENSG00000105854,CAD
ENSG00000070018,CAD
ENSG00000068305,CAD
ENSG00000130203,CAD
ENSG00000135218,CAD
ENSG00000149968,CAD
ENSG00000157193,CAD
ENSG00000023909,CAD
ENSG00000117586,CAD
ENSG00000124491,CAD
ENSG00000226979,CAD
ENSG00000001084,CAD
ENSG00000091831,CAD
ENSG00000173391,CAD
ENSG00000057593,CAD
ENSG00000100902,CAD
ENSG00000159640,CAD
ENSG00000225783,CAD
ENSG00000100079,CAD
ENST00000399220,CAD
ENST00000316300,CAD
ENST00000222572,CAD
ENST00000261349,CAD
ENST00000557942,CAD
ENST00000252486,CAD
ENST00000447544,CAD
ENST00000299855,CAD
ENST00000306052,CAD
ENST00000370238,CAD
ENST00000281834,CAD
ENST00000264870,CAD
ENST00000418386,CAD
ENST00000650454,CAD
ENST00000206249,CAD
ENST00000309539,CAD
ENST00000346342,CAD
ENST00000261479,CAD
ENST00000290866,CAD
ENST00000620145,CAD
ENST00000215886,CAD
ENSG00000177000,SCZ
ENSG00000133048,SCZ
ENSG00000162946,SCZ
ENSG00000179915,SCZ
ENSG00000157152,SCZ
ENSG00000151577,SCZ
ENSG00000157168,SCZ
ENSG00000106688,SCZ
ENSG00000102468,SCZ
ENSG00000182346,SCZ
ENST00000376590,SCZ
ENST00000255409,SCZ
ENST00000439617,SCZ
ENST00000401669,SCZ
ENST00000621198,SCZ
ENST00000383673,SCZ
ENST00000405005,SCZ
ENST00000262352,SCZ
ENST00000542664,SCZ
ENST00000375936,SCZ
ENSG00000196735,Celiac
ENSG00000179344,Celiac
ENST00000343139,Celiac
ENST00000434651,Celiac
ENSG00000085978,Crohn
ENSG00000237693,Crohn
ENSG00000136244,Crohn
ENSG00000167207,Crohn
ENSG00000105483,Crohn
ENST00000392017,Crohn
ENST00000522154,Crohn
ENST00000258743,Crohn
ENST00000647318,Crohn
ENST00000651546,Crohn
ENSG00000125571,UC
ENST00000263326,UC
ENSG00000162594,IBD
ENSG00000163362,IBD
ENSG00000125571,IBD
ENSG00000085978,IBD
ENSG00000237693,IBD
ENSG00000085563,IBD
ENSG00000128604,IBD
ENSG00000110324,IBD
ENSG00000167207,IBD
ENSG00000105329,IBD
ENSG00000105483,IBD
ENSG00000243646,IBD
ENST00000347310,IBD
ENST00000413687,IBD
ENST00000263326,IBD
ENST00000392017,IBD
ENST00000522154,IBD
ENST00000622132,IBD
ENST00000357234,IBD
ENST00000227752,IBD
ENST00000647318,IBD
ENST00000221930,IBD
ENST00000651546,IBD
ENST00000290200,IBD
ENSG00000143226,SLE
ENSG00000072694,SLE
ENSG00000117322,SLE
ENSG00000187554,SLE
ENSG00000187554,SLE
ENSG00000138378,SLE
ENSG00000213689,SLE
ENSG00000213689,SLE
ENSG00000163687,SLE
ENSG00000128604,SLE
ENSG00000166428,SLE
ENSG00000213918,SLE
ENST00000271450,SLE
ENST00000358671,SLE
ENST00000367057,SLE
ENST00000642603,SLE
ENST00000642603,SLE
ENST00000392320,SLE
ENST00000625293,SLE
ENST00000625293,SLE
ENST00000394549,SLE
ENST00000357234,SLE
ENST00000392593,SLE
ENST00000246949,SLE
ENSG00000196126,MS
ENSG00000179344,MS
ENSG00000067182,MS
ENST00000360004,MS
ENST00000434651,MS
ENST00000162749,MS
ENSG00000122223,RA
ENSG00000136634,RA
ENSG00000197208,RA
ENSG00000204498,RA
ENSG00000136244,RA
ENSG00000179583,RA
ENST00000368034,RA
ENST00000423557,RA
ENST00000200652,RA
ENST00000376148,RA
ENST00000258743,RA
ENST00000324288,RA
