symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
HMGCR	0.7368126050950752	0.8030295728748197	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9968440981841677	No data	No data	No data	No data	No data	No data	0.6479682980403072	No data	No data	1	0	0	1	1	1	0.6734250000000003	1	-0.7436293436293436	-0.3074028175658705	-1	-1	No data	No data	0.5	-1
PCSK9	0.7334448370207028	0.9512783448429059	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9365851921644013	No data	No data	No data	No data	No data	No data	0.9466389573122997	No data	No data	1	0	1	1	1	1	0	No data	0.4529509100937672	-0.7840442231312247	0	No data	No data	0	1	0.5
GUCY1B1	0.6909932360569491	0.5676257334267695	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9947249706972814	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.9434550000000002	No data	-0.2889134031991175	-0.8741684791672027	0	No data	No data	0	-1	-1
PDE5A	0.687817797859208	0.7525970556447403	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9293171602246638	No data	No data	No data	No data	No data	No data	0.6273731341670745	No data	No data	1	0	0	1	1	1	0.4628549999999997	0	-0.4304467733039161	No data	0	-1	No data	0	-1	-1
PDE3A	0.6620260908191969	0.6231998828007812	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9326798226640981	No data	No data	No data	No data	No data	No data	0.02262853524443256	No data	No data	1	1	0	1	1	0	0.1893099999999997	No data	-0.34583563154991726	0	0	-1	No data	0	0.5	0
CACNA1C	0.6249939669369031	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9972391674504215	No data	No data	No data	No data	No data	No data	0.6165690086058928	No data	No data	1	1	0	1	1	0	0.7708150000000004	No data	-0.9643684500827358	-0.9656810978059094	0	-1	No data	-0.19434000000000004	0.5	0
P2RY12	0.6156733268909356	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9970091727144503	No data	No data	No data	No data	No data	No data	0.31453400071516613	No data	No data	1	1	0	1	1	0	0.3567250000000001	0	0.3330391616105901	-0.17665677748815223	0	-1	No data	0	1	0
PTGS2	0.6154141336173655	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9918987667410725	No data	No data	No data	No data	No data	No data	0.4082150551092573	No data	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8618863761720905	-0.9746906083086682	0	-1	No data	-0.027317500000000015	0.5	0
ACE	0.613684666363993	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9611597900331006	No data	No data	No data	No data	No data	No data	0.8384863139036737	No data	0.2871257157119686	1	0	1	1	1	1	0.16539	No data	-0.15377826806398232	-0.9741134275683322	0	-1	No data	0	0.5	0
PDE4B	0.6108593873522373	0.3182776600599924	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.8223938223938224	-0.7027944885547068	0	-1	No data	-0.26630499999999985	0.5	-1
