symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ITGA4	0.7138778981132332	0.7676435627206158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9803861934020843	No data	No data	No data	No data	No data	No data	0.08900331079277773	No data	No data	1	1	0	1	1	0	0.24418500000000024	No data	-0.5645890788747931	-0.8852086880129758	0	No data	No data	0	0.75	0
IL12B	0.7108321874540819	0.8464514057476531	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9548537641749005	No data	No data	No data	No data	No data	No data	0.12592606757977853	No data	No data	1	0	1	0	0	0	0	No data	0.05195808052950901	-0.7718641284023925	0	No data	No data	No data	0.5	1
TNF	0.6274627447871838	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9923998081673473	No data	No data	No data	No data	No data	No data	0.5887329244503795	0.013494346275827055	0.4555546318869283	1	1	1	1	1	1	0	0	-0.5784886927744071	-0.9827379260198055	0	-1	No data	0	0.5	0
NR3C1	0.6096175194680566	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9951977325884773	No data	No data	No data	No data	No data	No data	0.1515359357467353	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	-1	No data	0	-1	-1
ITGB7	0.605726804774771	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9766119509967022	No data	No data	No data	No data	No data	No data	0.04255515583281347	No data	0.37633956026147397	1	1	0	1	0	0	0.3045099999999998	No data	-0.19867622724765577	0	0	No data	No data	0	0.5	0
TYK2	0.5690021800086678	0.7694323006368313	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6527769505425564	No data	No data	No data	No data	No data	No data	0.1502478783608893	No data	No data	1	0	0	1	1	0	0	1	-0.5373414230557088	-0.9015325860226683	0	No data	No data	0	-1	0
JAK2	0.5347487499784986	0.7091798183743817	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6523789609029562	No data	No data	No data	No data	No data	No data	0.33059384924681434	No data	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.20904578047435185	-0.8880064639175258	0	-1	-1	0	-1	-1
IL2RA	0.47710753251542987	0.7397730594700509	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	0.21330115217464318	0.058721840678926364	0.34652055463862397	1	0	0	0	1	0	0	No data	-0.1079977937120794	-0.8957419950085688	0	No data	No data	No data	0.5	0
IL23A	0.428667077641741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6779619817611877	No data	No data	No data	No data	No data	No data	0.2961917251009231	0.04346988110355612	0.40074798178558063	1	0	1	0	0	0	0	No data	0.6069498069498069	-0.7944153438648616	0	No data	No data	No data	1	0.5
PPAT	0.4089335551445014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6726646466194499	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.65184	No data	-0.67280750137893	0	-1	No data	No data	No data	-1	-1
PTGS2	0.40711889727720496	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6397945315257048	No data	No data	No data	No data	No data	No data	0.2569107837005316	0.400648993476229	0.2988587801058729	1	0	0	1	1	0	0.3377499999999998	0	-0.8618863761720905	-0.9746906083086682	0	-1	No data	-0.027317500000000015	0.5	0
