symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NR3C1	0.6843113654964759	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9950356586836194	0.49839408043646427	No data	No data	No data	No data	No data	0.27027250039876877	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	-1	No data	0	-1	-1
IL2RA	0.6428651889550974	0.7169362382119631	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8688345460042132	No data	No data	No data	No data	No data	No data	0.42281169867548	No data	No data	1	0	0	0	1	0	0	No data	-0.1079977937120794	-0.8957419950085688	0	No data	No data	No data	0.5	0
KEAP1	0.6232556314126461	0.15811496429291777	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9840498092381379	No data	No data	No data	No data	No data	No data	0.07333369331195601	No data	No data	1	0	0	1	1	1	0.7035249999999997	1	-0.5757308328736901	-0.42133429310470233	0	No data	-1	0	0.5	-1
MS4A1	0.621754084577596	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9879801799327996	No data	No data	No data	No data	No data	No data	0.6951615496234657	No data	No data	1	1	0	0	0	0	0	No data	0.036845008273579616	-0.06618660464602966	0	No data	No data	0	1	0
IFNAR1	0.6065172670719399	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9898961758742805	No data	No data	No data	No data	No data	No data	0.15557347443404512	No data	No data	1	1	0	0	1	0	0	No data	0.8099282956425813	-0.9420523855689313	0	No data	No data	0	-1	-1
IFNAR2	0.6048508455193923	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9898961758742805	No data	No data	No data	No data	No data	No data	0.10075073608637765	No data	No data	1	1	1	0	0	0	0	No data	-0.35013789299503584	-0.1036059307249762	0	No data	No data	0	-1	-1
S1PR1	0.602236129627218	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.981159247633675	No data	No data	No data	No data	No data	No data	0.18946911891570564	No data	No data	1	0	0	1	1	0	0.7120399999999997	1	-0.8693877551020408	-0.9479894374473465	0	No data	No data	0	-1	-1
KCNH8	0.600758921466954	0.08385859294224711	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.6115650000000002	No data	-0.26960838389409814	-0.6579755887374683	0	No data	No data	0	0.75	0.5
KCNA3	0.5954653501267934	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.24514250676577778	No data	No data	1	1	0	1	1	0	0.4347850000000001	1	-0.3206839492553778	-0.21028544455043374	0	No data	No data	-0.17825999999999986	0.5	0.5
ITGA4	0.5912651774581913	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9654658303420234	No data	No data	No data	No data	No data	No data	0.1424097995563101	No data	No data	1	1	0	1	1	0	0.24418500000000024	No data	-0.5645890788747931	-0.8852086880129758	0	No data	No data	0	0.75	0
DHODH	0.5909726538843559	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9602450301685502	No data	No data	No data	No data	No data	No data	0.23720222169103844	No data	No data	1	0	0	1	1	1	0.3797449999999998	1	0.12178709321566461	-0.6192062276137841	0	No data	No data	0	1	-1
KCNH7	0.5906933200899259	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.08814996565368505	No data	No data	1	1	0	0	0	0	0.7198999999999998	No data	-0.690457804743519	No data	0	No data	No data	0	0.5	0.5
HMGCR	0.5899475819770488	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6436101175934202	0.8055170742702947	No data	No data	No data	No data	No data	0.17997174602196547	No data	No data	1	0	0	1	1	1	0.6734250000000003	1	-0.7436293436293436	-0.3074028175658705	-1	-1	No data	No data	0.5	-1
KCNA2	0.5893946575449922	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.04542594015486835	No data	No data	1	1	0	0	1	0	0.9699399999999997	No data	-0.6478764478764478	-0.8826842077903257	0	No data	No data	-0.4789574999999999	0.75	0.5
KCNA1	0.5891656206961584	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.03789097565780432	No data	No data	1	1	0	0	1	0	0.9191899999999997	No data	-0.05824600110314393	-0.9396795002958305	0	No data	No data	-0.49495000000000006	1	0.5
KCND3	0.5891611036090456	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.037742370351721476	No data	No data	1	1	0	1	1	0	0.9694650000000002	No data	-0.8838389409817982	-0.23763370379005083	0	No data	No data	-0.34351249999999994	0.5	0
KCNQ5	0.5890764082256803	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.03495602086266821	No data	No data	1	0	0	1	1	0	0.7800449999999998	No data	-0.7749586321014892	-0.3074028175658705	0	-1	No data	0	0.5	0.5
KCNQ3	0.5886711727068296	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	0.02162438770827713	No data	1	1	0	1	1	0	0.7763750000000001	No data	-0.7328185328185328	-0.8298454933415533	0	No data	No data	0	1	0.5
KCNA4	0.5886606308891601	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	1	1	0	1	1	0	0.8698300000000003	No data	-0.9073359073359073	0	0	No data	No data	0	0.5	0.5
KCNG1	0.5885682359254889	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	0	0	0	0.6491250000000001	No data	-0.05968008825151683	-0.6440383331583812	0	No data	No data	0	1	0
KCNH4	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.49852500000000005	No data	-0.6885824600110315	No data	0	No data	No data	0	1	0.5
KCNH5	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.9038449999999998	No data	-0.626696083838941	0	0	No data	No data	-0.3243925000000001	0.5	0.5
KCND1	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.7527050000000003	No data	No data	0	0	No data	No data	-0.13446749999999988	0.5	0
KCNV2	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.1284399999999998	No data	0.9910645339216768	-0.25964616602717483	0	No data	No data	0	1	0.5
KCND2	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.9523800000000001	No data	-0.7639271924986211	No data	0	No data	No data	-0.41666750000000013	1	0
KCNH6	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.4937350000000002	No data	0.3012686155543298	-0.3301596569293125	0	No data	No data	-0.12056250000000013	0.5	0.5
KCNG4	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0	No data	0.6660783232211804	-0.24302541330773336	0	No data	No data	0	1	1
KCNH3	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.8014749999999999	No data	-0.6670711527854385	-0.3169661583445127	0	No data	No data	0	0.75	0
KCNA7	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0.7039450000000003	No data	0.43651406508549373	-0.4025292816482848	0	No data	No data	-0.15021999999999985	0.75	0.5
KCNC1	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.9914549999999999	No data	-0.8350799779371207	0	0	No data	No data	-0.32906000000000013	1	0.5
KCNS3	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.7454149999999998	No data	-0.5116381687810259	No data	0	No data	No data	0	0.5	0
KCNF1	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.8178150000000002	No data	-0.5940430226144512	-0.17073779750080204	0	No data	No data	0	0.75	0.5
KCNH2	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.8144950000000002	No data	-0.6103695532266961	-0.9137578543016966	0	-1	No data	0	0.5	0
KCNS1	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.23004000000000033	No data	0.5248758963044677	No data	0	No data	No data	0	1	0.5
KCNQ1	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.3934899999999999	1	-0.09167126309983453	-0.9432403169533373	0	-1	No data	0	0.5	0
KCNB1	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0.6853149999999999	No data	-0.8798676227247656	-0.30525744666473287	0	No data	No data	-0.13752999999999993	1	0
KCNS2	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.9056600000000004	No data	-0.2830667402095973	No data	0	No data	No data	0	0.5	0.5
KCNG2	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.38840999999999964	No data	0.9652509652509653	-0.7069835791535952	0	No data	No data	0	0.5	1
KCNQ4	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.8417250000000003	No data	-0.5661334804191946	-0.12612758426523707	0	No data	No data	0	0.5	0
KCNV1	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.7799999999999997	No data	-0.9682294539437397	-0.1165157129738259	0	No data	No data	0	1	1
KCNA5	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.3148449999999997	No data	0.36525096525096523	-0.7450871099269613	0	No data	No data	0	0.75	0
KCNC2	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.8824449999999999	No data	-0.4835079977937121	-0.30987603255488133	0	No data	No data	-0.12617499999999993	1	0.5
KCNB2	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	No data	No data	-0.8428019856591284	-0.24702891011917832	0	No data	No data	-0.04225999999999992	0.5	0.5
KCNQ2	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7534399999999998	1	-0.8907887479316051	-0.9046359692420127	0	No data	No data	0	1	0.5
KCNA10	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.6868899999999997	No data	0.10998345284059563	0	0	No data	No data	0	No data	No data
KCNG3	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.7935800000000001	No data	-0.03408714837286264	0	0	No data	No data	0	0.5	1
KCNC4	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.7044750000000001	No data	-0.2810810810810811	No data	0	No data	No data	-0.15734749999999983	0.5	0
KCNC3	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.6103050000000003	No data	-0.4987313844456701	-0.20740786302009984	0	No data	No data	0	0.5	0
KCNH1	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7168849999999999	No data	-0.6592388306674021	-0.05373224667943238	0	No data	No data	-0.32254749999999993	1	0.5
KCNA6	0.5880138661434618	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0.6408299999999997	No data	-0.20330943188086048	-0.1250770947412433	0	No data	No data	-0.12571000000000013	1	0.5
S1PR2	0.5769617177016125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9423779142111337	No data	No data	No data	No data	No data	No data	0.13360601830396573	No data	No data	1	0	0	1	1	0	0.53258	0	-0.2312189740761169	-0.9095921458069245	0	No data	No data	0	-1	0
S1PR3	0.5750819733222733	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9423779142111337	No data	No data	No data	No data	No data	No data	0.07176528292013042	No data	No data	1	1	0	1	1	0	0.3783050000000003	1	0.4755653612796471	-0.7215446031873476	0	No data	No data	0	-1	-1
S1PR5	0.5747802900349189	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9423779142111337	No data	No data	No data	No data	No data	No data	0.061840360921127636	No data	No data	1	1	0	1	1	0	0.2462299999999999	No data	No data	0	0	No data	No data	0	0.5	0
S1PR4	0.5736081353312372	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9423779142111337	No data	No data	No data	No data	No data	No data	0.01823792392834863	0.011340736534122868	No data	1	0	0	1	1	0	0.10155999999999991	1	0.9282956425813569	0	0	No data	No data	0	0.5	0
IL6ST	0.5684329356379751	0.16664232163140297	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8915860004448433	No data	No data	No data	No data	No data	No data	0.08020959281239586	No data	No data	1	1	1	0	1	1	0	No data	-0.8252619966905681	-0.9650922449321303	0	No data	-1	0	-1	-1
CD52	0.5674473256298209	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9255622912723447	No data	No data	No data	No data	No data	No data	0.1475817548805373	0.020987262412415372	No data	1	1	0	0	0	0	0	No data	0.8400441257584115	0	0	No data	No data	No data	1	0
GABBR1	0.5667522144842352	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9315044440759785	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	1	0	0	1	1	0	0.9323599999999999	No data	-0.8164368450082735	-0.8742291563168311	0	No data	No data	0	1	0
GABBR2	0.5662902396658793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9315044440759785	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.8565350000000003	No data	-0.802757859900717	-0.7199579708498954	0	No data	No data	0	1	0.5
MC2R	0.5635038507159157	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9269210458324441	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.42760999999999993	No data	0.5953667953667954	-0.8040525637959164	0	-1	No data	0	1	0.5
IL6R	0.5562890497855479	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.894236316036283	No data	No data	No data	No data	No data	No data	0.41633860215838503	No data	No data	1	1	1	0	0	0	0	No data	-0.0058466629895200795	-0.8533623799972719	0	-1	No data	0	0.5	-1
NDUFA8	0.5547540005739409	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1882846739424511	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.33139499999999983	No data	0.2445670159955875	-0.6891059635184138	0	No data	No data	No data	0.5	-1
NDUFS5	0.5545273385516982	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1882846739424511	0.8648140049855001	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	0	0	0	0	No data	0.21919470490899062	0	-1	No data	No data	No data	-1	-1
NDUFV2	0.5531510615898204	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1882846739424511	0.8628203253537947	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.5783149999999999	No data	-0.5637065637065637	-0.4025292816482848	0	No data	No data	No data	0.5	-1
NDUFS1	0.5495881265394404	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1882846739424511	0.8569595677406294	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.7042650000000001	No data	-0.22713734142305575	-0.6618650751880195	0	No data	No data	0	0.5	-1
CD19	0.5438475558909381	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8749385530646681	No data	No data	No data	No data	No data	No data	0.39298760688246076	No data	No data	1	1	0	0	0	0	0	No data	-0.5354660783232212	-0.7054171617850924	0	No data	No data	No data	0.75	0.5
NDUFS2	0.537447586155348	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1882846739424511	0.8367191092120806	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	0	1	0	0.6220300000000002	0	-0.44875896304467733	-0.6344264618669704	0	No data	No data	No data	0.5	-1
