symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NR1H4	0.5958746204466323	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9488151752027325	No data	No data	No data	No data	No data	No data	0.5042105170650993	No data	0.2764261336740041	1	0	0	1	1	1	0.5168050000000001	1	-0.5981246552675124	-0.970545134411446	0	-1	No data	0	0.5	0
PPARA	0.42955892264775836	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6652849780470669	No data	No data	No data	No data	No data	No data	0.8261366393422257	No data	No data	1	0	0	1	1	1	0.6153849999999998	1	-0.4211803640375069	-0.9588129773401152	0	-1	No data	0	0.5	-1
PPARD	0.4082969945070549	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6664328442258036	No data	No data	No data	No data	No data	No data	0.10369416962140975	No data	No data	1	0	0	1	1	1	0.6145150000000001	1	-0.8778819635962494	-0.9107754384032021	0	-1	No data	-0.08163250000000008	-1	-1
PPARG	0.3839665729226296	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6184419004244077	No data	No data	No data	No data	No data	No data	0.2630791252092939	No data	No data	1	0	0	1	1	1	0.9157899999999998	1	-0.5346938775510204	-0.9812084574342594	0	-1	-1	0	0.5	0
DHFR	0.3521274726579242	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5792229543910723	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.4919800000000002	0	0.044125758411472704	-0.8860137788537494	-1	-1	No data	-0.799465	-1	-1
IL12B	0.283050676028184	0.4322789613988718	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.13146155420060157	No data	No data	1	0	1	0	0	0	0	No data	0.05195808052950901	-0.7718641284023925	0	No data	No data	No data	0.5	1
TUBB1	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5898000000000003	No data	0.7351351351351352	-0.08945751874593927	0	No data	No data	-0.45676249999999996	0.5	0.5
TUBB2A	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.7409817981246553	-0.2552264460216541	0	No data	No data	-0.9887650000000001	0.75	-1
TUBB8	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	No data	No data	0.49630446773303927	No data	No data	No data	No data	-0.90428	0.5	0.5
TUBB6	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.8654699999999999	No data	-0.24544953116381685	0	0	No data	No data	-0.7925999999999999	-1	-1
TUBB4B	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.8172090457804744	-0.7065783296689251	0	No data	No data	-0.9606750000000002	-1	-1
TUBB	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	1	-0.9680088251516823	No data	-1	No data	No data	-0.9380624999999998	-1	-1
TUBB4A	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.5628240485383342	-0.7242999594162619	0	No data	No data	-0.9662175000000002	1	0
TUBB3	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.9888899999999999	1	-0.44920022062879206	-0.6714572120299752	0	No data	No data	-0.7833324999999999	1	0
TUBB2B	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.8560397131825703	-0.8099793946210212	0	No data	No data	-0.9887650000000001	1	0
NR3C1	0.14126419987292133	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2279740491043579	No data	No data	No data	No data	No data	No data	0.08789666115468021	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	-1	No data	0	-1	-1
SLC10A2	0.11369670017472289	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17795485403420175	No data	No data	No data	No data	No data	No data	0.18135168820227016	No data	No data	1	0	0	1	1	0	0.022990000000000066	No data	0.6591285162713734	-0.8149710409128597	0	-1	No data	0	1	0.5
KLB	0.10684964243217712	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	0.47553697946509027	No data	No data	0.5	1	0	0	0	0	0	No data	-0.5125206839492553	-0.7845592984605806	0	-1	No data	0	0.75	0.5
FGFR4	0.09417331006916871	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	0.05850489578681837	No data	No data	1	1	1	1	1	0	0.5074800000000004	1	-0.1473800330943188	0	0	No data	-1	-0.011844999999999929	0.5	0
FGF1	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	0	1	1	1	0	0.7741950000000003	0	0.13458356315499165	No data	0	No data	No data	0	1	0
CXCL10	0.09065098159558851	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.5505564358441793	No data	No data	0.5	0	1	1	0	1	0	No data	0.049531163816878054	-0.23260967282723977	0	-1	No data	0	0.5	0
CX3CL1	0.08872522535594735	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.4872019801328746	No data	No data	0.5	1	1	0	0	0	0	No data	-0.5995587424158852	0	0	No data	No data	0	-1	0
ACE	0.07899661841282445	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.16714558617015077	No data	No data	1	0	1	1	1	1	0.16539	No data	-0.15377826806398232	-0.9741134275683322	0	-1	No data	0	0.5	0
NOX1	0.0761000852170562	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.07185404288437355	No data	No data	0.5	1	0	1	1	0	0.20212999999999964	0	No data	-0.8146963029112975	0	No data	No data	0	1	0.5
NOX4	0.07508887367021057	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.03858671868173762	No data	No data	0.5	1	0	1	1	0	0.5328699999999997	No data	0.0897959183673469	-0.880895018160367	0	No data	No data	0	1	0
S1PR1	0.07447034071896741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	1	1	0	0.7120399999999997	1	-0.8693877551020408	-0.9479894374473465	0	No data	No data	0	-1	-1
ADORA2A	0.07428555079162506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	1	0.05339999999999989	1	-0.21213458356315495	-0.9333801329396502	0	-1	No data	0	0.75	0
PDE5A	0.07428555079162506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	1	0.4628549999999997	0	-0.4304467733039161	No data	0	-1	No data	0	-1	-1
PDE1C	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5134000000000001	1	-0.2172090457804744	-0.2968332104456023	0	No data	No data	0	0.5	0
PDE6H	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5783149999999999	No data	0.9340319911748483	No data	0	No data	No data	-0.5481925000000001	1	0.5
PDE6B	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6721299999999999	No data	0.43861003861003867	-0.8648155857321296	0	No data	No data	-0.29449749999999997	1	0
PDE4D	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	1	0.8640300000000003	1	-0.7921676778819636	-0.7179121096382592	0	-1	No data	-0.1131025000000001	0.5	0
