symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IL6R	0.7374828656276151	0.8457153615022177	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9928680965423373	No data	No data	No data	No data	No data	No data	0.39628699551246915	No data	No data	1	1	1	0	0	0	0	No data	-0.0058466629895200795	-0.8533623799972719	0	-1	No data	0	0.5	-1
TYK2	0.7321078109072656	0.9137812855066046	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9691194615623101	No data	No data	No data	No data	No data	No data	0.3013638653964398	No data	No data	1	0	0	1	1	0	0	1	-0.5373414230557088	-0.9015325860226683	0	No data	No data	0	-1	0
TNF	0.7162072608696888	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.9982217696611287	No data	No data	No data	No data	No data	No data	0.9791748849530013	0.017449329563606883	0.48024437627452465	1	1	1	1	1	1	0	0	-0.5784886927744071	-0.9827379260198055	0	-1	No data	0	0.5	0
JAK2	0.6886471305436167	0.5590235585809176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9836044681126818	No data	No data	No data	No data	No data	No data	0.11238054323923212	No data	0.3603205837444078	1	1	0	1	1	1	0.6863950000000003	1	-0.20904578047435185	-0.8880064639175258	0	-1	-1	0	-1	-1
JAK1	0.6714832973824333	0.448367622708904	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.983625055432432	No data	No data	No data	No data	No data	No data	0.24633245387665434	No data	0.2584313820647001	1	0	0	1	1	0	0.7400350000000003	1	-0.9731936017650303	-0.9404145109122005	0	No data	-1	0	-1	-1
IL12B	0.6557194295462961	0.7469194383272063	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8831302391709804	No data	No data	No data	No data	No data	No data	0.39368574183181704	No data	No data	1	0	1	0	0	0	0	No data	0.05195808052950901	-0.7718641284023925	0	No data	No data	No data	0.5	1
NR3C1	0.6498930068548026	0.28342607606616776	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9965563617222672	No data	No data	No data	No data	No data	No data	0.07252952154838646	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	-1	No data	0	-1	-1
IL17A	0.6262269119673357	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.982041036206686	No data	No data	No data	No data	No data	No data	0.961093652555029	No data	No data	1	0	1	1	1	0	0	No data	-0.3253171538885825	-0.8362821336384804	0	No data	No data	0	0.5	1
PTGS2	0.6130831503114816	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9991646498591135	No data	No data	No data	No data	No data	No data	0.15880647662555253	0.06166148700410628	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8618863761720905	-0.9746906083086682	0	-1	No data	-0.027317500000000015	0.5	0
TLR7	0.6111612347251963	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9832820162666674	No data	No data	No data	No data	No data	No data	0.10661079754115795	0.04522340482669109	0.38194772186944126	1	0	0	1	1	0	0.03718000000000003	0	No data	-0.8571950431104471	0	No data	No data	0	0.5	0
PTGS1	0.6098502748110134	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9988234016500662	No data	No data	No data	No data	No data	No data	0.08667985182153554	No data	No data	1	0	0	1	1	0	0.4741250000000001	1	-0.253392167677882	-0.9396768567376201	0	-1	No data	-0.040067499999999964	0.5	0
MS4A1	0.6089762087676662	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9824947340512166	No data	No data	No data	No data	No data	No data	0.37786078026892866	0.014933200757380818	No data	1	1	0	0	0	0	0	No data	0.036845008273579616	-0.06618660464602966	0	No data	No data	0	1	0
CD86	0.6074959344495379	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.985212517457472	No data	No data	No data	No data	No data	No data	0.2666125458218987	0.03336922666417508	No data	1	1	0	0	0	0	0	No data	-0.6261445118587976	-0.3219251137133483	0	No data	No data	0	0.5	0
DHFR	0.6066297893451854	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9958841650990686	No data	No data	No data	No data	No data	No data	0.03951550184475537	No data	No data	1	0	0	1	1	1	0.4919800000000002	0	0.044125758411472704	-0.8860137788537494	-1	-1	No data	-0.799465	-1	-1
JAK3	0.6028211235436611	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9686875813971367	No data	No data	No data	No data	No data	No data	0.11158811401759171	No data	0.4085531377482498	1	1	0	1	1	1	0.1014249999999997	1	-0.06254826254826251	-0.8827739924286893	0	No data	-1	0	0.5	0
TLR9	0.602749527678103	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9832820162666674	No data	No data	No data	No data	No data	No data	0.1639037624518495	No data	No data	1	0	0	1	1	0	0	0	0.2581356867071152	-0.4901107228622764	0	No data	No data	0	0.5	0.5
ALOX5	0.6018419178687728	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9746756172327039	No data	No data	No data	No data	No data	No data	0.024317231904464845	0.07992442723504707	0.2645714831205775	1	0	0	1	1	0	0.6735900000000001	0	-0.06265857694429122	-0.28247970811937057	0	No data	No data	0	0.5	0
DHODH	0.601233235813883	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9834915467406035	No data	No data	No data	No data	No data	No data	0.10982945337517949	No data	No data	1	0	0	1	1	1	0.3797449999999998	1	0.12178709321566461	-0.6192062276137841	0	No data	No data	0	1	-1
CD80	0.6012032469378922	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.985212517457472	No data	No data	No data	No data	No data	No data	0.07442345056067762	No data	No data	1	1	0	0	0	0	0	No data	-0.25570876999448433	0	0	No data	No data	0	0.5	0.5
PDE4A	0.5990306220244261	0.16299126261726893	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9409141452706576	No data	No data	No data	No data	No data	No data	0.16640667234126624	No data	No data	1	1	0	1	1	1	0.046274999999999976	0	-0.7581908439051296	No data	0	-1	No data	0	-1	-1
TRAF3IP2	0.5971950757104049	0.8636691330471338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	0.36197535613002363	0.024730415607504327	0.32334319297968095	0.75	0	0	0	0	0	0	No data	-0.3327082184225041	-0.8092864702482344	0	-1	No data	No data	-1	-1
PPAT	0.5893254647742786	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9693956402432032	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.65184	No data	-0.67280750137893	0	-1	No data	No data	No data	-1	-1
IL23A	0.5831147561431625	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9197929977586355	No data	No data	No data	No data	No data	No data	0.6716286949245059	No data	0.26122786373371354	1	0	1	0	0	0	0	No data	0.6069498069498069	-0.7944153438648616	0	No data	No data	No data	1	0.5
