symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
DRD2	0.7170140637220973	0.6348778909052525	No data	0.012158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9994395019769673	No data	No data	No data	No data	No data	No data	0.9231660684311844	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.8243794815223386	-0.955247847655318	0	-1	No data	0	0.75	0
DRD3	0.6602146439167785	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	0.997845439009453	No data	No data	No data	No data	No data	No data	0.3787539836484015	No data	0.29995305554157387	1	1	0	1	1	0	0.5125	1	-0.5631549917264203	-0.8626893612067676	0	-1	No data	0	1	1
HTR2A	0.6327266903299054	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9994148161654782	No data	No data	No data	No data	No data	No data	0.4095033184916931	No data	0.6454494156558882	1	1	0	1	1	0	0.5753700000000002	1	-0.529288472145615	-0.17435141675146093	0	-1	No data	0	1	0.5
HTR1A	0.6250169996177716	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9957522223867392	No data	No data	No data	No data	No data	No data	0.5332339856417999	No data	0.256121245033776	1	1	0	1	1	0	0.40758500000000025	1	-0.013017098731384458	-0.29320286964309744	0	-1	No data	0	0.75	0.5
DRD4	0.6192761497638324	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9977500077059833	No data	No data	No data	No data	No data	No data	0.41824470193249674	No data	No data	1	1	0	1	1	0	0	1	0.9805846662989519	-0.27157138741267045	0	-1	No data	0	-1	0
HTR2C	0.613384752934872	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9990697573392477	No data	No data	No data	No data	No data	No data	0.19803170063511466	No data	No data	1	1	0	1	1	0	0.5305700000000002	1	No data	-0.9010071148307066	0	-1	No data	0	0.75	0.5
GRIN2A	0.597235315323574	0.787553093028816	0.1899783742536316	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6519728811996861	No data	No data	No data	No data	No data	No data	0.8601377758533122	No data	No data	1	0	0	1	1	0	0.7643450000000002	1	-0.9111969111969112	-0.3220483859011447	0	-1	-1	0	1	0.5
GRM3	0.5793994006314126	0.802353839739921	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.531701029367848	No data	No data	No data	No data	No data	No data	0.8005014613414875	No data	No data	0.75	1	0	1	1	0	0.83504	0	-0.6976282404853833	-0.2324989359228255	0	-1	No data	-0.1837325	1	0.5
CACNA1C	0.48360257691889896	0.76621262208358	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	No data	No data	No data	0.5179900436852148	No data	No data	1	1	0	1	1	0	0.7708150000000004	No data	-0.9643684500827358	-0.9656810978059094	0	-1	No data	-0.19434000000000004	0.5	0
GABRA2	0.4699346800106638	0.38229288737874334	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6725588254645731	No data	No data	No data	No data	No data	No data	0.21936679696827865	No data	No data	1	1	0	1	1	0	0.8891350000000002	No data	-0.7001654715940431	-0.8872765633834762	0	-1	No data	-0.4068725000000001	1	0.5
SCN1A	0.46968372403737446	0.4518516025486737	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	0.03603340933176881	No data	No data	1	1	0	1	1	0	0.9079149999999998	No data	-0.9952564809707667	-0.9660219998161018	0	-1	No data	-0.6864100000000001	0.5	0.5
GABRB3	0.4696373845442762	0.5549667453219803	No data	0.2279740491043579	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6058199267865807	No data	No data	No data	No data	No data	No data	0.21006188275717028	No data	No data	1	1	0	1	1	0	0.8625799999999998	No data	-0.7534473248758963	-0.9013201084125905	0	-1	No data	-0.4714600000000001	0.5	0
CACNA1I	0.4592209025721279	0.6979859209982273	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.7373587899944065	No data	0.5616064708336155	1	1	0	1	1	0	0.5816450000000003	No data	-0.6603419746276888	-0.8050163827246487	0	No data	No data	0	0.5	0.5
CHRM3	0.4542272839439647	0.27371858217114925	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6746191258788925	No data	No data	No data	No data	No data	No data	0.1854278900806209	No data	No data	1	1	0	1	1	0	0.5762700000000003	0	-0.7720904578047435	-0.8246355290964752	0	-1	No data	0	0.5	0
PDE4B	0.44908458643892296	0.6927391994861047	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.7505472304032446	No data	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.8223938223938224	-0.7027944885547068	0	-1	No data	-0.26630499999999985	0.5	-1
SLC6A3	0.4486031402126474	No data	No data	0.19892846655180269	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6618629120510817	No data	No data	No data	No data	No data	No data	0.6994572423718189	No data	0.7910935921453625	1	0	0	1	1	0	0.67742	0	-0.8035300606729179	-0.877566895217158	0	-1	No data	-0.16129	1	1
GABRB1	0.44802731121252387	0.402717932412659	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.634662865739932	No data	No data	No data	No data	No data	No data	0.07328510991415947	No data	No data	1	1	0	1	1	0	0.9050649999999998	No data	-0.6136789851075566	-0.302505674061726	0	No data	No data	-0.47784750000000004	0.5	0.5
CHRM4	0.4415912675859106	0.25883633721842436	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6507473663678784	No data	No data	No data	No data	No data	No data	0.1536656484586702	No data	0.4053074627676678	1	0	0	1	1	0	0.80167	1	-0.7973524544953117	-0.6917897689182095	0	-1	No data	0	0.5	0.5
SLC6A4	0.4377725697261474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6781640647508255	No data	No data	No data	No data	No data	No data	0.5193914012559974	No data	0.607930797611621	1	0	0	1	1	0	0.6269849999999998	1	-0.770876999448428	-0.9473079979499779	0	-1	No data	0	0.75	0.5
GABRA5	0.43734702387476765	No data	No data	0.18237923928348632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.670667485205337	No data	No data	No data	No data	No data	No data	0.1413157559272577	No data	No data	1	1	0	1	1	0	0.7727249999999998	1	-0.6205184776613348	-0.8134951372755816	0	-1	No data	-0.2640699999999999	1	0.5
GABRA3	0.4287010232379019	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.670667485205337	No data	No data	No data	No data	No data	No data	0.4802653301131807	0.017554511198941292	0.4626201387125033	1	1	0	1	1	0	0.8069099999999999	No data	No data	-0.17073779750080204	0	-1	No data	-0.15142249999999996	0.75	0.5
CHRM1	0.4252777455519156	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6558584882589094	No data	No data	No data	No data	No data	No data	0.45213571180527357	No data	0.6728730050664826	1	1	0	1	1	0	0.9456499999999999	1	-0.8674020959735246	-0.20740786302009984	0	-1	No data	0	0.75	0.5
SLC6A2	0.42330307262519734	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6808927692217542	No data	No data	No data	No data	No data	No data	0.30817285062814814	No data	No data	1	0	0	1	1	0	0.7163699999999998	0	-0.6671814671814672	-0.8540901114029333	0	-1	No data	-0.1693674999999999	0.5	0.5
GRIN1	0.4230041495083322	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6512872487094075	No data	No data	No data	No data	No data	No data	0.6279040971648707	No data	0.5907263560392122	1	1	0	1	1	0	0.9520249999999997	No data	-0.60419194704909	-0.9385901742958247	0	-1	No data	0	1	0.5
GRIN2B	0.42071365314296183	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6512872487094075	No data	No data	No data	No data	No data	No data	0.8150952923625955	No data	No data	1	1	0	1	1	0	0.9258749999999999	0	-0.9940430226144512	-0.9036090904800023	0	-1	No data	0	1	1
