symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TLR7	0.7042552510832261	0.035480722849373245	No data	0.7920966779614216	No data	No data	0.607930797611621	0.8274613634158176	0.607930797611621	No data	No data	No data	No data	No data	0.5625296709586961	No data	No data	No data	No data	No data	No data	0.328394825648576	No data	0.5438479341131169	1	0	0	1	1	0	0.03718000000000003	0	No data	-0.8571950431104471	0	No data	No data	0	0.5	0
TNFSF13B	0.6042057736392669	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9723910056675716	No data	No data	No data	No data	No data	No data	0.4102000664650499	0.04372242422748837	No data	1	1	1	0	0	0	0	No data	-0.7381136238279096	0	0	No data	No data	0	0.5	0
NR3C1	0.5905020806865656	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9557072625762009	No data	No data	No data	No data	No data	No data	No data	No data	0.31247642997237324	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	-1	No data	0	-1	-1
TYK2	0.5585585306907721	0.8716320430317589	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18645577576640945	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	1	0	0	1	1	0	0	1	-0.5373414230557088	-0.9015325860226683	0	No data	No data	0	-1	0
IFNAR1	0.5340411409106635	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8775452292013284	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	1	0	0	1	0	0	No data	0.8099282956425813	-0.9420523855689313	0	No data	No data	0	-1	-1
FCGR2B	0.48907420412305985	0.6313101671209536	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.11212945822614345	No data	0.5432362712958866	0.75	1	0	0	0	0	0	No data	0.04600110314396022	-0.9110511792600087	0	No data	No data	-0.60484	1	-1
IL2RA	0.4269409319561929	0.535690936323075	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5579116025414649	No data	No data	No data	No data	No data	No data	0.470298487341283	No data	No data	1	0	0	0	1	0	0	No data	-0.1079977937120794	-0.8957419950085688	0	No data	No data	No data	0.5	0
CD80	0.4035043441494078	0.6177972358948237	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16929184016823612	No data	No data	No data	No data	No data	No data	0.16262148836110865	No data	No data	1	1	0	0	0	0	0	No data	-0.25570876999448433	0	0	No data	No data	0	0.5	0.5
CD22	0.4030034342411865	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6438578345681546	No data	No data	No data	No data	No data	No data	0.14894304541484715	No data	0.3148473600830586	1	1	0	1	1	0	0	No data	-0.5190292333149475	-0.6655094769583564	0	No data	No data	0	0.5	0
JAK2	0.3914674298846011	0.4756131036460796	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5234792338987198	No data	No data	No data	No data	No data	No data	0.057753425773104	0.02146220416930593	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.20904578047435185	-0.8880064639175258	0	-1	-1	0	-1	-1
MS4A1	0.39136197680183055	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6273254942664385	No data	No data	No data	No data	No data	No data	0.3287048048752835	No data	No data	1	1	0	0	0	0	0	No data	0.036845008273579616	-0.06618660464602966	0	No data	No data	0	1	0
HRH1	0.3818279459595189	0.14556976792409457	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5916855357421105	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	0	0.19106453392167677	-0.812605562087891	0	-1	No data	0	-1	0
HSPA8	0.3733064515527725	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6140607664875382	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	0	0	1	1	0	No data	No data	-0.9892995035852179	No data	-1	No data	No data	-0.6555724999999999	-1	-1
