symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TNF	0.6376679532060147	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9891986736255872	No data	No data	No data	No data	No data	No data	0.9856914898684501	0.024694282812137466	0.4555546318869283	1	1	1	1	1	1	0	0	-0.5784886927744071	-0.9827379260198055	0	-1	No data	0	0.5	0
PPARG	0.6313767478335847	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9938851504110182	No data	No data	No data	No data	No data	No data	0.8273090989913929	0.14922910938682024	No data	1	0	0	1	1	1	0.9157899999999998	1	-0.5346938775510204	-0.9812084574342594	0	-1	-1	0	0.5	0
PTGS2	0.6256299064293824	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9939719524085774	No data	No data	No data	No data	No data	No data	0.5160489275243375	0.21583880380939804	0.2988587801058729	1	0	0	1	1	0	0.3377499999999998	0	-0.8618863761720905	-0.9746906083086682	0	-1	No data	-0.027317500000000015	0.5	0
NR3C1	0.6182730793982316	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9955293336096523	No data	No data	No data	No data	No data	No data	0.4243252207325273	0.012000310702214741	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	-1	No data	0	-1	-1
IL12B	0.6143831657724592	0.7871626448815394	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7986305727394593	No data	No data	No data	No data	No data	No data	0.6836589772382913	No data	No data	1	0	1	0	0	0	0	No data	0.05195808052950901	-0.7718641284023925	0	No data	No data	No data	0.5	1
PTGS1	0.614345311773969	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9939719524085774	No data	No data	No data	No data	No data	No data	0.32774731528341433	0.008643174766086505	No data	1	0	0	1	1	0	0.4741250000000001	1	-0.253392167677882	-0.9396768567376201	0	-1	No data	-0.040067499999999964	0.5	0
ALOX5	0.6099507770184847	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9939396708685854	No data	No data	No data	No data	No data	No data	0.15743740374497547	0.06800272583195965	No data	1	0	0	1	1	0	0.6735900000000001	0	-0.06265857694429122	-0.28247970811937057	0	No data	No data	0	0.5	0
ITGB7	0.6038934825479906	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9740015623418995	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	0.37633956026147397	1	1	0	1	0	0	0.3045099999999998	No data	-0.19867622724765577	0	0	No data	No data	0	0.5	0
ITGA4	0.5980335752971152	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9715144832100981	No data	No data	No data	No data	No data	No data	0.24037211726496555	0.008402928573624254	No data	1	1	0	1	1	0	0.24418500000000024	No data	-0.5645890788747931	-0.8852086880129758	0	No data	No data	0	0.75	0
JAK2	0.5892809003014141	0.7613926324110001	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0.6677844796953136	No data	No data	No data	No data	No data	No data	0.5481529669341535	0.044717180888602215	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.20904578047435185	-0.8880064639175258	0	-1	-1	0	-1	-1
