gene,free:hom_g2,free:hom_e2,free:v,free:w,free:V_BIN,free:V_BMem,free:V_CD4ET,free:V_CD4NC,free:V_CD8ET,free:V_CD8NC,free:V_NK,free:W_BIN,free:W_BMem,free:W_CD4ET,free:W_CD4NC,free:W_CD8ET,free:W_CD8NC,free:W_NK,free:ct_beta_BIN,free:ct_beta_BMem,free:ct_beta_CD4ET,free:ct_beta_CD4NC,free:ct_beta_CD8ET,free:ct_beta_CD8NC,free:ct_beta_NK,p:free:hom_g2,p:free:hom_e2,p:free:V,p:free:W,p:free:vc_BIN,p:free:vc_BMem,p:free:vc_CD4ET,p:free:vc_CD4NC,p:free:vc_CD8ET,p:free:vc_CD8NC,p:free:vc_NK
ENSG00000225880,0.0230737,0.0623187,0.00483804,0.0128097,-0.0202745,-0.0324403,0.201517,-0.0296485,0.0175891,-0.0118468,-0.0910294,-0.826542,-0.896405,0.346569,0.0681859,0.362618,-0.00875959,1.044,0.199514,-0.617422,-0.912163,-0.993232,-0.547131,-0.786875,0.25567,0.157943,0.222437,0.688598,0.509493,0.55244,0.567665,0.120756,0.91164,0.398406,0.572595,0.916219
ENSG00000230368,0.00466831,0.481895,-0.00802737,-0.0751239,-0.0291013,-0.010816,0.0117019,-0.00602484,0.0150662,-0.0295139,-0.00750361,0.853579,0.880212,-0.722761,-0.304664,-0.339909,-0.589093,-0.303232,2.03952,2.22938,-0.119813,-0.308121,0.251801,-0.324399,0.893942,0.388574,1.82347e-07,0.986825,0.0177906,0.582777,0.522894,0.440788,0.637562,0.370974,0.842363,0.553894
ENSG00000188976,0.000356497,0.101093,0.00492049,0.123756,0.00872181,0.0414614,-0.00790488,0.00387084,-0.0131438,0.0226926,-0.0212545,-0.220629,0.404508,0.583908,-0.020865,0.0617326,-0.128699,0.186338,-0.624235,-0.624873,-0.554582,-0.716807,0.476133,-0.298863,1.80983,0.4784,0.00129332,0.857726,0.188001,0.413995,0.275691,0.576782,0.337052,0.747062,0.164054,0.886609
ENSG00000187961,0.0086806,0.072449,-0.04471,-0.302121,-0.0419671,-0.103364,-0.0319904,-0.00810377,-0.101675,0.02125,-0.0471192,-0.86571,-1.15878,-0.648953,-0.149572,-0.440605,0.417396,0.731379,-0.455424,0.0904996,0.157062,0.0154761,0.925893,0.157594,0.948059,0.292323,0.210879,0.884645,0.0368707,0.788314,0.757657,0.609138,0.625572,0.839297,0.382667,0.704799
ENSG00000188290,0.0248259,0.0830145,0.0932947,2.02046,-0.0756829,-0.10892,-0.00763915,-0.0150843,-0.0342468,-0.0272733,0.92191,0.407612,5.26601,-0.286779,0.233183,-0.0363378,-0.196427,8.75599,-0.199692,0.399105,0.0431714,0.0156522,-0.265484,-0.240861,3.03898,0.0885328,0.115357,0.196827,1.64794e-07,0.956892,0.82574,0.547793,0.775186,0.946845,0.89334,0.0117871
ENSG00000187608,0.0139027,0.546058,0.0081161,0.22451,-0.0126028,0.0181612,0.00607775,0.022101,0.0220733,0.0187494,-0.0177472,-0.165295,0.0726015,0.0335465,-0.0335488,0.261336,0.0551452,1.34779,-1.2487,-0.308429,0.373591,-0.184688,0.835178,0.112553,2.22651,0.103905,6.90648e-07,0.025494,4.10478e-17,0.841589,0.218223,0.348772,0.00786882,0.0835177,0.0707413,0.893059
ENSG00000131591,0.0242257,0.0516636,-0.00756412,-0.00832955,0.00137915,0.0517373,-0.0732095,-0.0138047,-0.00621252,-0.0343809,0.0215424,0.0303885,-0.591353,0.728288,-0.0852844,0.518973,-0.535052,-0.124267,-0.141292,0.285548,-0.333431,-0.0698792,0.897653,0.26696,1.39744,0.149765,0.287625,0.981545,0.564457,0.495076,0.394087,0.845493,0.690207,0.532284,0.752784,0.428026
ENSG00000186891,0.0936091,0.0235531,0.343001,1.46194,-0.0909312,-0.090591,0.0744581,-0.0824318,-0.063643,-0.0778894,2.73204,0.0675826,0.191248,0.725647,0.140748,0.59832,0.136541,8.37351,-1.30877,-1.45071,0.570757,-1.20461,-1.01416,-1.0913,5.35613,1.95867e-05,0.212068,0.000394652,3.32922e-19,0.999982,0.99995,0.150552,0.999979,0.998659,0.999875,2.3447e-06
ENSG00000186827,0.0375789,0.0413268,0.0717563,1.05326,-0.0299542,-0.0433914,0.20033,-0.0263338,-0.0287534,-0.033989,0.464386,0.132811,0.0135998,3.04907,1.43168,0.170826,1.13203,1.44283,-2.34932,-2.27515,4.23206,0.603919,-1.83599,0.00425092,0.29976,0.00653862,0.069916,0.00418595,1.1104e-46,0.96738,0.995133,0.110969,0.87323,0.94439,0.897222,3.50036e-05
ENSG00000078808,0.0013667,0.0203715,0.0211261,0.175149,0.0063258,0.000555133,0.0104755,0.00306204,0.0149197,0.00272142,0.109823,0.05704,-0.157248,-0.216707,-0.0178888,0.288841,0.00746006,1.26454,-1.65878,-1.02557,-0.675984,-1.28256,0.305455,-0.992222,4.22486,0.408295,0.140579,0.851025,3.72446e-08,0.379358,0.491744,0.335041,0.319727,0.225766,0.405087,0.0706827
