Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
DNMT1,ENSG00000130816,1.08982057055999e-18,0.0000111442282031415,1.57442146986596e-19,-0.00114262487420865,synonymous,19010133569,19,10133569,
OTUD4,ENSG00000164164,1.13264031353305e-17,0.360680061272982,1.6180575907615e-18,-0.000224750535885637,synonymous,4145137364,4,145137364,
DTL,ENSG00000143476,4.55223491003162e-15,0.0000313826437804421,6.5031927286166e-16,-0.00106503200230251,synonymous,1212035316,1,212035316,
NUBP2,ENSG00000095906,2.66543771444446e-14,3.95402506151393e-10,3.80776816349208e-15,-0.00221056475147942,synonymous,16001777961,16,1777961,
PHF20,ENSG00000025293,6.35253866478857e-14,1.41435092321415e-13,3.95886053014318e-13,0.00217759560594858,synonymous,20035801494,20,35801494,
PGC,ENSG00000096088,4.80647490176678e-13,1.65142608476998e-8,6.86639271680969e-14,0.001884583252101,synonymous,6041732501,6,41732501,
MAS1L,ENSG00000204687,1.33127592697088e-12,3.51643769682114e-11,2.15176922633506e-12,-0.00190961237774929,synonymous,6029486671,6,29486671,
RBM12,ENSG00000244462,6.00169344852201e-12,1.44750101127578e-7,8.57384778360287e-13,0.00186132270418957,synonymous,20035652420,20,35652420,
TET1,ENSG00000138336,1.4467453057611e-11,2.11891242533153e-11,6.53872230241241e-9,-0.00147970632029885,synonymous,10068572265,10,68572265,
SEC13,ENSG00000157020,2.15190087970996e-10,1.31124548996553e-8,9.83598051226917e-11,-0.00215709742951265,synonymous,3010301004,3,10301004,
ASIP,ENSG00000101440,3.88018395192091e-10,2.14557877564737e-9,1.08492567041374e-7,-0.00217756277306145,synonymous,20034213484,20,34213484,
CHD8,ENSG00000100888,5.4843452002018e-10,0.00633563632338763,2.24557047174119e-10,-0.000591899501592757,synonymous,14021383771,14,21383771,
CRLF3,ENSG00000176390,5.77237257992635e-10,3.35217285041267e-8,5.50159452375252e-10,-0.00215641696097302,synonymous,17030784119,17,30784119,
PDIA2,ENSG00000185615,6.84286797296502e-10,0.00109197733887278,2.28095599098834e-10,-0.000655389777842117,synonymous,16000280625,16,280625,
ITCH,ENSG00000078747,9.79767600384207e-10,6.83594670869425e-8,3.36476473350444e-8,0.00174882266123074,synonymous,20034393796,20,34393796,
AGRP,ENSG00000159723,2.90681926307101e-8,5.35924636890783e-8,1.39990144809587e-7,0.00208698312070832,synonymous,16067480831,16,67480831,
CEP250,ENSG00000126001,6.67496071748985e-8,0.273616762445079,2.22498690582995e-8,0.000241749777574164,synonymous,20035462304,20,35462304,
PTCH1,ENSG00000185920,1.65548803110482e-7,3.83064637676789e-7,2.68093078403808e-7,0.00112499831316879,synonymous,9095446803,9,95446803,
RPL28,ENSG00000108107,1.8218687514171e-7,0.0000109292219616641,1.70081066341865e-7,-0.00175572645918816,synonymous,19055383848,19,55383848,
CCDC107,ENSG00000159884,2.13555584549496e-7,0.00000596697099508603,3.190892536864e-7,0.00410221432667194,synonymous,9035658290,9,35658290,
CROCC,ENSG00000058453,2.64407915673281e-7,0.00000174834602595375,0.00000218298899690161,-0.000687855276295082,synonymous,1016921942,1,16921942,
C1QL1,ENSG00000131094,2.82696297815299e-7,0.00000163761948335228,3.70210657907322e-7,-0.00190094099694786,synonymous,17044960123,17,44960123,
GBF1,ENSG00000107862,4.14591855846247e-7,0.000632765292312487,3.39364909618389e-7,0.000885256822956082,synonymous,10102258935,10,102258935,
FKBP8,ENSG00000105701,5.6932978065305e-7,0.0000054028814376883,5.31244653378948e-7,0.00147234374413167,synonymous,19018532105,19,18532105,
ZSCAN16,ENSG00000196812,5.70479171901894e-7,0.0000168859417435385,5.62453364327808e-7,-0.00179953236120536,synonymous,6028125303,6,28125303,
CCHCR1,ENSG00000204536,7.0013793229684e-7,0.0000330831304308221,9.01636418193519e-7,-0.00184595207224911,synonymous,6031137934,6,31137934,
PEG3,ENSG00000198300,7.09210692506623e-7,0.000013395291067253,0.00000129185326946946,-0.0010704611549898,synonymous,19056810087,19,56810087,
CDC25B,ENSG00000101224,7.23997218843309e-7,9.5865516513971e-7,0.0000582353225799803,-0.00172076377245961,synonymous,20003795835,20,3795835,
PSORS1C2,ENSG00000204538,8.53546799572946e-7,6.51395242412534e-7,0.00748418497022596,-0.00960349765945648,synonymous,6031137934,6,31137934,
PCDHB10,ENSG00000120324,0.00000139818081290599,0.00259279886386521,5.60724062070861e-7,-0.000702094656225157,synonymous,5141187348,5,141187348,
PTPRCAP,ENSG00000213402,0.0000015349396013109,0.000184249066159659,0.00000127923498072224,-0.00142433751079471,synonymous,11067431294,11,67431294,
IRS4,ENSG00000133124,0.00000176427369491527,0.00555530816240191,7.77021165632164e-7,0.000799604272857623,synonymous,23108732484,X,108732484,
WNT6,ENSG00000115596,0.00000194050751511909,0.0000705912998233416,0.00000197185659445154,0.00158944294702697,synonymous,2218859935,2,218859935,
PPIAL4C,ENSG00000263464,0.00000200246701465012,0.00000238115242479076,0.00000400353323781744,-0.0019122998819359,synonymous,1149583924,1,149583924,
FBN1,ENSG00000166147,0.0000021311763590548,0.10718345252583,0.00000199224566044265,0.000170966890956358,synonymous,15048410928,15,48410928,
AC127029.3,ENSG00000285947,0.00000229270023777151,0.00000298246604013563,0.0000269888789996564,0.00141725732258482,synonymous,17063917158,17,63917158,
MTREX,ENSG00000039123,0.00000295026274188537,0.114009074751826,0.00000114763333991519,0.000564780106859837,synonymous,5055307318,5,55307318,
GH1,ENSG00000259384,0.0000040880898136697,0.00000728711879594002,0.0000267919977832154,0.00137630772854456,synonymous,17063917158,17,63917158,
TBX2,ENSG00000121068,0.00000434682220973315,0.563904293269414,0.00000218315510991385,0.00013107270794607,synonymous,17061400100,17,61400100,
ALPG,ENSG00000163286,0.00000490143665532461,0.00402191621774972,0.00000271338385837705,0.000666470822517402,synonymous,2232406785,2,232406785,
NCOA6,ENSG00000198646,0.00000497689549083802,0.0000612435211341245,0.00000747655338850794,0.000886018815684899,synonymous,20034709926,20,34709926,
PSMB8,ENSG00000204264,0.00000571325580212001,0.00000278142616605415,0.000475321603277568,-0.00135868676335818,synonymous,6032835717,6,32835717,
KDM4A,ENSG00000066135,0.00000610753951846288,0.0026329571455378,0.0000034102986230522,-0.000990725335196514,synonymous,1043653123,1,43653123,
SLC26A8,ENSG00000112053,0.00000642856809551784,0.0000045394891918793,0.00112963132031507,-0.00189000569770347,synonymous,6035943773,6,35943773,
MMP24,ENSG00000125966,0.0000065057504672339,0.850211454709482,0.00000295923537274589,0.0000554168218735574,synonymous,20035226768,20,35226768,
GPR137C,ENSG00000180998,0.00000660993561751866,0.00000275932754256747,0.00122888399606624,-0.00207138384176942,synonymous,14052553091,14,52553091,
GPATCH2,ENSG00000092978,0.00000674889561347314,0.0000161356026449067,0.00000823868028687613,0.00124162557301159,synonymous,1217431153,1,217431153,
DDN,ENSG00000181418,0.00000747911720044847,0.000876865433312224,0.00000705841978876354,-0.00121807709913988,synonymous,12048996587,12,48996587,
TGFBRAP1,ENSG00000135966,0.00000776280648828731,0.00466195827281357,0.00000713910468197465,-0.000884911025807219,synonymous,2105267263,2,105267263,
ABCC12,ENSG00000140798,0.0000086928371225703,0.529108406215844,0.00000501046226086821,0.000150474271316058,synonymous,16048083634,16,48083634,
TRPM7,ENSG00000092439,0.00000907455003507085,0.277513261445083,0.00000350381669944611,-0.000292615072890292,synonymous,15050561578,15,50561578,
CABLES1,ENSG00000134508,0.0000108103945338778,0.151361042023674,0.00000580606272260198,-0.00036258060738869,synonymous,18023135763,18,23135763,
SLC22A14,ENSG00000144671,0.0000110214275653719,0.00387872754230922,0.00000778965614411931,0.000726886356190043,synonymous,3038305942,3,38305942,
TMEM67,ENSG00000164953,0.0000126461064435812,0.0306993969582735,0.00000941754573269282,0.000921774440026246,synonymous,8093754853,8,93754853,
EPB41L1,ENSG00000088367,0.0000127230332931383,0.0000364922532489764,0.0000205329232334517,0.000866691752902278,synonymous,20036154603,20,36154603,
AC113554.1,ENSG00000264813,0.0000130586564519586,0.000273075181431492,0.0000123741135683586,0.00110843592830862,synonymous,17063479825,17,63479825,
TM7SF2,ENSG00000149809,0.0000132315918410786,0.0000409365740220435,0.0000104158853609926,-0.00184845705332765,synonymous,11065107471,11,65107471,
EEA1,ENSG00000102189,0.0000132806842345623,0.00000438291566884352,0.00632179219646556,-0.00282410996175411,synonymous,12092768947,12,92768947,
VXN,ENSG00000169085,0.0000159231172315311,0.0000271534619616931,0.000127291694807408,0.00473713013979475,synonymous,8066493590,8,66493590,
H3C11,ENSG00000275379,0.0000182807275483921,0.0000689291973758888,0.0000174035408945228,-0.00158675787599317,synonymous,6027866825,6,27866825,
HEXA,ENSG00000213614,0.0000186492650006143,0.0276859162513787,0.0000159141363405002,0.000759782901542796,synonymous,15072344024,15,72344024,
LMOD2,ENSG00000170807,0.0000218824771482939,0.0000210194221188509,0.0000698114718129528,0.00152142957026293,synonymous,7123655897,7,123655897,
ITIH4,ENSG00000055955,0.0000222112462332502,0.00375449477324485,0.0000112685855581107,0.00125538683764709,synonymous,3052807964,3,52807964,
RASGRP1,ENSG00000172575,0.0000225377865784582,0.000190141011560563,0.0000231369776736434,0.00145360277486772,synonymous,15038484184,15,38484184,
RETREG3,ENSG00000141699,0.0000238095781276426,0.000199756484004832,0.0000257086416380892,0.0017039426191638,synonymous,17042577018,17,42577018,
DOT1L,ENSG00000104885,0.0000241637066683564,0.162773802056693,0.0000101276208659407,-0.000272061659238584,synonymous,19002164132,19,2164132,
TTBK1,ENSG00000146216,0.0000244632898566133,0.0151970901618981,0.0000190793438716863,-0.000614946970020531,synonymous,6043246601,6,43246601,
RAP1GDS1,ENSG00000138698,0.0000253367289535511,0.0000774618622980672,0.000114660641273412,-0.00305931260217037,synonymous,4098261510,4,98261510,
PKD1,ENSG00000008710,0.000025492229184354,0.00878354737333298,0.0000132729167851009,0.000228992869888747,synonymous,16002083710,16,2083710,
COL7A1,ENSG00000114270,0.0000262113866383862,0.000859929942095161,0.0000272049946299369,0.000592512331912314,synonymous,3048561008,3,48561008,
CALHM6,ENSG00000188820,0.0000274554071448829,0.00074792429319448,0.0000265033403958892,-0.0014496540395802,synonymous,6116461342,6,116461342,
BMP6,ENSG00000153162,0.0000285542475630951,0.0000200005124445513,0.000239295309965248,-0.00118003628397675,synonymous,6007726874,6,7726874,
KCTD5,ENSG00000167977,0.0000324876841003574,0.000124579708573602,0.0000309617289139252,0.00145749315312041,synonymous,16002682412,16,2682412,
CENPA,ENSG00000115163,0.0000378612808046297,0.0000481381263521818,0.000257727689800591,0.00692711785165535,synonymous,2026786033,2,26786033,
HSPA2,ENSG00000126803,0.0000387933152454778,0.000136648484930557,0.000124681254751291,-0.00169386772218244,synonymous,14064531757,14,64531757,
H2AC4,ENSG00000278463,0.0000398389387300524,0.00020758581895497,0.0000289690463818326,-0.00124601443941398,synonymous,6026031562,6,26031562,
HMGB2,ENSG00000164104,0.0000400962366815527,0.000360586330121482,0.0000379255874775053,0.00286360476508878,synonymous,4173331956,4,173331956,
IGSF22,ENSG00000179057,0.0000403581896686322,0.000510002806312526,0.0000414578351153327,0.00103068799300507,synonymous,11018700809,11,18700809,
DLK2,ENSG00000171462,0.000040385371108953,0.000882424218990874,0.000042091583731696,-0.00121362471264357,synonymous,6043445356,6,43445356,
CALHM3,ENSG00000183128,0.0000411486581923803,0.0000342335720469045,0.00168098841353059,0.00270064430652885,synonymous,10103473100,10,103473100,
COPG1,ENSG00000181789,0.0000411533133537478,0.419690619138775,0.0000241387799971848,0.000198125608404352,synonymous,3129249606,3,129249606,
SEPTIN8,ENSG00000164402,0.0000415410963648943,0.0122645295133852,0.0000357838608885386,-0.000871452385165669,synonymous,5132747395,5,132747395,
RHNO1,ENSG00000171792,0.0000421472677378798,0.0000582515984774989,0.0000747237406891754,0.00166304919645719,synonymous,12002872202,12,2872202,
KCTD3,ENSG00000136636,0.0000478587017584964,0.000100278973323986,0.0000479014859908755,0.000634155904900743,synonymous,1215567617,1,215567617,
MFSD12,ENSG00000161091,0.0000484742032554886,0.160521339373736,0.0000284644898910225,-0.000362557084893374,synonymous,19003539199,19,3539199,
STXBP6,ENSG00000168952,0.0000494293165897997,0.000505117148709378,0.0000479679139264721,0.00188270844160894,synonymous,14024812635,14,24812635,
TNRC6A,ENSG00000090905,0.0000578042670129619,0.00479578549038306,0.0000500999606178887,0.000856882130170132,synonymous,16024729718,16,24729718,
PKLR,ENSG00000143627,0.0000585289623307172,0.320341644955876,0.000033211776739428,-0.000451339554855726,synonymous,1155284451,1,155284451,
SAMD9,ENSG00000205413,0.0000634635994860577,0.00204369244257263,0.0000597306495558891,0.000945943103269888,synonymous,7093101278,7,93101278,
SRRM2,ENSG00000167978,0.0000658894033015445,0.000493774630925592,0.000140173646052677,-0.000484388899958357,synonymous,16002756254,16,2756254,
FRMD8,ENSG00000126391,0.0000698395459526324,0.000810259554220538,0.000058076001466234,0.00111431591176612,synonymous,11065381813,11,65381813,
TCTA,ENSG00000145022,0.0000705031926275801,0.000213646432779102,0.0000821147038430059,0.00256952939709804,synonymous,3049412314,3,49412314,
GABRA6,ENSG00000145863,0.0000707612435000282,0.00380515337718423,0.0000675989267701071,0.00111278080131191,synonymous,5161685947,5,161685947,
TNS2,ENSG00000111077,0.0000715240320670052,0.0658450973326973,0.0000294880052614799,-0.000408340953967264,synonymous,12053049089,12,53049089,
SLC4A5,ENSG00000188687,0.0000757661628305595,0.000053221386953628,0.00413467450205973,0.00125634070549059,synonymous,2074211246,2,74211246,
