Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
SLC25A24,ENSG00000085491,0.00000475276136890912,0.00189501556373872,0.00000235978243856572,0.0629076826527588,missense|LC,1108136598,1,108136598,
MB21D2,ENSG00000180611,0.0000077856465683368,0.00100208033419924,0.00000683990867722528,0.0664197436988281,missense|LC,3192798287,3,192798287,
EIF2B1,ENSG00000111361,0.0000132742588196955,0.000692176755614171,0.0000111037403273118,0.0959763338305518,missense|LC,12123615407,12,123615407,
ADCY7,ENSG00000121281,0.000015886399151066,0.0000887885310760783,0.0000519186943714889,0.0301587275571175,missense|LC,16050288068,16,50288068,
WAC,ENSG00000095787,0.0000163765843561592,0.0000474758557924559,0.000178157029335324,0.0738115497904038,missense|LC,10028533494,10,28533494,
MRPL17,ENSG00000158042,0.0000293596618077263,0.00572559016590701,0.0000159802592774039,0.0963884165500636,missense|LC,11006682013,11,6682013,
IGF2BP2,ENSG00000073792,0.0000363747381360024,0.00729433579902949,0.000021060798878425,0.0618881549225637,missense|LC,3185645499,3,185645499,
FETUB,ENSG00000090512,0.0000588171066822074,0.000475121340360096,0.00012072641070171,0.0544013811057138,missense|LC,3186640414,3,186640414,
SGF29,ENSG00000176476,0.0000593789204903494,0.00110318959253708,0.000063943651356424,0.12307743964097,missense|LC,16028581022,16,28581022,
OXER1,ENSG00000162881,0.0000622629558031385,0.0000266220559959063,0.0153384411638358,0.0330717983469331,missense|LC,2042762802,2,42762802,
RFC5,ENSG00000111445,0.0000640838539038846,0.00185752542202933,0.0000624385304843766,0.0852574475224753,missense|LC,12118016764,12,118016764,
TMEM160,ENSG00000130748,0.0000729410910190742,0.0134220980920088,0.0000348709337638642,0.0822780528237994,missense|LC,19047040909,19,47040909,
POPDC2,ENSG00000121577,0.0000730951343287378,0.00226857269148495,0.0000779592457290645,0.0625027997656835,missense|LC,3119642443,3,119642443,
LYPLA2,ENSG00000011009,0.0000833168751536162,0.000237323690364777,0.000225380308869427,0.124657164001604,missense|LC,1023786314,1,23786314,
SLC25A3,ENSG00000075415,0.0000845672594406155,0.00140313222920219,0.0000883136875993173,0.088375607612689,missense|LC,12098590711,12,98590711,
CLVS1,ENSG00000177182,0.0000928879602613009,0.166838211641486,0.0000527016576898909,0.0435894123557482,missense|LC,8061299789,8,61299789,
DAPP1,ENSG00000070190,0.0000951224851984955,0.00200631793434847,0.0000798624931023229,0.114362018355704,missense|LC,4099816844,4,99816844,
ZSCAN29,ENSG00000140265,0.000110305516151432,0.00445322258204606,0.0000767750623410501,0.0266639178312515,missense|LC,15043360953,15,43360953,
RAB9A,ENSG00000123595,0.000120498528654922,0.00384374367945151,0.000083264927151161,0.0989690364081751,missense|LC,23013708678,X,13708678,
SUOX,ENSG00000139531,0.000120978335082511,0.00106279056075431,0.0000692691624948338,0.0323776229348138,missense|LC,12056001841,12,56001841,
