Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
AL669918.1,ENSG00000250264,0.00000141031443778861,0.641654874221374,4.81536097884927e-7,-0.00204596054693433,synonymous,6032813154,6,32813154,
TAP2,ENSG00000204267,0.0000148458961380937,0.437476986567898,0.00000606185296336825,0.00374597854407371,synonymous,6032825913,6,32825913,
CHID1,ENSG00000177830,0.0000398118531440561,0.0352520607538166,0.0000189534645178568,0.0233474902904258,synonymous,11000864332,11,864332,
ZNF827,ENSG00000151612,0.0000463077498715769,0.0000578539504703102,0.000508985078906177,0.0294857263029673,synonymous,4145760690,4,145760690,
LHX5,ENSG00000089116,0.000135921906600611,0.000572089386222441,0.000240057300406882,0.0570998793955595,synonymous,12113463117,12,113463117,
RPL29,ENSG00000162244,0.000137056513863976,0.0206573923652916,0.000107489610626343,0.0744153094086923,synonymous,3051988534,3,51988534,
FGR,ENSG00000000938,0.000299882048128919,0.00248910986749917,0.000245173706534207,0.0216658636707563,synonymous,1027612840,1,27612840,
CPO,ENSG00000144410,0.000312022586076655,0.000241906081634768,0.00416115426748187,0.052037482961116,synonymous,2206939552,2,206939552,
STX2,ENSG00000111450,0.000330629114893566,0.0139135554890352,0.000216019180630411,0.0613554233669115,synonymous,12130791844,12,130791844,
NOTCH4,ENSG00000204301,0.000381265850186163,0.914381133054668,0.000194023120677067,-0.000480315709737955,synonymous,6032189847,6,32189847,
METTL15,ENSG00000169519,0.000381870637961246,0.000162517983012922,0.0228845959968405,0.0640796321001813,synonymous,11028113287,11,28113287,
PPRC1,ENSG00000148840,0.000387477788162949,0.0655311932584077,0.000165498376680118,0.0158247738607838,synonymous,10102132912,10,102132912,
ZBED3,ENSG00000132846,0.000458888328107809,0.00397798436965213,0.000407818370219859,0.0512709187296669,synonymous,5077077093,5,77077093,
