Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
CSNK2A1,ENSG00000101266,0.00000798285991054914,0.00000502595041440568,0.0000417155750868092,0.418520526491234,pLoF,20000483867,20,483867,
ALMS1,ENSG00000116127,0.0000083253242144643,0.0000291559074787617,0.0000478346178566236,0.0769920932813636,pLoF,2073385958,2,73385958,
SOCS1,ENSG00000185338,0.00002373536120992,0.0000127473167941261,0.0000732363227358146,0.382536543838508,pLoF,16011254692,16,11254692,
ZC3H8,ENSG00000144161,0.0000783688397500981,0.000120813731362412,0.0000789144640511719,0.068094607959343,pLoF,2112230845,2,112230845,
DHODH,ENSG00000102967,0.000100565006055486,0.0000665151619396731,0.000283226850213092,0.122594045145501,pLoF,16072005583,16,72005583,
CYP2D7,ENSG00000205702,0.000140880245099062,0.000729354350330058,0.000167547252590605,0.109405323619039,pLoF,22042140250,22,42140250,
EIF2A,ENSG00000144895,0.000144027772979061,0.000143560447808833,0.000492001951456711,0.157086321793928,pLoF,3150544401,3,150544401,
LRIG3,ENSG00000139263,0.000155529771691532,0.000133750109905684,0.000852888766371684,0.131259658837785,pLoF,12058872455,12,58872455,
OPRM1,ENSG00000112038,0.000163131043734555,0.0257461085462131,0.0000714743056134948,0.0864548608511715,pLoF,6154010410,6,154010410,
FAM171B,ENSG00000144369,0.00017063459365374,0.000106096180643611,0.000849623020396928,0.160399938209337,pLoF,2186694039,2,186694039,
ALG9,ENSG00000086848,0.000194091656628648,0.000438424470542653,0.000236852724201153,0.177530304129394,pLoF,11111786275,11,111786275,
TAF9,ENSG00000273841,0.000210243491925444,0.00017264057020383,0.000677561407777749,0.198968309925961,pLoF,5069364878,5,69364878,
MAP4,ENSG00000047849,0.000232020129581123,0.00017516814342966,0.00022803635468116,0.11954490243918,pLoF,3047846871,3,47846871,
PDCD4,ENSG00000150593,0.000237160219847987,0.00115254442045121,0.000239500058887065,0.156076258124859,pLoF,10110875985,10,110875985,
CUBN,ENSG00000107611,0.000269776417265111,0.0598681510065265,0.000120701529987444,0.0333028562708331,pLoF,10016824945,10,16824945,
GRB7,ENSG00000141738,0.00027555173356153,0.000365407617752611,0.000217067454539421,0.107017296823352,pLoF,17039738832,17,39738832,
RAB6D,ENSG00000233087,0.000286280876294676,0.00122147863129862,0.000269010036387796,0.122307060548862,pLoF,2131362826,2,131362826,
LBP,ENSG00000129988,0.000288158390801097,0.00386215077824281,0.000176145822927465,0.130115954614709,pLoF,20038346396,20,38346396,
HMMR,ENSG00000072571,0.000301102919173291,0.00805653771642856,0.000168273292282528,0.0914291358001338,pLoF,5163456887,5,163456887,
ATM,ENSG00000149311,0.000324551916423443,0.153172826678595,0.000130878010809576,0.0379692944011815,pLoF,11108222417,11,108222417,
REV3L,ENSG00000009413,0.000371217858374573,0.000341948901694589,0.000517834663019023,0.177320139195126,pLoF,6111299933,6,111299933,
BLZF1,ENSG00000117475,0.000385023824442388,0.000576335648776127,0.000524681051830678,0.171440294667732,pLoF,1169367617,1,169367617,
HLA-E,ENSG00000204592,0.000407464528821566,0.000984889730586636,0.000302773128139977,0.22710246504854,pLoF,6030486212,6,30486212,
SPATA2,ENSG00000158480,0.000415910709717027,0.000355183893346211,0.000469327405641984,0.262486359814355,pLoF,20049905518,20,49905518,
SLC13A2,ENSG00000007216,0.000496117027000031,0.00046805666085814,0.00133185851289797,0.138440777070406,pLoF,17028468293,17,28468293,
