Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
PLIN3,ENSG00000105355,0.00000213266586790439,0.0000134515074302621,0.0000059475224259975,0.0357521249633676,synonymous,19004839137,19,4839137,
GALNT5,ENSG00000136542,0.0000147360562048338,0.00219138225469995,0.00000697895181112074,0.0463427946566171,synonymous,2157257994,2,157257994,
RNASE4,ENSG00000258818,0.0000363007799764059,0.000034083369635618,0.000241244042964661,0.103755989570662,synonymous,14020688604,14,20688604,
THRB,ENSG00000151090,0.0000628229626573606,0.000041340348607477,0.0034260688508494,0.0568485596227816,synonymous,3024122765,3,24122765,
TRAK2,ENSG00000115993,0.0000776514601491529,0.0013865415249612,0.0000806651695490768,0.0420402702358021,synonymous,2201380458,2,201380458,
TRIM41,ENSG00000146063,0.0000888607084131854,0.0163224895246167,0.0000415385947385438,0.0253227572169043,synonymous,5181223914,5,181223914,
CPNE9,ENSG00000144550,0.000102301608297828,0.0000501785723510118,0.00267470406368941,0.0285493807100634,synonymous,3009701698,3,9701698,
ATP6V1G2-DDX39B,ENSG00000254870,0.00012800534327051,0.000580378919010416,0.000122529944192262,0.1715963614363,synonymous,6031528929,6,31528929,
COL3A1,ENSG00000168542,0.000132752853024165,0.0426021724289812,0.0000968556904703544,0.022311421385679,synonymous,2188974439,2,188974439,
BRMS1L,ENSG00000100916,0.000136301834360752,0.00121161142735848,0.000136903302826008,0.10319915180962,synonymous,14035826384,14,35826384,
CRLF2,ENSG00000205755,0.000141781820214404,0.000131639890792679,0.00157056264087874,0.0618196388138729,synonymous,23001196666,X,1196666,
NRM,ENSG00000137404,0.000157472338291331,0.000157442502693561,0.000180601650911272,0.0309073852604745,synonymous,6030684319,6,30684319,
LARP4B,ENSG00000107929,0.00016263906374403,0.00309729122024294,0.000160530700487493,0.0374838074161464,synonymous,10000812835,10,812835,
MPND,ENSG00000008382,0.000202560873871604,0.000675803458963231,0.000410605592492064,0.0367946087308751,synonymous,19004338600,19,4338600,
LAMTOR3,ENSG00000109270,0.000205134803635376,0.000299495612824607,0.000260292211657465,0.186398654113152,synonymous,4099881971,4,99881971,
RXFP1,ENSG00000171509,0.000238332407906716,0.00283627412917586,0.00025147097435485,0.0659353542808637,synonymous,4158521940,4,158521940,
H2BC8,ENSG00000273802,0.000273198286914411,0.000396297142490343,0.000288173721467722,0.029934863143773,synonymous,6026216151,6,26216151,
TCIM,ENSG00000176907,0.000328027338890369,0.00025435252763073,0.00144441541865681,0.123857312267721,synonymous,8040153471,8,40153471,
CCN4,ENSG00000104415,0.000343149459154035,0.00859844776720442,0.000211858420829714,0.0383970664680557,synonymous,8133191057,8,133191057,
LY86,ENSG00000112799,0.000353169772778883,0.001714114430311,0.000437438211421615,0.0862043893625474,synonymous,6006588631,6,6588631,
EPN2,ENSG00000072134,0.000391658377297599,0.491497104547622,0.000160231826924484,0.012268119892661,synonymous,17019283068,17,19283068,
KCTD19,ENSG00000168676,0.000403482403205424,0.13391521859995,0.000179386427323625,0.0140982057289553,synonymous,16067284435,16,67284435,
CNIH3,ENSG00000143786,0.000411033184102072,0.0176626872807345,0.00027087038815754,0.0472896130045807,synonymous,1224616391,1,224616391,
PPP1R10,ENSG00000204569,0.000422387765773524,0.55791230773998,0.000248959598903697,0.00300969628990296,synonymous,6030601490,6,30601490,
HOMER2,ENSG00000103942,0.000445311340916077,0.000788488216944438,0.000692032183509328,0.0329186535510268,synonymous,15082849639,15,82849639,
PSMA5,ENSG00000143106,0.000465644413625177,0.000535148456003776,0.00107744947585553,0.0992295812692663,synonymous,1109397499,1,109397499,
OPN1LW,ENSG00000102076,0.000507663310273299,0.0452031272216075,0.000227804814478372,0.0324107539234877,synonymous,23154144155,X,154144155,
ATP6V1G2,ENSG00000213760,0.000510321464035846,0.100058952167511,0.000261492662521068,0.0555165880463029,synonymous,6031540235,6,31540235,
ERGIC2,ENSG00000087502,0.000555262550387514,0.0206989395173187,0.000359260398431038,0.0743334076127167,synonymous,12029332485,12,29332485,
TAS2R3,ENSG00000127362,0.000563659175725983,0.00203541914879257,0.000509908730875308,0.0338263312647787,synonymous,7141763992,7,141763992,
TFDP2,ENSG00000114126,0.000565631807682543,0.000966041694126396,0.0020336137433874,0.0825704923312124,synonymous,3141952430,3,141952430,
VBP1,ENSG00000155959,0.000623821607941943,0.00234499584265313,0.000457051442075529,0.087450600048261,synonymous,23155216314,X,155216314,
ZNF613,ENSG00000176024,0.000669518531950519,0.000427763612504073,0.00483585969681333,0.0442825617720952,synonymous,19051936131,19,51936131,
FADS2,ENSG00000134824,0.000671266338165721,0.16103855283755,0.000338458468388314,0.0261488151879447,synonymous,11061827959,11,61827959,
CYP21A2,ENSG00000231852,0.000686492587554599,0.00717365761741739,0.00052550212917013,0.0318502494881737,synonymous,6032038228,6,32038228,
RBSN,ENSG00000131381,0.000694043111775566,0.000527839312887468,0.00486712298218173,0.0342181792273627,synonymous,3015065074,3,15065074,
IGF2BP1,ENSG00000159217,0.000739226604314358,0.00314957167836327,0.00056058442235174,0.13454368325254,synonymous,17048997652,17,48997652,
AL133500.1,ENSG00000285547,0.000768895413520543,0.0014932554051007,0.00052136706084982,0.0264847781130321,synonymous,23072301610,X,72301610,
LCN12,ENSG00000184925,0.000772862562960719,0.000737268572077454,0.00207176914629814,0.0361662186992022,synonymous,9136952287,9,136952287,
PNMA3,ENSG00000183837,0.00077710359936678,0.000656134385649931,0.0126352085032272,0.0345445522935157,synonymous,23153057036,X,153057036,
C22orf15,ENSG00000169314,0.000832017835780574,0.0110343963489309,0.000496564732668348,0.0648692749702136,synonymous,22023763207,22,23763207,
CITED1,ENSG00000125931,0.000837986959245196,0.00335124194284331,0.000535085871252727,0.0234094118427705,synonymous,23072301610,X,72301610,
ANGPTL2,ENSG00000136859,0.000860027002668295,0.000740903555689676,0.00330547356781441,0.0314160517179242,synonymous,9127088845,9,127088845,
MCCC2,ENSG00000131844,0.000864038471429796,0.000897041537915921,0.00430638294085739,0.0693211555946597,synonymous,5071587268,5,71587268,
POTEB3,ENSG00000278522,0.000865138965040035,0.00166995636028777,0.000595397999145098,0.110247248040711,synonymous,15021422031,15,21422031,
TRDMT1,ENSG00000107614,0.000872960270341561,0.0586953623065106,0.000455215340063764,0.0330300001801749,synonymous,10017139092,10,17139092,
B3GNT5,ENSG00000176597,0.000896265795206852,0.151988385806085,0.000419553169225151,0.0338364259425084,synonymous,3183269723,3,183269723,
ATP5IF1,ENSG00000130770,0.000929875065369234,0.005195376944094,0.000552083920202229,0.1223546471828,synonymous,1028232834,1,28232834,
C6orf136,ENSG00000204564,0.000958632385033131,0.000532397897133885,0.0159992155571472,-0.0236525556552104,synonymous,6030642042,6,30642042,
DKC1,ENSG00000130826,0.000970664933364174,0.00161439106324224,0.00177717905154884,0.0599913404490358,synonymous,23154762879,X,154762879,
PPIB,ENSG00000166794,0.0010648596018461,0.00230676749867675,0.000992630499068947,0.0265223738847493,synonymous,15064151691,15,64151691,
SLC2A11,ENSG00000133460,0.00106928430276232,0.00669170867888047,0.000818874670926339,0.0203432857928275,synonymous,22023857000,22,23857000,
UCMA,ENSG00000165623,0.00110565472350488,0.004687754039568,0.000931070319956206,0.0857983185261084,synonymous,10013222019,10,13222019,
CASP4,ENSG00000196954,0.00110586084675679,0.0122482264574226,0.000734771404309997,0.0380169075255599,synonymous,11104944729,11,104944729,
FBXL18,ENSG00000155034,0.00115851837318925,0.000777523424288495,0.0027123388549799,0.0221661147165805,synonymous,7005481685,7,5481685,
OR4C11,ENSG00000172188,0.00120617925466593,0.00173429880818565,0.00169936105896362,0.0502275760040698,synonymous,11055603435,11,55603435,
OR51B5,ENSG00000167355,0.00120638440083398,0.0184004333726973,0.000745976934473092,0.0645248315098974,synonymous,11005342589,11,5342589,
NKAIN1,ENSG00000084628,0.00133016590506352,0.0351286195656937,0.00075438423430163,0.0441367983308639,synonymous,1031181605,1,31181605,
FMO5,ENSG00000131781,0.00133578181773131,0.00105338111162401,0.00456083289150166,0.0413992211923654,synonymous,1147184384,1,147184384,
MAP3K4,ENSG00000085511,0.00139707010333789,0.000987367290512409,0.00757538788217127,0.124243772452859,synonymous,6160991815,6,160991815,
TMED4,ENSG00000158604,0.00141552746511076,0.00917492245559903,0.00114729255505219,0.0669254764713515,synonymous,7044572894,7,44572894,
C2orf80,ENSG00000188674,0.00144997477528108,0.00187973685397602,0.00222330347800215,0.0976383809665349,synonymous,2208160776,2,208160776,
IL32,ENSG00000008517,0.00147067781273336,0.00901680342981881,0.00107708990705535,0.0294680191314412,synonymous,16003065776,16,3065776,
