Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
LDLR,ENSG00000130164,0.000024727622914944,0.0000182977769886961,0.140420964951355,0.00956153552144836,missense|LC,19011089485,19,11089485,
CAMKV,ENSG00000164076,0.0000444746997284584,0.0000270281637015923,0.0287758607533884,0.0215170948679011,missense|LC,3049856299,3,49856299,
TIMD4,ENSG00000145850,0.0000593517569021929,0.0000586528154729038,0.00131386814487144,0.0180485664804536,missense|LC,5156919399,5,156919399,
TECTA,ENSG00000109927,0.0000633827489968652,0.000292029682011585,0.000156852124180595,0.00573070167310746,missense|LC,11121102612,11,121102612,
OSR2,ENSG00000164920,0.0000745835361521952,0.00408022873585734,0.0000474867234563359,0.0102088102998313,missense|LC,8098948045,8,98948045,
AKR7A3,ENSG00000162482,0.0000970928052509423,0.0000711425664472465,0.0380883345596259,0.0103301601644402,missense|LC,1019282594,1,19282594,
GRK2,ENSG00000173020,0.000114061397421206,0.0000966580179582177,0.00539985633746065,0.0211106782678275,missense|LC,11067266649,11,67266649,
ABCG5,ENSG00000138075,0.000119051538694404,0.0000525286468970876,0.00401750578462445,0.00742061754811298,missense|LC,2043809660,2,43809660,
SRSF10,ENSG00000188529,0.000134481999795932,0.0583520095666106,0.0000551542137262606,0.0204471336588831,missense|LC,1023961392,1,23961392,
LSM4,ENSG00000130520,0.000141805921716198,0.0543668131277326,0.0000788205124030439,0.0240189493733163,missense|LC,19018307377,19,18307377,
MAP3K2,ENSG00000169967,0.00017303250505174,0.0365712142984566,0.000101993324226335,0.00667349754658748,missense|LC,2127293731,2,127293731,
COL4A1,ENSG00000187498,0.000174398901543249,0.000695315822111797,0.000406723909831985,-0.00728656281277452,missense|LC,13110150298,13,110150298,
JRKL,ENSG00000183340,0.000208864629330452,0.000185259008672833,0.00360055733606313,0.0247793176373147,missense|LC,11096390531,11,96390531,
IFI16,ENSG00000163565,0.00021576965852077,0.769275806149781,0.0000926444711963903,0.000440182429958975,missense|LC,1159014625,1,159014625,
STXBP3,ENSG00000116266,0.000260273814881029,0.000306136147465663,0.00293688166710271,0.0225796652493414,missense|LC,1108741695,1,108741695,
TTC30B,ENSG00000196659,0.000299874939467148,0.000151451457833796,0.00295162626927392,-0.0074515992833961,missense|LC,2177550696,2,177550696,
KPNA5,ENSG00000196911,0.000321045288952493,0.0408425840819638,0.00014070054209514,0.0116699118190148,missense|LC,6116681218,6,116681218,
OTUD7B,ENSG00000264522,0.000321465437682633,0.000163024776136167,0.0289416186783726,-0.0101421335220182,missense|LC,1149933288,1,149933288,
SOAT1,ENSG00000057252,0.000329277388174121,0.000204632256498249,0.118311952066065,0.0157139473022582,missense|LC,1179302645,1,179302645,
SETD9,ENSG00000155542,0.000359101511688609,0.00017025277984517,0.0855743452121467,0.0275490633422817,missense|LC,5056909577,5,56909577,
H2AB1,ENSG00000274183,0.000446339496846582,0.00464925754294687,0.000271356356209562,0.0344375833193012,missense|LC,23154885188,X,154885188,
CLEC14A,ENSG00000176435,0.00047007679113531,0.0051291394756271,0.000308318095560312,0.00830147904453309,missense|LC,14038254470,14,38254470,
CEP192,ENSG00000101639,0.000480713912550335,0.00242805551864866,0.000317234964348989,0.0391941627923182,missense|LC,18012986362,18,12986362,
PACSIN1,ENSG00000124507,0.000484585816972749,0.000887266952196875,0.000485159470137275,0.00966198445235991,missense|LC,6034526255,6,34526255,
SCG5,ENSG00000166922,0.000489449919579776,0.00127561228889261,0.000919191627009153,0.0294606157115156,missense|LC,15032636687,15,32636687,
ISL2,ENSG00000159556,0.000528240825429682,0.000287121996241702,0.0783230463329936,0.0186962456799321,missense|LC,15076336821,15,76336821,
RAD21,ENSG00000164754,0.000554870188215428,0.000615988913147292,0.00159790183050412,0.0124336935640458,missense|LC,8116847434,8,116847434,
HELZ,ENSG00000198265,0.000556165370450001,0.000281326909260859,0.0249885566515723,0.00891053874760794,missense|LC,17067078224,17,67078224,
ASTN1,ENSG00000152092,0.000640330119112242,0.347790895938085,0.000278692711064399,0.00220380652594708,missense|LC,1176860997,1,176860997,
NXF3,ENSG00000147206,0.000685075809573998,0.000456736927674894,0.00804155236845294,0.00995860977508584,missense|LC,23103076220,X,103076220,
AC243967.1,ENSG00000267881,0.000694157671305873,0.00204726554124268,0.000597880870574552,0.0178153846056189,missense|LC,19041708665,19,41708665,
RIMKLA,ENSG00000177181,0.000728186126268349,0.145773894326452,0.000317115170209381,0.00817377427802151,missense|LC,1042380855,1,42380855,
SPDEF,ENSG00000124664,0.000753090620423835,0.127747781409175,0.000403664631144274,0.00394569877909243,missense|LC,6034538187,6,34538187,
ITGA3,ENSG00000005884,0.000780971365971661,0.000492337504784501,0.0200724900234017,0.00793140352466226,missense|LC,17050056381,17,50056381,
STMND1,ENSG00000230873,0.000787431428712959,0.0239437691528448,0.000457686601046836,0.0155573013769771,missense|LC,6017102157,6,17102157,
APOB,ENSG00000084674,0.000789384392619996,0.649558912220234,0.000320587810724526,0.000396446352140169,missense|LC,2021001656,2,21001656,
CD3E,ENSG00000198851,0.000872336058169609,0.0334716611184808,0.000414783625428794,0.0113471540528571,missense|LC,11118304884,11,118304884,
PINLYP,ENSG00000234465,0.000905426260012443,0.20638558818162,0.000571248163880433,0.00514704868045039,missense|LC,19043574852,19,43574852,
CALCB,ENSG00000175868,0.000917904449415197,0.0422079195600622,0.0004806812790078,0.0136933469073278,missense|LC,11015074662,11,15074662,
RAD54L,ENSG00000085999,0.000966318975451852,0.000593184029629601,0.0055771932382146,-0.00741268499652975,missense|LC,1046248308,1,46248308,
MMRN2,ENSG00000173269,0.000980349445029005,0.00117252338711293,0.00485616276390366,0.00867459527834826,missense|LC,10086936634,10,86936634,
HTRA1,ENSG00000166033,0.00109288684672715,0.000733078131239795,0.0127579663389259,0.0104307896402214,missense|LC,10122456775,10,122456775,
TDRD10,ENSG00000163239,0.00112575664736925,0.0164469302080008,0.00058717812836151,0.00894282458659594,missense|LC,1154498993,1,154498993,
IFNA10,ENSG00000186803,0.00116160768969231,0.0206480390673593,0.000782108848761398,0.00568427958982292,missense|LC,9021201455,9,21201455,
CPXM1,ENSG00000088882,0.0012592076960003,0.846773903992171,0.00063238580181002,-0.000327373360289989,missense|LC,20002794063,20,2794063,
CLTCL1,ENSG00000070371,0.00130916777214563,0.0488057285808269,0.00115785976080462,-0.00152935113144026,missense|LC,22019176084,22,19176084,
KLHL33,ENSG00000185271,0.00131194598747131,0.00604686085668238,0.00100875266087952,0.00682442533431463,missense|LC,14020428811,14,20428811,
RRAS,ENSG00000126458,0.00134812711847787,0.0102777168140815,0.0010207388517276,0.00728187242865062,missense|LC,19049635529,19,49635529,
FAM219A,ENSG00000164970,0.00142843250589009,0.618210925017287,0.000682349470528143,-0.00514523818127181,missense|LC,9034397421,9,34397421,
TMEM87B,ENSG00000153214,0.00154971436764617,0.314906433159965,0.000735285581871414,0.00419216942395823,missense|LC,2112055475,2,112055475,
PAK1,ENSG00000149269,0.00164410136778237,0.0378190492659799,0.00138760773265401,-0.00877689752983676,missense|LC,11077323116,11,77323116,
MEI4,ENSG00000269964,0.00166602485383116,0.00633087689777345,0.00137865097167233,0.00868878688139866,missense|LC,6077690624,6,77690624,
KRT39,ENSG00000196859,0.00174500068352557,0.00117392789159643,0.0445630903437112,-0.00723956094373677,missense|LC,17040958497,17,40958497,
SHISA2,ENSG00000180730,0.00176675938212179,0.832629763772033,0.000898142140073777,-0.00095397644622665,missense|LC,13026046420,13,26046420,
H3-3B,ENSG00000132475,0.00187442927039594,0.0305477419270423,0.00120007017670187,0.0681785667342318,missense|LC,17075778474,17,75778474,
TRIM33,ENSG00000197323,0.00195049847573081,0.00100936905052529,0.0543264071848846,0.0143061394331141,missense|LC,1114397643,1,114397643,
NDUFA12,ENSG00000184752,0.00197747962391992,0.0107297250563374,0.00148945078937124,0.0119680710633183,missense|LC,12094971353,12,94971353,
AHSA1,ENSG00000100591,0.00199388796389921,0.00176243928147635,0.0129115572713954,-0.00970508823422374,missense|LC,14077453231,14,77453231,
COMMD9,ENSG00000110442,0.00199555928427964,0.00244172068438742,0.00430164156768931,0.0180453683333583,missense|LC,11036274525,11,36274525,
C8G,ENSG00000176919,0.0020893520064249,0.00111318467835197,0.0256563592531804,0.0133667586876995,missense|LC,9136940787,9,136940787,
HCAR2,ENSG00000182782,0.00210716443065384,0.00651784844756753,0.00196481786426195,-0.00324410825120766,missense|LC,12122702046,12,122702046,
IFNA1,ENSG00000197919,0.00215635306671791,0.82221800365119,0.00118946566144729,-0.000903193919504351,missense|LC,9021440399,9,21440399,
POLN,ENSG00000130997,0.00217877281439793,0.520497283123961,0.00103349017315257,-0.00142592034167721,missense|LC,4002072029,4,2072029,
ATCAY,ENSG00000167654,0.00220807218746943,0.016263351220188,0.0018503296952741,0.0120607446851846,missense|LC,19003885702,19,3885702,
CREBZF,ENSG00000137504,0.00220911358782938,0.00683127899170455,0.00356823292315012,0.0172063760735076,missense|LC,11085656253,11,85656253,
SHTN1,ENSG00000187164,0.00227446358252348,0.00127773530282926,0.0609808274303201,0.0163463291338893,missense|LC,10116879245,10,116879245,
ANKRD53,ENSG00000144031,0.00236463648759833,0.00232098131284508,0.0161967188524115,0.0125835988865033,missense|LC,2070978523,2,70978523,
GAD1,ENSG00000128683,0.00239198998688717,0.448537497379961,0.00128662953386205,0.00308634507986153,missense|LC,2170818539,2,170818539,
IFT172,ENSG00000138002,0.00240449787750008,0.00113571073972962,0.0948255912325535,0.0055439281705941,missense|LC,2027439669,2,27439669,
SBSPON,ENSG00000164764,0.00240863961021009,0.00172371630810297,0.0102507526605556,-0.0102641104835596,missense|LC,8073067343,8,73067343,
DNAJC13,ENSG00000138246,0.00241078760028235,0.00109093169035201,0.150928542499796,-0.00413674982294635,missense|LC,3132434499,3,132434499,
KHDC1,ENSG00000135314,0.00241081621148331,0.0164487190752602,0.00144076067371579,0.00674008295835673,missense|LC,6073241457,6,73241457,
NDUFB7,ENSG00000099795,0.00243570149357009,0.862095741452865,0.00117800691575931,0.00122682493146206,missense|LC,19014562435,19,14562435,
GOLGA8N,ENSG00000232653,0.00244428930939489,0.138998893943536,0.00129305620768672,0.0224032083083884,missense|LC,15032593437,15,32593437,
STAG2,ENSG00000101972,0.00246187202036152,0.0308802114519714,0.00155383743096371,0.0122754167864233,missense|LC,23124022588,X,124022588,
GPR1,ENSG00000183671,0.00248318724920205,0.00192656164676608,0.0055864503208124,0.00776870823285486,missense|LC,2206176141,2,206176141,
CDCP1,ENSG00000163814,0.002502695619365,0.0891064047126108,0.00149432013608086,0.00412519615699194,missense|LC,3045085559,3,45085559,
TG,ENSG00000042832,0.00254734944536195,0.00114940972811539,0.737823480660402,0.00368310648001349,missense|LC,8132866942,8,132866942,
UBE4A,ENSG00000110344,0.00257754871730165,0.00120024929860274,0.130335185224494,0.0111464521106811,missense|LC,11118364956,11,118364956,
C3orf62,ENSG00000188315,0.00263983678848501,0.00150460757838067,0.00696966031676927,-0.00810861849373409,missense|LC,3049271096,3,49271096,
ZDHHC5,ENSG00000156599,0.00277194710273287,0.00356650433444461,0.00366915500335074,0.00768889551413055,missense|LC,11057673026,11,57673026,
CPNE2,ENSG00000140848,0.00295141266364352,0.174839970585278,0.0015935709419248,0.00502091579503293,missense|LC,16057110656,16,57110656,
TTC13,ENSG00000143643,0.00303672402251465,0.288521962464181,0.00149586041040284,0.00334520905627193,missense|LC,1230906885,1,230906885,
PI4K2B,ENSG00000038210,0.00305596085006266,0.00646875564540172,0.00349004328009117,0.0138363593622517,missense|LC,4025234068,4,25234068,
MX1,ENSG00000157601,0.00306870788220392,0.200957585914095,0.00173352646099811,0.00306117282981358,missense|LC,21041431993,21,41431993,
TM7SF2,ENSG00000149809,0.00306902071463877,0.00143112128015743,0.170681555941066,0.0103984485691778,missense|LC,11065107471,11,65107471,
KCNA5,ENSG00000130037,0.00307302000143006,0.00166371044260905,0.0668128533943428,0.00594807960278005,missense|LC,12005044047,12,5044047,
CELF2,ENSG00000048740,0.00308799967238027,0.00660112792954626,0.00240036116643449,0.0125805293051485,missense|LC,10011017967,10,11017967,
BATF,ENSG00000156127,0.00316156444059945,0.00289950490773339,0.0135298214735095,-0.0127484498150631,missense|LC,14075522593,14,75522593,
NCR2,ENSG00000096264,0.00324982770493154,0.00194412226225993,0.0236865358450316,0.0151862070446404,missense|LC,6041335790,6,41335790,
STXBP4,ENSG00000166263,0.00327937505048759,0.162268687626253,0.00180565701299051,-0.0103386527787648,missense|LC,17054964639,17,54964639,
NAB1,ENSG00000138386,0.00329156921393381,0.00192461438495162,0.122177247356834,0.0129574447077484,missense|LC,2190659121,2,190659121,
BABAM2,ENSG00000158019,0.00330703063379501,0.00308965272395978,0.0096441483604035,0.0123770276790352,missense|LC,2027890179,2,27890179,
CELA2B,ENSG00000215704,0.00332949081680878,0.00265172752888498,0.0175908941644516,-0.00859649570824193,missense|LC,1015471892,1,15471892,
MAPKBP1,ENSG00000137802,0.0033386528127437,0.00178123406927511,0.0212534623922458,0.00606212971206607,missense|LC,15041775225,15,41775225,
SLC32A1,ENSG00000101438,0.00342074646545365,0.0154675569898635,0.00249056961519034,0.0112792717875333,missense|LC,20038724608,20,38724608,
