Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
JAGN1,ENSG00000171135,0.00000636067670833906,0.0000299065350146677,0.0000200401523007265,0.0402721579133258,synonymous,3009890642,3,9890642,
TSBP1,ENSG00000204296,0.0000115711976147459,0.0274986916057444,0.0000060744489263076,0.00818746187921987,synonymous,6032292959,6,32292959,
SKIV2L,ENSG00000204351,0.0000156040502004018,0.0993924965834592,0.00000626563920258505,-0.0041566731439546,synonymous,6031954176,6,31954176,
ZNF431,ENSG00000196705,0.0000162690319388537,0.000101381164388625,0.0000444172197155979,0.0452618922723013,synonymous,19021142072,19,21142072,
PCGF2,ENSG00000277258,0.0000761493836963778,0.00059100473695517,0.000187759860319936,0.0393247841459708,synonymous,17038730278,17,38730278,
FKBPL,ENSG00000204315,0.0000990197028071238,0.046756529149342,0.0000886639194365157,0.0254020723377058,synonymous,6032125992,6,32125992,
C1R,ENSG00000159403,0.000115363920803468,0.0000790175590130726,0.00193771357419814,0.0451497193194364,synonymous,12007080423,12,7080423,
DDIT4L,ENSG00000145358,0.000126547303523905,0.0000819142525620986,0.00195321737748699,0.071783079696841,synonymous,4100187583,4,100187583,
LPXN,ENSG00000110031,0.000144875255817856,0.00618501033461694,0.000102141251390631,0.0418183775926835,synonymous,11058527372,11,58527372,
DPP4,ENSG00000197635,0.000154598759333102,0.000135153391808029,0.00106032342650453,0.0567464948706772,synonymous,2161993236,2,161993236,
C4B,ENSG00000224389,0.000166343318702133,0.000103496198039288,0.00513064833505084,0.030341372734677,synonymous,6032009810,6,32009810,
RECK,ENSG00000122707,0.000177118827866529,0.000129092372503026,0.00376405480305275,0.0197976575894524,synonymous,9036036937,9,36036937,
MCTS2P,ENSG00000101898,0.00019161397586831,0.00209387965951957,0.000139277985709896,0.143585288720529,synonymous,20031544893,20,31544893,
EEF1AKNMT,ENSG00000010165,0.000224499353270291,0.000164079287033325,0.00395118640504577,-0.0156792788243576,synonymous,1171781694,1,171781694,
