Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
RBMS1,ENSG00000153250,0.00000760027080992653,0.00000339581699171365,0.0000358527217818594,0.292730972988084,pLoF,2160275446,2,160275446,
NELFB,ENSG00000188986,0.0000158652022278494,0.0000348729280246207,0.0000390003198356137,0.182521281318609,pLoF,9137251260,9,137251260,
TAF8,ENSG00000137413,0.0000191589301536954,0.0136546322330348,0.00000984905131029556,0.0814527334655264,pLoF,6042050485,6,42050485,
KLHDC4,ENSG00000104731,0.0000581204697148729,0.000279402516622729,0.0000989234937316397,0.0728682503370052,pLoF,16087708320,16,87708320,
CD82,ENSG00000085117,0.0000733719985609449,0.0118154995547323,0.0000344496765397606,0.105907138279606,pLoF,11044594615,11,44594615,
CNGA3,ENSG00000144191,0.0000744275785395931,0.000714470271391487,0.000075788609959937,0.0956262065965205,pLoF,2098369917,2,98369917,
APOBEC1,ENSG00000111701,0.0000973831407247161,0.00012395512345531,0.0000977597625352322,0.0319567866977773,pLoF,12007649459,12,7649459,
POLR1E,ENSG00000137054,0.000114592202143604,0.00109013595597451,0.000113073856364165,0.124408789241396,pLoF,9037485936,9,37485936,
LRRC19,ENSG00000184434,0.000126663439177999,0.0003703469507923,0.000122240757409076,0.0549788236985313,pLoF,9026988608,9,26988608,
OAS3,ENSG00000111331,0.000150692712823863,0.0180215179253691,0.00006415175156671,0.0488963927487081,pLoF,12112938447,12,112938447,
TMEM230,ENSG00000089063,0.00016301925991058,0.0079100924775688,0.000132172280636,0.158319714776519,pLoF,20005099766,20,5099766,
SPICE1,ENSG00000163611,0.00017489439274998,0.0110701384954579,0.00010876978193497,0.0700532272542132,pLoF,3113441308,3,113441308,
FAP,ENSG00000078098,0.000194210657431304,0.00236648120474259,0.000191362919813698,0.0944321676450153,pLoF,2162170939,2,162170939,
CCDC181,ENSG00000117477,0.000196185174901053,0.000158017780807818,0.00119981228217814,0.0995332346584706,pLoF,1169394978,1,169394978,
GKAP1,ENSG00000165113,0.000206851746487047,0.000224081730671122,0.000408338503773753,0.192942194150477,pLoF,9083739637,9,83739637,
GUCY2C,ENSG00000070019,0.000208073245169471,0.00475765842977438,0.000153294131397863,0.0853906355199062,pLoF,12014613065,12,14613065,
CALU,ENSG00000128595,0.000216039728865303,0.000348411603615761,0.000232758650759002,0.142243785139042,pLoF,7128748307,7,128748307,
RAET1L,ENSG00000155918,0.000219545513792552,0.000241914413644073,0.00063562875467027,0.102160157466429,pLoF,6150020186,6,150020186,
FAM98B,ENSG00000171262,0.000220394180593497,0.00147511787203469,0.000174690022411772,0.150746743730041,pLoF,15038454083,15,38454083,
DHRS2,ENSG00000100867,0.000238539567789964,0.0208788015360019,0.000144533761299415,0.0630359831462358,pLoF,14023638739,14,23638739,
HSPA1L,ENSG00000204390,0.000261479243613305,0.000511232276822593,0.000455104059237765,0.136869299827055,pLoF,6031806016,6,31806016,
IMMT,ENSG00000132305,0.000261907071677281,0.0311657386037038,0.000184193159745938,0.112699017538994,pLoF,2086144172,2,86144172,
ITPR1,ENSG00000150995,0.000273974689466217,0.0058860852889171,0.000172978918888456,0.120958073237479,pLoF,3004516471,3,4516471,
NECTIN2,ENSG00000130202,0.000302731060773054,0.000336003877887903,0.000599426680494286,0.181264390506837,pLoF,19044846405,19,44846405,
ADGRA3,ENSG00000152990,0.000365999893040758,0.0081790323381653,0.000222771185282467,0.112648095404408,pLoF,4022387621,4,22387621,
THUMPD2,ENSG00000138050,0.000382936874274376,0.0338686969740707,0.000291116899877597,0.0795826223359675,pLoF,2039736656,2,39736656,
NPHP1,ENSG00000144061,0.000398275570599238,0.000561269784367546,0.000733917088289626,0.113304082342522,pLoF,2110123714,2,110123714,
IZUMO1,ENSG00000182264,0.000401599979140577,0.00283980008991813,0.000298546495633323,0.0921369623553388,pLoF,19048737390,19,48737390,
ZNF214,ENSG00000149050,0.000417088300317947,0.00102861068042792,0.000395695751946423,0.158692267139622,pLoF,11006999766,11,6999766,
CSN1S1,ENSG00000126545,0.00042446658686579,0.00547750432339944,0.000306736950969055,0.0716196666287756,pLoF,4069932476,4,69932476,
SALL4,ENSG00000101115,0.000435131253677778,0.000482941521195768,0.00042454034745032,0.12632242205291,pLoF,20051784171,20,51784171,
CCDC146,ENSG00000135205,0.000496436372177111,0.0121677467975545,0.000319761704741905,0.0620619390140543,pLoF,7077119501,7,77119501,
PKN2,ENSG00000065243,0.000546318733070317,0.00512667453855031,0.000475782681531367,0.171059581105256,pLoF,1088684514,1,88684514,
SAP18,ENSG00000150459,0.000549452998734323,0.0175792962925945,0.00041647624019292,0.0942185622550837,pLoF,13021140444,13,21140444,
CERS3,ENSG00000154227,0.000554948013720913,0.00792778474977207,0.00046322474590621,0.154900412887653,pLoF,15100402634,15,100402634,
GCNT1,ENSG00000187210,0.000615300975171706,0.000571697595740828,0.00202477253874267,0.113171145127111,pLoF,9076502346,9,76502346,
OR13C5,ENSG00000277556,0.000691052530456537,0.00641880653245364,0.000595653993530343,0.163319886884308,pLoF,9104598432,9,104598432,
CNDP1,ENSG00000150656,0.000699187001533152,0.000951123025723755,0.000938294642393478,0.0378773270986368,pLoF,18074534589,18,74534589,
TOMM40L,ENSG00000158882,0.000714075396644032,0.000953206345993829,0.000629558947481179,0.228394200563304,pLoF,1161222368,1,161222368,
IFIH1,ENSG00000115267,0.00075489035869214,0.00037713983439136,0.0163596136779547,0.021464776419581,pLoF,2162267178,2,162267178,
ITCH,ENSG00000078747,0.000784719035846093,0.00773569328283974,0.00044885578248699,0.159833405716675,pLoF,20034393796,20,34393796,
LARP6,ENSG00000166173,0.000800826179833791,0.000771001779794389,0.00116503346463592,0.165122767947636,pLoF,15070832003,15,70832003,
PIP4K2C,ENSG00000166908,0.00082499422545379,0.00479429453410807,0.000564627186656841,0.125211399178595,pLoF,12057591198,12,57591198,
PACS2,ENSG00000179364,0.000825166699984559,0.00309097073665598,0.000532673488562008,0.18908966283345,pLoF,14105314863,14,105314863,
RCE1,ENSG00000173653,0.000853072687283407,0.00524434904625481,0.000530926621278627,0.17206056028874,pLoF,11066838443,11,66838443,
SAMD10,ENSG00000130590,0.000860770437634995,0.00103849439214643,0.000794630380813732,0.225429492401528,pLoF,20063969116,20,63969116,
C17orf49,ENSG00000258315,0.000892192561936955,0.0160292676032099,0.000692562517905171,0.131311334010276,pLoF,17007009690,17,7009690,
TECR,ENSG00000099797,0.000894982484638152,0.00354929466139375,0.000584089400269883,0.184603404608088,pLoF,19014529571,19,14529571,
RNASEK-C17orf49,ENSG00000161939,0.000926409010965745,0.0183934954336787,0.000710115230917796,0.126874910813664,pLoF,17007009690,17,7009690,
RIT1,ENSG00000143622,0.000937228519092725,0.0518142326081229,0.000509509029487543,0.0970317868420931,pLoF,1155900354,1,155900354,
KTI12,ENSG00000198841,0.000956985767153307,0.00103769404899112,0.000904554704486027,0.0650376519039515,pLoF,1052027228,1,52027228,
LRRC8E,ENSG00000171017,0.000959764097002824,0.000873386136950982,0.00112404850195535,0.231391148772246,pLoF,19007895493,19,7895493,
ARHGAP28,ENSG00000088756,0.000976222626086765,0.0961859249037682,0.000491887787984369,0.05249091799114,pLoF,18006837151,18,6837151,
GAD1,ENSG00000128683,0.00100054880389888,0.00895752979103637,0.000574974986279342,0.155064850101918,pLoF,2170818539,2,170818539,
LIMA1,ENSG00000050405,0.00100554315903501,0.0311638505525589,0.000497115237072077,0.0821766161739826,pLoF,12050176999,12,50176999,
MINK1,ENSG00000141503,0.00102924524456582,0.0016810283672356,0.000988511451992635,0.050158953679869,pLoF,17004833514,17,4833514,
PAX4,ENSG00000106331,0.00107902227387335,0.0196777933537597,0.000617485336386947,0.0931046712104816,pLoF,7127610808,7,127610808,
ILDR2,ENSG00000143195,0.00108872224888135,0.00723799774881384,0.000653165554869051,0.161913831798532,pLoF,1166919288,1,166919288,
GRIN2C,ENSG00000161509,0.00110640744200474,0.00209477662186419,0.00106759354766861,0.0958174546695996,pLoF,17074837027,17,74837027,
B4GALT4,ENSG00000121578,0.00111439358216558,0.0206111144486997,0.000840907939122282,0.124811105489147,pLoF,3119212467,3,119212467,
DOCK5,ENSG00000147459,0.00112477629130103,0.0357980853134242,0.000582340326205744,0.0555930497673329,pLoF,8025184800,8,25184800,
MXRA8,ENSG00000162576,0.00113170740248736,0.0520297331235461,0.000726322740619345,0.0942093215986172,pLoF,1001348788,1,1348788,
MYLK2,ENSG00000101306,0.00113514019063532,0.0238704514009095,0.000853324352828366,0.121164894818446,pLoF,20031819464,20,31819464,
SCFD1,ENSG00000092108,0.00116399052344462,0.00471388459665611,0.000727420807411283,0.175469989898039,pLoF,14030622216,14,30622216,
ACADVL,ENSG00000072778,0.00116701487211135,0.0061902448261475,0.001151875657732,0.0714922989583071,pLoF,17007217019,17,7217019,
REV3L,ENSG00000009413,0.00117067484188504,0.0187576257204735,0.000601127361291476,0.129761278499315,pLoF,6111299933,6,111299933,
CALCRL,ENSG00000064989,0.00118247662688475,0.00767930790957494,0.00102641394562086,0.113357081178046,pLoF,2187346152,2,187346152,
AAMP,ENSG00000127837,0.00119445722786071,0.00387512555137326,0.000818280632473023,0.181773287333889,pLoF,2218262624,2,218262624,
CTTN,ENSG00000085733,0.00119502276712291,0.0612885117795421,0.00079513170814427,0.0903401798304128,pLoF,11070407238,11,70407238,
SLC6A13,ENSG00000010379,0.00119629159799128,0.0707600114420622,0.00061357083428204,0.0641823644724534,pLoF,12000220836,12,220836,
MCTP1,ENSG00000175471,0.00123066942747085,0.0141837626130672,0.000742940073113707,0.0996778045325596,pLoF,5094707448,5,94707448,
EIF3H,ENSG00000147677,0.00123656339129352,0.00330730946475577,0.000838983796679793,0.186884416944332,pLoF,8116644970,8,116644970,
CDK2AP1,ENSG00000111328,0.00125285584044343,0.00112042379493804,0.00135647813969408,0.150074304446716,pLoF,12123256765,12,123256765,
CCDC68,ENSG00000166510,0.00125474093329714,0.000762438492511786,0.00375330307643784,0.0918953754084374,pLoF,18054904316,18,54904316,
