Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
TLK2,ENSG00000146872,0.00000263999998983966,0.000718484173974465,0.00000228463464901907,0.0955907438542187,missense|LC,17062481053,17,62481053,
ZCCHC3,ENSG00000247315,0.0000142852742994748,0.0000130605220208801,0.000688653060081812,0.0773149139255316,missense|LC,20000297485,20,297485,
NR2F6,ENSG00000160113,0.0000160493074581325,0.000601748430143267,0.0000207590059714269,0.0590745161908182,missense|LC,19017226883,19,17226883,
NMD3,ENSG00000169251,0.0000264067058820538,0.000658758105351209,0.0000316011751751999,0.0534300091199077,missense|LC,3161221985,3,161221985,
PTPRU,ENSG00000060656,0.0000274244996983919,0.0000136652167505025,0.0471171292671411,0.0349072462815124,missense|LC,1029236548,1,29236548,
DEFB134,ENSG00000205882,0.0000288537116277521,0.000193524660147881,0.0000415177569422776,0.107875628301336,missense|LC,8011993852,8,11993852,
LHFPL4,ENSG00000156959,0.0000541509421921882,0.0059665276801506,0.0000284628834178458,0.0962088452207069,missense|LC,3009502177,3,9502177,
QSER1,ENSG00000060749,0.0000671114855849142,0.0260763969297533,0.0000392329764311583,0.0165543991062354,missense|LC,11032928011,11,32928011,
PSMC4,ENSG00000013275,0.0000822559563659064,0.000249539373769703,0.00031582100567884,0.107249595054118,missense|LC,19039971104,19,39971104,
AGPAT1,ENSG00000204310,0.0000896597783381914,0.00520504876340167,0.0000600326159254649,0.0992477049821394,missense|LC,6032166087,6,32166087,
TMEM163,ENSG00000152128,0.000104313473604734,0.0032313705606779,0.0000827066239155183,0.0698376753195957,missense|LC,2134456619,2,134456619,
SLC2A6,ENSG00000160326,0.00012279523210923,0.000472873398965623,0.0000805026899393102,0.0269628882711953,missense|LC,9133467885,9,133467885,
ETV1,ENSG00000006468,0.000154893623232177,0.00112800504575938,0.000364254834569255,0.0676912981105353,missense|LC,7013895832,7,13895832,
B3GALNT1,ENSG00000169255,0.000183385019731475,0.00723340624482238,0.000138597171390309,0.0789185411372391,missense|LC,3161085672,3,161085672,
SYS1,ENSG00000204070,0.00018955008801258,0.0483316567468504,0.000088935586906258,0.0725053050845578,missense|LC,20045359971,20,45359971,
SYS1-DBNDD2,ENSG00000254806,0.000195610431905746,0.0291672619995766,0.000137701013488645,0.115028826146525,missense|LC,20045359971,20,45359971,
PSMG1,ENSG00000183527,0.000197322255533039,0.000146647771619657,0.00723138000401335,0.0416927063849264,missense|LC,21039175424,21,39175424,
