Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
PSORS1C1,ENSG00000204540,1.78884163037907e-9,0.000142649459823563,1.94344949739416e-9,0.0301265921098909,missense|LC,6031111304,6,31111304,
CYP21A2,ENSG00000231852,1.60612774857682e-7,0.926461229631479,4.60540727775793e-8,0.000142715380891784,missense|LC,6032038228,6,32038228,
PLN,ENSG00000198523,0.0000217023052798693,0.0000202877967243609,0.000357169589753958,0.119990215750166,missense|LC,6118558870,6,118558870,
PRPF40B,ENSG00000110844,0.0000405981498337038,0.000069317652559242,0.000617036030813312,0.0233639258281106,missense|LC,12049623464,12,49623464,
PVR,ENSG00000073008,0.0000410139044136892,0.0000215166991797133,0.000783529937637528,0.0248409180053568,missense|LC,19044644028,19,44644028,
GOLGA8J,ENSG00000179938,0.000047813798382812,0.00246760602387408,0.0000308082393905007,0.00889261888835088,missense|LC,15030084814,15,30084814,
H1-2,ENSG00000187837,0.000104275333004389,0.191114661530882,0.0000486474585862373,0.00673909606136767,missense|LC,6026055724,6,26055724,
F12,ENSG00000131187,0.000126633859331426,0.0000756061416573584,0.00497279174046616,0.0249768306849386,missense|LC,5177397142,5,177397142,
PTPN7,ENSG00000143851,0.000136330943683927,0.00034139933981403,0.000273804510093956,0.0166360631728668,missense|LC,1202144348,1,202144348,
HDHD5,ENSG00000069998,0.000140089313381053,0.000105518906620694,0.0050418429734651,0.0218425878213805,missense|LC,22017137953,22,17137953,
ETFBKMT,ENSG00000139160,0.000150909819074174,0.00008322182418663,0.000425756118752174,0.0251154933116944,missense|LC,12031661882,12,31661882,
PSMA1,ENSG00000129084,0.000162686407366497,0.00398888434335831,0.000181563784892758,0.0683716067576169,missense|LC,11014505144,11,14505144,
STK32B,ENSG00000152953,0.000170246501286608,0.00794097095284341,0.00011718282050599,0.0208712590491608,missense|LC,4005051740,4,5051740,
TRIM60,ENSG00000176979,0.0001933196214845,0.131739047542567,0.0000930503665628191,0.00708359987137813,missense|LC,4165040009,4,165040009,
NKX2-1,ENSG00000136352,0.00023071393215679,0.000267303984724521,0.000828665799196271,0.0347855977868038,missense|LC,14036513038,14,36513038,
BTN2A1,ENSG00000112763,0.00024669026440316,0.121574650957803,0.000124216320613657,0.00726945069816089,missense|LC,6026458554,6,26458554,
CD248,ENSG00000174807,0.000272493273280161,0.013716173363938,0.000137436412773528,-0.00893157277691446,missense|LC,11066314691,11,66314691,
CCNB1IP1,ENSG00000100814,0.000286288438000826,0.000862471958682054,0.000669208879370387,0.0450094895373815,missense|LC,14020311492,14,20311492,
TRANK1,ENSG00000168016,0.000300008706201171,0.125090917382103,0.000130390392269364,0.00486339815831167,missense|LC,3036828227,3,36828227,
TFCP2,ENSG00000135457,0.000348271529604927,0.0143895168320354,0.000234908366610664,0.0375697808897537,missense|LC,12051095170,12,51095170,
LEXM,ENSG00000162398,0.000395275972898013,0.000648876801922937,0.00101762146116124,0.0259258951466005,missense|LC,1054801107,1,54801107,
ELMO3,ENSG00000102890,0.000463884091753131,0.000188597256751466,0.0469864784552145,0.0158878657671251,missense|LC,16067194306,16,67194306,
ZNF829,ENSG00000185869,0.000527471543049329,0.000281944477099394,0.00973253783923889,0.0306834461695487,missense|LC,19036891394,19,36891394,
ADCY7,ENSG00000121281,0.000536343673108064,0.00587554953272529,0.000442087106381606,0.0102734852398912,missense|LC,16050288068,16,50288068,
CHMP3,ENSG00000115561,0.000569421782675605,0.00651543408710542,0.000364063983816831,0.0309554910231617,missense|LC,2086505662,2,86505662,
CHMP2A,ENSG00000130724,0.000594122006350339,0.0180899414171395,0.000362916963591475,0.0361320929076619,missense|LC,19058547255,19,58547255,
STOML2,ENSG00000165283,0.000595076932987548,0.00632370709340679,0.000416823217807782,0.0318903945077642,missense|LC,9035094925,9,35094925,
SLC26A2,ENSG00000155850,0.000658036409971419,0.161490163053954,0.000340061712978068,0.00846031287567209,missense|LC,5149977632,5,149977632,
TMIGD1,ENSG00000182271,0.000677996680432558,0.00535589521815305,0.000746466325176942,0.0340890153284082,missense|LC,17030316608,17,30316608,
SOBP,ENSG00000112320,0.000714526914344593,0.226633052861755,0.000387429060012323,-0.0047390410667108,missense|LC,6107490567,6,107490567,
B3GALT4,ENSG00000235863,0.000718822891236814,0.0918556600494427,0.000446383919882498,0.0206661916327779,missense|LC,6033272125,6,33272125,
MOV10L1,ENSG00000073146,0.000722955597687758,0.252442543825134,0.000401300996186293,0.00467860906312424,missense|LC,22050085008,22,50085008,
RNF103-CHMP3,ENSG00000249884,0.000763764863234484,0.0139574122836401,0.000408041463228925,0.0272502130840848,missense|LC,2086505669,2,86505669,
IQCF6,ENSG00000214686,0.0007816894133853,0.239698063506172,0.000362402427154684,0.0164359395827587,missense|LC,3051778504,3,51778504,
SYNJ1,ENSG00000159082,0.00082173012834974,0.000470558197444793,0.0170369025565016,0.0167962379425469,missense|LC,21032630917,21,32630917,
ATXN2,ENSG00000204842,0.000835731724554534,0.000785713870414928,0.00347627314212451,0.0107294230406296,missense|LC,12111447217,12,111447217,
DUSP26,ENSG00000133878,0.000858197955534989,0.000692768763906004,0.00736540549839981,0.0218141690208148,missense|LC,8033591917,8,33591917,
FBXO48,ENSG00000204923,0.000868987646109431,0.384639310858245,0.000408127952481019,0.0201607591813703,missense|LC,2068464145,2,68464145,
TSPAN2,ENSG00000134198,0.000884256007833928,0.0100473313804532,0.000700896280991681,0.0271179555338787,missense|LC,1115050440,1,115050440,
PPP4R3B,ENSG00000275052,0.000911796689867628,0.000544890524138086,0.00591905956630678,0.0149674335009683,missense|LC,2055543867,2,55543867,
RTN4,ENSG00000115310,0.000943270224470383,0.000836617193279876,0.00293598205131562,0.0238199847294544,missense|LC,2054968051,2,54968051,
RSPH3,ENSG00000130363,0.000978386966000722,0.00616142812960452,0.000584819868933661,0.0143857753097328,missense|LC,6158977470,6,158977470,
RCAN3,ENSG00000117602,0.000991495556706523,0.000798977489207209,0.00402246641202142,0.0312555314104965,missense|LC,1024514295,1,24514295,
KIFC2,ENSG00000167702,0.00100473895628228,0.000834530843166537,0.00414321568635323,0.0100844635525321,missense|LC,8144463733,8,144463733,
TLE1,ENSG00000196781,0.00100610949832403,0.00475418478355394,0.000931998932086286,0.0162635775284775,missense|LC,9081584145,9,81584145,
SCG3,ENSG00000104112,0.00104912016403591,0.00177298927114244,0.00167777770331801,0.0285594425489192,missense|LC,15051681712,15,51681712,
MUC12,ENSG00000205277,0.00106981522409477,0.106662628873163,0.000820064718093816,0.00215168925773804,missense|LC,7100964625,7,100964625,
PSPC1,ENSG00000121390,0.00111073599431832,0.00269299049186755,0.00303750131555813,0.0427875858665875,missense|LC,13019703108,13,19703108,
VPS29,ENSG00000111237,0.00112017531343933,0.00452314084631222,0.00135969080799281,0.0524370735693851,missense|LC,12110486533,12,110486533,
ADPRHL1,ENSG00000153531,0.00113792170405502,0.00121985176278594,0.00110035541310849,-0.0149317225351592,missense|LC,13113422715,13,113422715,
LEKR1,ENSG00000197980,0.00118443471948704,0.0122745084306268,0.000711323851711354,0.0402319782558931,missense|LC,3156829293,3,156829293,
TFAP2E,ENSG00000116819,0.00119537059543817,0.0836252643399619,0.000750794056335158,0.0102302037726679,missense|LC,1035573439,1,35573439,
PCBD2,ENSG00000132570,0.00123161890633694,0.00173357727064172,0.00112466584553583,-0.0237006185227119,missense|LC,5134905057,5,134905057,
PGAP1,ENSG00000197121,0.00124625061811123,0.000822074501533265,0.00863797775390096,0.0166633723936176,missense|LC,2196841153,2,196841153,
TREM2,ENSG00000095970,0.00129305127052648,0.000796041728291952,0.0134763515359302,-0.0145673535584148,missense|LC,6041153667,6,41153667,
SLC41A2,ENSG00000136052,0.00131216000849821,0.108950881433622,0.00067465319141824,0.0178395482092947,missense|LC,12104805078,12,104805078,
IL2,ENSG00000109471,0.00133224140317356,0.00661238038295531,0.00137305116811492,0.0798519609636411,missense|LC,4122451760,4,122451760,
DALRD3,ENSG00000178149,0.00133375682014092,0.0346056456631727,0.000782582309469038,0.0186016378143137,missense|LC,3049011368,3,49011368,
INSIG2,ENSG00000125629,0.00135746652795699,0.0116550022502332,0.00100811614456209,0.0513793526965592,missense|LC,2118096486,2,118096486,
CDX2,ENSG00000165556,0.0014383322271293,0.0625234494870203,0.000785043053319057,0.017534945675309,missense|LC,13027962987,13,27962987,
ITGB3BP,ENSG00000142856,0.00155968460168521,0.0123988070764234,0.00127086775802343,0.0617877039985902,missense|LC,1063436760,1,63436760,
DENND1B,ENSG00000213047,0.00160663107474046,0.00661717287739361,0.00240752338674932,0.021454060074312,missense|LC,1197510350,1,197510350,
MRPL28,ENSG00000086504,0.00164946951880485,0.00692003685487119,0.00124509532500117,0.0209760856067135,missense|LC,16000367611,16,367611,
TNFRSF11B,ENSG00000164761,0.00167395939140091,0.0201554809364272,0.000977246041629742,0.0184697961846496,missense|LC,8118924279,8,118924279,
RRM2B,ENSG00000048392,0.00168605066937189,0.00893328959659856,0.00185656182266247,0.0419514523056331,missense|LC,8102208068,8,102208068,
C4orf17,ENSG00000138813,0.00170284338622984,0.00173499991973203,0.0023876186172701,0.0162788122443859,missense|LC,4099512996,4,99512996,
ID1,ENSG00000125968,0.00174548245559647,0.00237847806074409,0.00186167993959208,0.0233657017890453,missense|LC,20031605311,20,31605311,
SRFBP1,ENSG00000151304,0.00175194637341503,0.0074001273695703,0.00143229632686359,0.0305757640065859,missense|LC,5121961930,5,121961930,
CSDE1,ENSG00000009307,0.00178838547091664,0.0141317054884644,0.00144004710684509,0.0255102652651216,missense|LC,1114713745,1,114713745,
SSTR3,ENSG00000278195,0.00178861543488984,0.128163596830381,0.00104877465455511,-0.0068494707553126,missense|LC,22037206395,22,37206395,
MDH1,ENSG00000014641,0.0017887369444386,0.650124603643986,0.000775322924029487,0.00713564253673765,missense|LC,2063588099,2,63588099,
TNR,ENSG00000116147,0.0018201497952488,0.00168287560213209,0.00582084370363778,-0.0116612758127284,missense|LC,1175323233,1,175323233,
PLSCR2,ENSG00000163746,0.00191479858318422,0.00151759222175452,0.0467553568114356,-0.0205546868435525,missense|LC,3146441755,3,146441755,
SYK,ENSG00000165025,0.00192416874671164,0.000904151572120093,0.0889539851787524,0.0324723937247978,missense|LC,9090843789,9,90843789,
KIFC1,ENSG00000237649,0.00192630325457754,0.000990838744479805,0.0140652742236882,0.0109466946896773,missense|LC,6033391894,6,33391894,
TRIM9,ENSG00000100505,0.00199766022513714,0.176033392090844,0.000947504372228902,0.0269864202268148,missense|LC,14050977210,14,50977210,
RAB31,ENSG00000168461,0.00200243868346739,0.00635542916807263,0.00282112665754419,0.0543100282928515,missense|LC,18009708333,18,9708333,
POP5,ENSG00000167272,0.00202144231783563,0.0829347380917549,0.00102189920441853,0.022316169928127,missense|LC,12120575548,12,120575548,
TCEAL1,ENSG00000172465,0.00205732491465738,0.0737800843285501,0.00122801923797244,0.0390092226027022,missense|LC,23103629829,X,103629829,
UBE2M,ENSG00000130725,0.0020688566560586,0.00184770528757694,0.00527567763281267,0.0260638832568399,missense|LC,19058551543,19,58551543,
SNRPN,ENSG00000128739,0.00207959235427002,0.0316204203273456,0.00116092186089445,0.0506606427320035,missense|LC,15024909181,15,24909181,
FBRSL1,ENSG00000112787,0.00211633853246063,0.00140050444052098,0.304235365882231,-0.00752651113542105,missense|LC,12132490469,12,132490469,
