Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
COL11A2,ENSG00000204248,1.48280989376026e-7,0.024967532950919,8.78371279044998e-8,0.010378449193413,missense|LC,6033163542,6,33163542,
HLA-DQA2,ENSG00000237541,0.00000235467744436058,0.0953777606458579,0.00000152793167762511,0.00875191783243483,missense|LC,6032741369,6,32741369,
NCF2,ENSG00000116701,0.00000586799030222185,0.00498369660179843,0.00000228224724807546,0.0120371544754655,missense|LC,1183550685,1,183550685,
ZKSCAN8,ENSG00000198315,0.0000813046181502575,0.00401018814735365,0.0000683824404923428,0.0232120789851912,missense|LC,6028148313,6,28148313,
VARS1,ENSG00000204394,0.0000891796716716575,0.149013947131821,0.0000523489964412427,-0.00690064531157794,missense|LC,6031772846,6,31772846,
RFC5,ENSG00000111445,0.000114739456223645,0.0131417044641824,0.0000576075609080018,0.0416676155961806,missense|LC,12118016764,12,118016764,
CALML6,ENSG00000169885,0.000116095338801969,0.0000726802409540817,0.00376086342757509,0.0594437239093611,missense|LC,1001915177,1,1915177,
RPL4,ENSG00000174444,0.000153837987390326,0.00298811301445046,0.000192783629158644,0.0394125963102815,missense|LC,15066494405,15,66494405,
PCK1,ENSG00000124253,0.000232768646086678,0.000271463569652797,0.000903522778834986,0.0169603026389195,missense|LC,20057561382,20,57561382,
LGALS9,ENSG00000168961,0.000241488780410082,0.393878426910868,0.000152919202785595,0.00645982945980795,missense|LC,17027631141,17,27631141,
NLRP6,ENSG00000174885,0.000245372786662146,0.116605989051102,0.000129242428298149,0.00707475666041976,missense|LC,11000278579,11,278579,
TM2D1,ENSG00000162604,0.000261232061194772,0.000244959875925987,0.00343830871148199,0.0453523507403677,missense|LC,1061683445,1,61683445,
OSTF1,ENSG00000134996,0.000290836227943014,0.00035452134393188,0.000958912454310124,0.045481757485775,missense|LC,9075088602,9,75088602,
EPHX3,ENSG00000105131,0.000334242799832962,0.00024183784567966,0.0382654719616446,0.0307850300143408,missense|LC,19015227394,19,15227394,
MAPK8,ENSG00000107643,0.000334983396302557,0.000983452632174808,0.0012154582909254,0.0602698772218314,missense|LC,10048401573,10,48401573,
FLII,ENSG00000177731,0.000367141614598832,0.000170363867967316,0.0933222326653242,-0.0150628381184622,missense|LC,17018240477,17,18240477,
CCDC9B,ENSG00000188549,0.000373846740912231,0.000262156398825764,0.00195600501875282,0.018785307846925,missense|LC,15040335067,15,40335067,
B2M,ENSG00000166710,0.000374353126701643,0.00373594383410858,0.000315974494379923,0.0876716272483506,missense|LC,15044711457,15,44711457,
PSMB8,ENSG00000204264,0.000382713804762957,0.688025754693872,0.000174306086535569,0.0043288230736244,missense|LC,6032835717,6,32835717,
IL17C,ENSG00000124391,0.000414272007636218,0.00371161446799961,0.000404407810251639,0.025189943347769,missense|LC,16088638530,16,88638530,
WDR46,ENSG00000227057,0.000414514509126329,0.0537185414103156,0.000185011780463262,0.0164042308946642,missense|LC,6033275775,6,33275775,
KLK7,ENSG00000169035,0.000446834056137102,0.00141148890883125,0.00102727876427888,0.0391605410807127,missense|LC,19050977465,19,50977465,
NAGPA,ENSG00000103174,0.000505789526273559,0.206276760212404,0.000205916725368738,0.00884672485951483,missense|LC,16005025376,16,5025376,
KRT82,ENSG00000161850,0.000588374445055662,0.804777343167149,0.000263693242048446,-0.00101412975508676,missense|LC,12052394922,12,52394922,
HLA-DQB2,ENSG00000232629,0.000613305291464639,0.000564149357666688,0.00115191689805316,-0.0224227790241749,missense|LC,6032756437,6,32756437,
PGA5,ENSG00000256713,0.000629458651054904,0.0130956807156533,0.000413988227963236,0.0300725193690903,missense|LC,11061248239,11,61248239,
RPS13,ENSG00000110700,0.000635181452378508,0.000950214015841944,0.00143726072996397,0.107041273045359,missense|LC,11017074388,11,17074388,
DLGAP3,ENSG00000116544,0.000655600528951528,0.110782116532903,0.00034759416186847,0.0107994571290001,missense|LC,1034866014,1,34866014,
KAT6B,ENSG00000156650,0.000675133214017909,0.0260815931535043,0.000394531665482534,0.0203751836788756,missense|LC,10074842778,10,74842778,
RRM2B,ENSG00000048392,0.000747308925980517,0.154211641309514,0.000333372454897729,0.0274317145399811,missense|LC,8102208068,8,102208068,
CREB3L3,ENSG00000060566,0.000762654656317086,0.218724055876187,0.00043532835628135,0.00901699682250929,missense|LC,19004153648,19,4153648,
VPS37B,ENSG00000139722,0.000840968692366051,0.00402785849134046,0.000770893300552578,0.0231799947552084,missense|LC,12122860332,12,122860332,
FPGT,ENSG00000254685,0.000843203170692752,0.274969408543397,0.000345890873562071,0.00623158482909463,missense|LC,1074198087,1,74198087,
CD3EAP,ENSG00000117877,0.000874598512126457,0.0042028016014577,0.000648139396065783,0.0186910990921086,missense|LC,19045404911,19,45404911,
CYP21A2,ENSG00000231852,0.000887756880643575,0.000617501696810741,0.00402794480127022,-0.017910428600317,missense|LC,6032038228,6,32038228,
TMEM158,ENSG00000249992,0.000895880204332622,0.299549470219415,0.000551927864920865,0.010015183801755,missense|LC,3045224938,3,45224938,
RSAD2,ENSG00000134321,0.000902156859611036,0.00761138710499731,0.000707493787212132,0.0298328928899197,missense|LC,2006877748,2,6877748,
RNPEPL1,ENSG00000142327,0.000942154062056,0.00108206323548643,0.00161139154260326,-0.0202409969131242,missense|LC,2240568531,2,240568531,
LTA,ENSG00000226979,0.000963178623207273,0.0115367321812383,0.000653258871750939,0.064179762352004,missense|LC,6031572691,6,31572691,
ZNF174,ENSG00000103343,0.00102994857563254,0.206407555447667,0.000454439893397218,0.0159331824171806,missense|LC,16003397075,16,3397075,
MEF2B,ENSG00000213999,0.00105563958377719,0.00486762654539219,0.00167191846873138,0.036187361132812,missense|LC,19019145598,19,19145598,
FAM71E1,ENSG00000142530,0.00107817394618093,0.000936560172782985,0.00519413525651613,0.0231259147443472,missense|LC,19050461794,19,50461794,
CCDC169,ENSG00000242715,0.00113687884108937,0.155976079968266,0.000482495125356586,0.0249017937416547,missense|LC,13036227172,13,36227172,
HNRNPA3,ENSG00000170144,0.00123471586306356,0.0111940150670232,0.000973183286427259,0.057638666995392,missense|LC,2177212671,2,177212671,
SMIM9,ENSG00000203870,0.00124048346828498,0.00337840580834281,0.000945872942989423,0.0465898271723001,missense|LC,23154823709,X,154823709,
ARRDC3,ENSG00000113369,0.00125068175560894,0.000827976611992298,0.0238298226173981,0.0397320681297181,missense|LC,5091371343,5,91371343,
NANOGNB,ENSG00000205857,0.00127701344609177,0.00211313918606404,0.00137364842502008,0.0494133518436198,missense|LC,12007765200,12,7765200,
SCAMP1,ENSG00000085365,0.00127896523092808,0.0200519657263131,0.000800761876907363,0.0467445105259287,missense|LC,5078360589,5,78360589,
CHCHD7,ENSG00000170791,0.00130346176065421,0.0223708639090661,0.000694383364444051,0.0566527656168208,missense|LC,8056212815,8,56212815,
CCDC167,ENSG00000198937,0.00133286242261477,0.00128676028771135,0.00169676549692777,0.0554854570296715,missense|LC,6037478369,6,37478369,
DEFB131B,ENSG00000225805,0.00141573655662686,0.00474274788643614,0.00119443588734858,0.069867561440109,missense|LC,11071878364,11,71878364,
MGMT,ENSG00000170430,0.00144503342643565,0.0131139985798706,0.0010673289148635,0.0292259922475354,missense|LC,10129467152,10,129467152,
ZWILCH,ENSG00000174442,0.00154749170802571,0.00104526160045371,0.00905119488088224,0.020371044398316,missense|LC,15066500326,15,66500326,
UFM1,ENSG00000120686,0.00161664422554531,0.00989636277381667,0.00116220416281843,0.0661174569730792,missense|LC,13038349785,13,38349785,
GAB3,ENSG00000160219,0.0016310174164742,0.199534468273214,0.000788311054756297,0.0143756134338889,missense|LC,23154678203,X,154678203,
IPO7,ENSG00000205339,0.00164416133949408,0.00692327495458545,0.00317570848464555,0.0361428730222258,missense|LC,11009384704,11,9384704,
FBXW2,ENSG00000119402,0.00170119196495566,0.000948266669250186,0.0118048851678556,0.0308065782849886,missense|LC,9120764470,9,120764470,
NMB,ENSG00000197696,0.00172820065433343,0.00991405321646921,0.00158264663477037,0.0434204684254376,missense|LC,15084652693,15,84652693,
MSMB,ENSG00000263639,0.00184355053498941,0.0539855388477691,0.00125770904345357,0.0435451750206172,missense|LC,10046033314,10,46033314,
USP22,ENSG00000124422,0.00186295683671511,0.0478041541833394,0.000978580928822748,0.0333075355306445,missense|LC,17021002927,17,21002927,
BTNL2,ENSG00000204290,0.00192557469280041,0.00178540304718178,0.00221204731653302,-0.00492591839311912,missense|LC,6032393965,6,32393965,
DAXX,ENSG00000204209,0.00199325039038378,0.181317781104775,0.0014014851208175,-0.00906787993074528,missense|LC,6033313559,6,33313559,
CNN1,ENSG00000130176,0.00199651406172929,0.362901968666721,0.00105678972198131,0.0129875658785186,missense|LC,19011538849,19,11538849,
CELSR2,ENSG00000143126,0.00201580620096442,0.000882002886302136,0.750549951385074,-0.009098042429575,missense|LC,1109249968,1,109249968,
CNPY2,ENSG00000257727,0.00203996017780672,0.0182725257070355,0.001382101776365,0.0444862170070618,missense|LC,12056310487,12,56310487,
FRG1,ENSG00000109536,0.00206591530077216,0.00159040877764138,0.0117520481590034,0.0390825460577295,missense|LC,4189940956,4,189940956,
HTR4,ENSG00000164270,0.00206808728883134,0.391365960553706,0.00107822323999018,0.00854459453320872,missense|LC,5148476549,5,148476549,
H4C7,ENSG00000275663,0.00211249553230364,0.0441266186457245,0.00121946074887824,0.0529511550718037,missense|LC,6026246590,6,26246590,
SMIM10,ENSG00000184785,0.00211741946439936,0.00685613767742377,0.00167509765813123,0.075676804068653,missense|LC,23134990969,X,134990969,
GCAT,ENSG00000100116,0.00214386675249301,0.00103420457274217,0.0654080905295017,-0.014302730725098,missense|LC,22037805496,22,37805496,
SNAPIN,ENSG00000143553,0.00217195171583218,0.0727861686671442,0.00104725792599714,0.0444203981189166,missense|LC,1153658612,1,153658612,
GPX8,ENSG00000164294,0.00218696014919317,0.185053952493906,0.00108014906258713,0.0250483782825447,missense|LC,5055160148,5,55160148,
FFAR1,ENSG00000126266,0.00219619428127449,0.0138890348047888,0.00171219502792774,0.0226650694305043,missense|LC,19035346552,19,35346552,
EFNA1,ENSG00000169242,0.00221339041853819,0.039023224566777,0.00109423147047782,0.02224803070557,missense|LC,1155127929,1,155127929,
CAMLG,ENSG00000164615,0.00233101368817934,0.0282771266664028,0.00128327007866957,0.0324999034228053,missense|LC,5134738548,5,134738548,
LRRC4B,ENSG00000131409,0.0023820692895713,0.00190390080381997,0.00729896403614161,0.0161820235786796,missense|LC,19050512066,19,50512066,
OR4K1,ENSG00000155249,0.00238381719360037,0.00263732113188797,0.00298585658316353,-0.0206986351332841,missense|LC,14019935607,14,19935607,
GJB6,ENSG00000121742,0.00243399172375836,0.00202048896393003,0.00752800535602516,0.0210133722723236,missense|LC,13020222638,13,20222638,
PFDN6,ENSG00000204220,0.00246537992119622,0.0051509829198233,0.00229402237889009,0.0265968536083251,missense|LC,6033286728,6,33286728,
L34079.1,ENSG00000268361,0.00254928481390937,0.00203931103971489,0.0069162571029654,0.0422706847780936,missense|LC,19043551511,19,43551511,
CALHM5,ENSG00000178033,0.00268921312947623,0.0394881057750436,0.00153144793806759,0.0259889930503504,missense|LC,6116511624,6,116511624,
SGO2,ENSG00000163535,0.00269920559475134,0.004336050283965,0.00433162610373328,0.0135377945301975,missense|LC,2200532332,2,200532332,
CTNNA2,ENSG00000066032,0.00273002599084649,0.0434801346117769,0.00158565610679806,0.0460754413354399,missense|LC,2079651555,2,79651555,
SULT1A1,ENSG00000196502,0.00273367820360193,0.261510776637186,0.00136070685680822,0.00604814024972448,missense|LC,16028605672,16,28605672,
ACVR1B,ENSG00000135503,0.00277090044778505,0.00163747931299874,0.0326180864256141,0.0509723548487143,missense|LC,12051951674,12,51951674,
TRABD2B,ENSG00000269113,0.0028220874721917,0.168132397725304,0.00210591774745805,0.0117556714831074,missense|LC,1047775055,1,47775055,
ZNF764,ENSG00000169951,0.00283199877417961,0.00159102292781022,0.0181873239242318,0.0179913914922858,missense|LC,16030555085,16,30555085,
CLIC3,ENSG00000169583,0.00284472507332878,0.0118021764294125,0.00207678643535236,0.0264668234088364,missense|LC,9136992440,9,136992440,
HMCN2,ENSG00000148357,0.00286313525241366,0.00197204906252746,0.0323453746576023,0.00608084860151788,missense|LC,9130347919,9,130347919,
PSMC2,ENSG00000161057,0.00287430753676754,0.409598622192776,0.00154206025078241,0.0197892850639219,missense|LC,7103341708,7,103341708,
AC073896.1,ENSG00000144785,0.0029563064080691,0.00893641453486616,0.00334371238073483,0.0482976803169165,missense|LC,12056282364,12,56282364,
LYPD2,ENSG00000197353,0.00303076319341078,0.0179314830975794,0.00229533852052932,0.0421381072783396,missense|LC,8142750212,8,142750212,
GPALPP1,ENSG00000133114,0.00304086648420132,0.00259979246769482,0.00471507718292696,0.138564704696003,missense|LC,13044988948,13,44988948,
GAREM2,ENSG00000157833,0.00304991193460036,0.163335023627325,0.00175992198500019,-0.00684713700752299,missense|LC,2026173192,2,26173192,
BRAP,ENSG00000089234,0.00309064400024806,0.0220413974767762,0.00297983010946723,0.0268631690870767,missense|LC,12111644065,12,111644065,
ZNF420,ENSG00000197050,0.0031093242594884,0.00957760178510469,0.00544190857639271,0.0338601229345139,missense|LC,19037089053,19,37089053,
CRACD,ENSG00000109265,0.00314829051144794,0.00175741126024809,0.0202304968795752,-0.0103357782420103,missense|LC,4056298131,4,56298131,
BPGM,ENSG00000172331,0.00316734529391482,0.0450236953139638,0.00167288449527658,0.0278888938794257,missense|LC,7134661386,7,134661386,
EPB41,ENSG00000159023,0.00320330766568111,0.024332712925685,0.00213815010339591,0.0418997698802885,missense|LC,1028887161,1,28887161,
H2BW2,ENSG00000101812,0.00322210305169246,0.00374515597531921,0.00362672801808617,0.020127225972553,missense|LC,23104039933,X,104039933,
GRIPAP1,ENSG00000068400,0.00327378425510094,0.00194679045182933,0.0308320939325586,-0.0157187346242083,missense|LC,23048969102,X,48969102,
ARHGAP25,ENSG00000163219,0.00330085941870184,0.202394318464666,0.00211684593677564,0.00787230994170202,missense|LC,2068735155,2,68735155,
CLDN18,ENSG00000066405,0.00334287906366026,0.0117514418442061,0.00300559795490329,0.0267599260706803,missense|LC,3137998800,3,137998800,
PSORS1C1,ENSG00000204540,0.00339351169934821,0.912213772248729,0.00173749569035864,-0.00101718786991959,missense|LC,6031111304,6,31111304,
TLL1,ENSG00000038295,0.00342334338123917,0.029119096740609,0.0022869872296134,0.0286671042014323,missense|LC,4165873812,4,165873812,
MRGBP,ENSG00000101189,0.00345970729899348,0.0576794560805124,0.00196320172147035,0.0395114151372899,missense|LC,20062796433,20,62796433,
AC068946.2,ENSG00000284820,0.00356252242763888,0.00185213148703212,0.0392842277184268,0.0342782176240202,missense|LC,2219206891,2,219206891,
OR56B1,ENSG00000181023,0.00365688657503804,0.0031270275337707,0.0079647362534836,0.0280712280934115,missense|LC,11005736457,11,5736457,
RPL10A,ENSG00000198755,0.0036687518262799,0.00312407985838381,0.00965998457648176,0.0913901499160379,missense|LC,6035466217,6,35466217,
ANKRD44,ENSG00000065413,0.00371927113590342,0.0185662457089005,0.00292881337808992,0.0481579922243213,missense|LC,2196986621,2,196986621,
EVPLL,ENSG00000214860,0.00383328993841126,0.0157370418112909,0.00372560106211894,0.0272906308574991,missense|LC,17018380835,17,18380835,
GALNT5,ENSG00000136542,0.00390372661425598,0.20669616787757,0.00191093481285032,0.00627528140638884,missense|LC,2157257994,2,157257994,
SLC6A11,ENSG00000132164,0.00391757750908361,0.0482330133827025,0.00208178342263277,0.0194661835814038,missense|LC,3010816152,3,10816152,
TECTA,ENSG00000109927,0.00392697963396171,0.141355443280043,0.00198387588269233,0.00558902711859321,missense|LC,11121102612,11,121102612,
LIPK,ENSG00000204021,0.00395221011219138,0.00436908970378624,0.00650237475894055,0.0202146688344979,missense|LC,10088724551,10,88724551,
CXorf56,ENSG00000018610,0.00397228281467776,0.00733873002391405,0.0032080596636862,0.0646685188593096,missense|LC,23119539721,X,119539721,
CLCN7,ENSG00000103249,0.0039921605038632,0.00174121824687457,0.999995685587452,-0.0265577752277277,missense|LC,16001442303,16,1442303,
HLA-DPA1,ENSG00000231389,0.0040031051716416,0.0028053687718862,0.0059011122635737,-0.0150069373510418,missense|LC,6033068580,6,33068580,
CPLX3,ENSG00000213578,0.00404623797154835,0.334661560559449,0.00199582122341502,0.0161406451795685,missense|LC,15074821793,15,74821793,
GADL1,ENSG00000144644,0.00405522350736498,0.0359369353534849,0.00210416735125563,0.0122593022654029,missense|LC,3030728183,3,30728183,
NELFE,ENSG00000204356,0.00409582495513183,0.00826308502617712,0.0030438900484282,-0.0175361560768126,missense|LC,6031947099,6,31947099,
BDH1,ENSG00000161267,0.00411526995782541,0.00821652490694658,0.0037028062082255,0.0268207592518198,missense|LC,3197511820,3,197511820,
EGR3,ENSG00000179388,0.00412709349860529,0.00372579751196955,0.0109062664348915,0.0586296074394848,missense|LC,8022690401,8,22690401,
PSMB11,ENSG00000222028,0.0041384098279369,0.0865055264253985,0.00205700469192305,0.00828986913153357,missense|LC,14023042148,14,23042148,
PRDM11,ENSG00000019485,0.00415030019089113,0.0901540044784168,0.00239655856408916,0.0106320107098236,missense|LC,11045181699,11,45181699,
ABHD16A,ENSG00000204427,0.00415459455896339,0.203369445904527,0.00210403441830753,0.01138276840458,missense|LC,6031683854,6,31683854,
RHOF,ENSG00000139725,0.00420466927844487,0.00672506334390355,0.00502016966316154,0.0242704681275088,missense|LC,12121773348,12,121773348,
UCN,ENSG00000163794,0.00429711840388514,0.00241324176381896,0.0305114079069654,0.0516947272514798,missense|LC,2027304888,2,27304888,
AP1S2,ENSG00000182287,0.00429848616951578,0.0330121534747694,0.00267259785076901,0.0748452885691926,missense|LC,23015822600,X,15822600,
DDB1,ENSG00000167986,0.00430401498007749,0.0951406055835271,0.00210131647373279,0.0194379332859691,missense|LC,11061294863,11,61294863,
PITPNA,ENSG00000174238,0.00430730077541386,0.0143487933581868,0.0041602888818788,0.0698873088564053,missense|LC,17001513411,17,1513411,
SLC5A9,ENSG00000117834,0.00432213973176232,0.00371355523081585,0.0064809193119606,-0.00830804686354863,missense|LC,1048222697,1,48222697,
ZBTB45,ENSG00000119574,0.00432733534776464,0.0722420378510704,0.00253316829403305,0.011542682727625,missense|LC,19058509771,19,58509771,
FMN2,ENSG00000155816,0.00433448654184121,0.00522284619054125,0.00742297483706045,0.0103768339390166,missense|LC,1240091946,1,240091946,
ERN1,ENSG00000178607,0.00434788434537348,0.00257869115276488,0.0241098043144787,-0.0188288878997579,missense|LC,17064043970,17,64043970,
PAGE5,ENSG00000158639,0.00444544708332939,0.118139551693341,0.00221628011996311,0.0301124652917113,missense|LC,23055220533,X,55220533,
TTI1,ENSG00000101407,0.00447901134843121,0.0370728362457975,0.00273680078132243,0.0272876008999908,missense|LC,20037983364,20,37983364,
ASB14,ENSG00000239388,0.00451820176969131,0.968034969071209,0.00218700967720875,0.000136687927219708,missense|LC,3057267686,3,57267686,
CLDND1,ENSG00000080822,0.00452160853538841,0.170941637428402,0.00232781357351719,0.0190610874879435,missense|LC,3098515551,3,98515551,
ELOVL1,ENSG00000066322,0.00455082615718505,0.0105605549966152,0.00666505000761441,0.0580787911285643,missense|LC,1043359136,1,43359136,
ANKRD24,ENSG00000089847,0.00455696653893389,0.190295134442603,0.0021246553664751,0.00504799559725225,missense|LC,19004178987,19,4178987,
LIPM,ENSG00000173239,0.00456678520203146,0.0778186552013095,0.00283224223097456,0.014656802534254,missense|LC,10088802808,10,88802808,
RSRC1,ENSG00000174891,0.0045852298944028,0.00227010573141295,0.0503739541100312,0.0235558490607868,missense|LC,3158105089,3,158105089,
SUN5,ENSG00000167098,0.00462681618891614,0.0154244950533413,0.00331114996270321,0.0312299632942143,missense|LC,20032983670,20,32983670,
CGAS,ENSG00000164430,0.00466829445807448,0.00274798732642745,0.0368538981144714,0.0168884489024657,missense|LC,6073425178,6,73425178,
NOP10,ENSG00000182117,0.00468507562305065,0.0271896932367978,0.0029325231042413,0.0879846471379534,missense|LC,15034336719,15,34336719,
CFL1,ENSG00000172757,0.00476203469567016,0.00402306883359271,0.00663009599018172,0.103934482957319,missense|LC,11065849857,11,65849857,
MLIP,ENSG00000146147,0.00493461369783033,0.648014103686071,0.00242707438471879,0.00295647074217703,missense|LC,6054111313,6,54111313,
DNTTIP1,ENSG00000101457,0.0049497899665395,0.00342230535036137,0.0257994288722319,0.0395508936782084,missense|LC,20045787704,20,45787704,
FBXL22,ENSG00000197361,0.00497201789606938,0.00596363825615343,0.00378467779866742,0.0123068519413457,missense|LC,15063597329,15,63597329,
HNRNPD,ENSG00000138668,0.0049810943428239,0.0102323315240026,0.00717595170325969,0.0440255575064376,missense|LC,4082355294,4,82355294,
GABRG2,ENSG00000113327,0.00498956705120301,0.157659654252169,0.00234731174779912,0.0269564154538013,missense|LC,5162067976,5,162067976,
CRYZ,ENSG00000116791,0.00507691279737454,0.0177587779345912,0.00285416308975606,0.0217317409536331,missense|LC,1074706229,1,74706229,
AC006538.2,ENSG00000267001,0.00508731457482947,0.126962417755039,0.00259614452179724,0.0414860920320171,missense|LC,19002717121,19,2717121,
CREM,ENSG00000095794,0.0051222099894771,0.00445748201156904,0.0168235887341038,-0.0266817710863434,missense|LC,10035137781,10,35137781,
COL14A1,ENSG00000187955,0.00512353243671271,0.00242734126402355,0.139030118184432,0.0091087562282371,missense|LC,8120147798,8,120147798,
RETREG3,ENSG00000141699,0.00512970115193134,0.00360273405644373,0.0274973568592007,0.0326601045157748,missense|LC,17042577018,17,42577018,
ZNF225,ENSG00000256294,0.00516029717633981,0.0555352481656485,0.00276831393618115,0.0103134662278732,missense|LC,19044115740,19,44115740,
