Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
SLC22A3,ENSG00000146477,0.0000154957765988728,0.0045887030533831,0.0000143576779196852,0.00821634088642045,synonymous,6160348286,6,160348286,
PCGF5,ENSG00000180628,0.0000419067108756721,0.00130794484222729,0.0000365644390256659,0.0413432341752406,synonymous,10091222856,10,91222856,
ZADH2,ENSG00000180011,0.0000906795460769994,0.000167770382953902,0.000631332360162329,0.0267529571147976,synonymous,18075201355,18,75201355,
PCDHGA11,ENSG00000253873,0.0000975259622274516,0.00419470499325802,0.0000707831724211516,-0.00746528220677246,synonymous,5141417713,5,141417713,
FAM221B,ENSG00000204930,0.000119338738603036,0.0404222127263718,0.0000699502628656035,0.0184833508903846,synonymous,9035811402,9,35811402,
SOWAHD,ENSG00000187808,0.000129523321662495,0.000217578614269298,0.000372865772644837,0.0161705995602641,synonymous,23119758591,X,119758591,
CCDC151,ENSG00000198003,0.000224436130840333,0.00421795367999511,0.000133436058414205,0.0156431487391443,synonymous,19011415871,19,11415871,
UNC5D,ENSG00000156687,0.000278854527855699,0.000158752069037815,0.00312774164942864,0.0103516547014511,synonymous,8035235701,8,35235701,
XPO7,ENSG00000130227,0.000311579683889618,0.000420560144244519,0.000782369098581759,-0.0145683364489832,synonymous,8021966731,8,21966731,
AKAP7,ENSG00000118507,0.000415505693825646,0.25059096536718,0.000189289757090649,0.0118460933352982,synonymous,6131135636,6,131135636,
PUM1,ENSG00000134644,0.000462171515513199,0.00745049705237133,0.000281530914350236,0.00667063816986309,synonymous,1030933093,1,30933093,
GPR119,ENSG00000147262,0.000489760462301536,0.010320083969631,0.000294540766906604,0.0114324685154593,synonymous,23130384386,X,130384386,
THAP8,ENSG00000161277,0.00050371972282115,0.000550891604794157,0.00241815404757628,0.0331796039729658,synonymous,19036032144,19,36032144,
KRT26,ENSG00000186393,0.000608304891651312,0.0972340368985867,0.000451377404310005,-0.00491573347484219,synonymous,17040766448,17,40766448,
PLAT,ENSG00000104368,0.000630083745285503,0.0183574359295582,0.000290003056700572,0.00833635076098203,synonymous,8042175919,8,42175919,
F11R,ENSG00000158769,0.000673376830799155,0.0105766279583471,0.000523052376605992,0.0290901557901224,synonymous,1160998797,1,160998797,
PHGDH,ENSG00000092621,0.000683052086841385,0.00032729725784042,0.506134466082736,-0.0185831304649838,synonymous,1119711943,1,119711943,
FLRT2,ENSG00000185070,0.000721866847095742,0.0778200488973658,0.000361633513466519,0.00468000116570028,synonymous,14085621439,14,85621439,
IFNA17,ENSG00000234829,0.000754617579428185,0.000936750586927215,0.00061502483357756,0.0083476768189028,synonymous,9021227467,9,21227467,
SELL,ENSG00000188404,0.000853660509188892,0.0264949302197217,0.000453653468490245,0.0217951648941045,synonymous,1169691728,1,169691728,
NHLRC1,ENSG00000187566,0.000880533068493672,0.0792168402091713,0.000461693819209019,0.0137886226061665,synonymous,6018121382,6,18121382,
AL162231.3,ENSG00000258728,0.000888348001927719,0.00858827937671847,0.000657764576924347,0.0349175491293159,synonymous,9034646608,9,34646608,
IRX6,ENSG00000159387,0.000950193438814306,0.00075442985965668,0.0142338143891587,0.0114247419557048,synonymous,16055325011,16,55325011,
CACNG7,ENSG00000105605,0.000971131537563341,0.000513072028865968,0.0149045742146874,0.0339350610074757,synonymous,19053904573,19,53904573,
KCNA6,ENSG00000151079,0.000982561010364646,0.000875756925266202,0.00428155169253341,0.0190765397419452,synonymous,12004809941,12,4809941,
EIF3D,ENSG00000100353,0.00101911200886873,0.000978990132012525,0.00224646294222475,0.0126049210047172,synonymous,22036505868,22,36505868,
CAPZA2,ENSG00000198898,0.00101983592131127,0.000879218089426592,0.00535799712236151,0.0179901122087513,synonymous,7116862497,7,116862497,
RXFP4,ENSG00000173080,0.00110755455717271,0.000557493289379818,0.0143899107178938,0.025352221917897,synonymous,1155941622,1,155941622,
C9orf131,ENSG00000174038,0.00118429744281578,0.0186400809377787,0.000897117975376838,0.00825089670025108,synonymous,9035042113,9,35042113,
RPS6KB1,ENSG00000108443,0.00122037304821709,0.029211309993465,0.00105599435295733,-0.0111098972683311,synonymous,17059890762,17,59890762,
TATDN3,ENSG00000203705,0.00130405157675151,0.331478225600812,0.000616604032413037,0.0161111043330703,synonymous,1212787524,1,212787524,
AL355987.1,ENSG00000204003,0.00134450971365563,0.0206592390060015,0.00089574381645563,0.0228076700020879,synonymous,9136739439,9,136739439,
GSG1L,ENSG00000169181,0.00134838505805368,0.00222031306730086,0.0019049091246568,0.0282670020738643,synonymous,16027791327,16,27791327,
SDR39U1,ENSG00000100445,0.0013564573458088,0.00191897881959835,0.00127240360779957,-0.0105055440834869,synonymous,14024436035,14,24436035,
ASTN1,ENSG00000152092,0.00138864153547125,0.00458341845468124,0.00104979804894634,0.00916281650813047,synonymous,1176860997,1,176860997,
LCN6,ENSG00000267206,0.00144654085351714,0.0524467601546965,0.000935305820839227,0.0184731146546894,synonymous,9136739439,9,136739439,
TGFBR2,ENSG00000163513,0.00146685346716691,0.00102297580957178,0.0538071471840478,0.0114804103818175,synonymous,3030606811,3,30606811,
NCSTN,ENSG00000162736,0.001524060477191,0.00068877345909224,0.411235687869424,-0.0138697166621703,synonymous,1160339845,1,160339845,
ZFP37,ENSG00000136866,0.00158279397150873,0.000871363221983557,0.0760607844691147,0.023429881510067,synonymous,9113042706,9,113042706,
ZFP69B,ENSG00000187801,0.00158432632783323,0.00142219685768374,0.00339652870402285,-0.00998824503546812,synonymous,1040450839,1,40450839,
DYSF,ENSG00000135636,0.00161987482252901,0.523006239250946,0.000759110045021272,-0.00102461963863525,synonymous,2071466563,2,71466563,
DGAT2L6,ENSG00000184210,0.00166762921029806,0.326443307185273,0.000870080560565922,0.00846439703246367,synonymous,23070177538,X,70177538,
ZNF540,ENSG00000171817,0.00178036733356768,0.00646052566041666,0.0012251407956696,0.0140076894252706,synonymous,19037598364,19,37598364,
SLC12A2,ENSG00000064651,0.00182536731147509,0.00096378940139763,0.0192625251389162,0.0080844239666166,synonymous,5128083879,5,128083879,
F10,ENSG00000126218,0.00185549595365464,0.0013651403045658,0.025816574440815,0.00850367841305811,synonymous,13113118317,13,113118317,
RIMKLB,ENSG00000166532,0.00188808653582817,0.00157695179028239,0.0133233924555389,-0.0163633115360822,synonymous,12008713799,12,8713799,
XCR1,ENSG00000173578,0.00193972890526117,0.00155691608655539,0.00492511470748058,-0.0161634184638708,synonymous,3046020820,3,46020820,
PLBD2,ENSG00000151176,0.00196360390077555,0.00110413332614401,0.0893234221835018,-0.0113343470161746,synonymous,12113358467,12,113358467,
NR2C2AP,ENSG00000184162,0.00197908603682306,0.156455571003411,0.00127060875741825,0.0123147004087673,synonymous,19019196916,19,19196916,
BROX,ENSG00000162819,0.00198757659253768,0.590271844127208,0.000993528063359284,0.00452884870635048,synonymous,1222712069,1,222712069,
