Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
C11orf58,ENSG00000110696,0.000062045434093605,0.00209470950935375,0.0000377497754342482,0.143056120592125,synonymous,11016738694,11,16738694,
PHACTR2,ENSG00000112419,0.0000904656617857214,0.0000730362225151993,0.00251443374770988,0.0887522170690923,synonymous,6143677965,6,143677965,
C4orf46,ENSG00000205208,0.000105635010055227,0.00738090359250032,0.0000477928117894599,0.11653692977392,synonymous,4158669533,4,158669533,
OR2T11,ENSG00000279301,0.000133035211308474,0.0676506734929905,0.000055154798990209,0.0429588992674843,synonymous,1248626173,1,248626173,
TBC1D32,ENSG00000146350,0.000163484580142481,0.000652922032626346,0.000189120407038779,0.0563463508432917,synonymous,6121080662,6,121080662,
TNR,ENSG00000116147,0.000163553092832336,0.179550462611029,0.0000740656133771944,0.0102001203390596,synonymous,1175323233,1,175323233,
TLCD1,ENSG00000160606,0.00017397041873024,0.000249376594091411,0.000850508696736418,0.0953716124459532,synonymous,17028719913,17,28719913,
AJAP1,ENSG00000196581,0.000191779147650895,0.0128277808239465,0.000101555536143882,0.0411089649013209,synonymous,1004655327,1,4655327,
DSG4,ENSG00000175065,0.000211494743369123,0.0000939234902900266,0.127885574034359,0.0363675749812932,synonymous,18031376890,18,31376890,
XPO6,ENSG00000169180,0.000247395381631099,0.0202767457345575,0.00011422368765901,0.0269732383384651,synonymous,16028098470,16,28098470,
TNNT1,ENSG00000105048,0.000259993625793986,0.0284388769178876,0.000149930498612227,0.0848165838670511,synonymous,19055132844,19,55132844,
DDI2,ENSG00000197312,0.00027385136776259,0.000251243872086082,0.00192636292403969,0.0484085404236362,synonymous,1015617575,1,15617575,
UBE2L3,ENSG00000185651,0.000299253725105308,0.000155952386689528,0.0130629738978489,0.100101287004756,synonymous,22021545898,22,21545898,
KRTAP10-2,ENSG00000205445,0.00030685648124551,0.0008011805775332,0.000488484435741343,0.05616864481,synonymous,21044550557,21,44550557,
JUNB,ENSG00000171223,0.0003098371136393,0.00516260138101687,0.000226108452872187,0.099396970018785,synonymous,19012791715,19,12791715,
RAB36,ENSG00000100228,0.000316673091499076,0.0130959722288382,0.000181241391622344,0.0627078245130791,synonymous,22023140333,22,23140333,
CBLL1,ENSG00000105879,0.000318846821310337,0.00375774322304201,0.000294158984325499,0.0775633878520424,synonymous,7107744046,7,107744046,
NUDCD2,ENSG00000170584,0.000457173009108858,0.00900471340380704,0.000390003120875004,0.0876656529352468,synonymous,5163441869,5,163441869,
PSPN,ENSG00000125650,0.000464807420617164,0.000393305483175954,0.00315046290261911,0.0553778563582128,synonymous,19006372714,19,6372714,
HDAC10,ENSG00000100429,0.000488256611564375,0.0621216039039932,0.00018186994844982,0.0344865713786962,synonymous,22050240191,22,50240191,
S100A4,ENSG00000196154,0.000507056904217706,0.000255653601553885,0.00365278044851258,0.12370761362279,synonymous,1153539949,1,153539949,
TMEM243,ENSG00000135185,0.000572792735201944,0.00212040807186875,0.000513712841844205,0.142869790423018,synonymous,7087193112,7,87193112,
RASL11B,ENSG00000128045,0.000581399966666618,0.00233144381647343,0.000904435530258318,0.0827642680014284,synonymous,4052862416,4,52862416,
NOXO1,ENSG00000196408,0.000608477716035338,0.00588982983952313,0.000519259983060905,0.0578719735229901,synonymous,16001974039,16,1974039,
NAT8B,ENSG00000204872,0.000610596297930477,0.084652240817189,0.00028489437578294,0.0495625777087453,synonymous,2073700469,2,73700469,
TMED3,ENSG00000166557,0.000627233072713285,0.0050907768876568,0.000551531808852479,0.0553677291125369,synonymous,15079311142,15,79311142,
DYM,ENSG00000141627,0.000640340743341294,0.000447506170979661,0.0114205796943105,0.0537836952901391,synonymous,18049043958,18,49043958,
CEACAM5,ENSG00000105388,0.000687523209285001,0.000343455891880784,0.0103860382068659,0.0423125694631171,synonymous,19041708665,19,41708665,
MSX2,ENSG00000120149,0.000689035887124434,0.00374100527948051,0.000785325529666592,0.10450336436792,synonymous,5174724537,5,174724537,
KDF1,ENSG00000175707,0.000697397822617019,0.000670191685356758,0.0026679434315906,0.0627196975064441,synonymous,1026945357,1,26945357,
CPTP,ENSG00000224051,0.000715554792977358,0.006533002259836,0.000580425702853771,0.0579191271095041,synonymous,1001320381,1,1320381,
ADGRG3,ENSG00000182885,0.000727860233663336,0.0216436315851907,0.000443471796449768,0.0179921788007464,synonymous,16057663299,16,57663299,
KCNIP2,ENSG00000120049,0.000778681062553077,0.0030557429370841,0.00072172137640536,0.10757408719907,synonymous,10101827358,10,101827358,
ALKBH1,ENSG00000100601,0.000804260646432908,0.0197630088382799,0.000456706712460786,0.0765403218216149,synonymous,14077673723,14,77673723,
SULT1E1,ENSG00000109193,0.000815480748565522,0.00686812918433632,0.000622942251521375,0.0925693224572031,synonymous,4069841987,4,69841987,
DUSP13,ENSG00000079393,0.000845688882449847,0.00635927682504933,0.000736148381089263,0.0715923246278262,synonymous,10075089436,10,75089436,
PET100,ENSG00000229833,0.000865974243796308,0.0033451758396561,0.000596220422293792,0.186365243538323,synonymous,19007625748,19,7625748,
SLC25A26,ENSG00000144741,0.000875581855130481,0.0833790000219629,0.000570016546914576,0.0804923823291332,synonymous,3066221004,3,66221004,
ZNF703,ENSG00000183779,0.000890896124965845,0.00126114618061712,0.00171403893330568,0.0520596501935115,synonymous,8037695887,8,37695887,
RGS22,ENSG00000132554,0.000921108198022269,0.075186450569909,0.00044092667307627,0.0838643362487165,synonymous,8099962364,8,99962364,
PSMB1,ENSG00000008018,0.000948688349761917,0.00180144735786403,0.00145472764926291,0.0980120149261572,synonymous,6170535140,6,170535140,
MAP11,ENSG00000146826,0.000969842243915497,0.000929477473230245,0.00600451608473473,0.0605506026171683,synonymous,7100149464,7,100149464,
PPP1R15B,ENSG00000158615,0.00101575556270539,0.0164430241270901,0.000608605491324465,0.0361154725066436,synonymous,1204403458,1,204403458,
IGF2BP3,ENSG00000136231,0.0010372186140214,0.000773089839696484,0.0135797230459388,0.0436616449679099,synonymous,7023307834,7,23307834,
SDC1,ENSG00000115884,0.00104165447355264,0.000854517850415015,0.00445087094161889,0.0765151618923903,synonymous,2020202682,2,20202682,
KCNMB4,ENSG00000135643,0.00106899884730649,0.00826318338163878,0.000723117956674457,0.114249692563314,synonymous,12070366653,12,70366653,
TLCD4,ENSG00000152078,0.00107542224129842,0.00145395564736228,0.00168166616283916,0.100671109514456,synonymous,1095143797,1,95143797,
GH1,ENSG00000259384,0.00108951891731268,0.00245765332809555,0.00108113066418203,0.0302233246383814,synonymous,17063917158,17,63917158,
