Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ATF6B,ENSG00000213676,0.0000110444356297146,0.0835139791256702,0.00000403120594794082,0.00476413393637627,missense|LC,6032115669,6,32115669,
MICB,ENSG00000204516,0.0000114045251594641,0.0000768480993635912,0.0000165192705636752,0.0159815366479759,missense|LC,6031498119,6,31498119,
TMPRSS11E,ENSG00000087128,0.0000446784705881997,0.00733185717419238,0.0000279253955766112,0.0218153855926845,missense|LC,4068447432,4,68447432,
RCAN1,ENSG00000159200,0.000103468436607912,0.00379231666944124,0.0000492931801353569,0.0167731864143683,missense|LC,21034517978,21,34517978,
IKZF4,ENSG00000123411,0.000107323143536786,0.00008850485593348,0.000521801938888622,0.0126705596831198,missense|LC,12056018069,12,56018069,
TRAPPC5,ENSG00000181029,0.000125727037800227,0.0116774441105479,0.0000750132279268012,0.0288793158467916,missense|LC,19007677019,19,7677019,
KNG1,ENSG00000113889,0.000130612115532447,0.0008731662101511,0.000353903007638601,0.0191124266283003,missense|LC,3186717501,3,186717501,
CHST1,ENSG00000175264,0.000135988874380488,0.0802562529121149,0.0000532951066714027,0.0182608217855442,missense|LC,11045649603,11,45649603,
KCNK6,ENSG00000099337,0.000201850536025949,0.00357931106021636,0.000148419635231933,0.0172281006321864,missense|LC,19038315300,19,38315300,
SLC38A3,ENSG00000188338,0.000217948537076018,0.00025489986927163,0.00162410648794786,0.0324908301610368,missense|LC,3050214121,3,50214121,
EIF4E,ENSG00000151247,0.000258888327814399,0.00857300742356149,0.000167352824271605,0.0412414807465516,missense|LC,4098880901,4,98880901,
TMEFF1,ENSG00000241697,0.000270255996292712,0.0315283824991497,0.000117020088673203,0.010464079488097,missense|LC,9100473459,9,100473459,
KRTAP3-1,ENSG00000212901,0.000301849673487897,0.00107746961392929,0.000714545647491072,0.0459435838872473,missense|LC,17041008693,17,41008693,
ACTB,ENSG00000075624,0.000368114480188475,0.00133225384664359,0.000617740923326782,0.101936968151621,missense|LC,7005527613,7,5527613,
KLF15,ENSG00000163884,0.000384088929735737,0.000447640382083114,0.00269224821303893,0.0229703927514288,missense|LC,3126343655,3,126343655,
CYB5R4,ENSG00000065615,0.000496514457634878,0.00104274565253926,0.000842061250442505,0.0162622798211327,missense|LC,6083857194,6,83857194,
TBC1D26,ENSG00000214946,0.000544072906139115,0.000470259506495263,0.00300784291113265,-0.0181014832747391,missense|LC,17015735300,17,15735300,
IMMP2L,ENSG00000184903,0.000551189714684708,0.447908622420117,0.000302328660923279,0.0111144026785663,missense|LC,7110663534,7,110663534,
PSMB9,ENSG00000240065,0.000568839872947424,0.0937250127511866,0.000440514183256635,0.0071004090740216,missense|LC,6032849195,6,32849195,
CMTM4,ENSG00000183723,0.000633192937282367,0.0237587989152112,0.000318305930665397,0.00917611788109058,missense|LC,16066617205,16,66617205,
CLDN5,ENSG00000184113,0.00064048731028532,0.00739119548182143,0.000572275554961865,0.0200574360836523,missense|LC,22019518792,22,19518792,
KLC1,ENSG00000126214,0.000662205978689712,0.000550711780128443,0.00729341986563325,0.027395396934212,missense|LC,14103654495,14,103654495,
CD247,ENSG00000198821,0.000668097254633127,0.0921873920170029,0.00032943672817165,0.0181515409502072,missense|LC,1167431640,1,167431640,
DNAJC21,ENSG00000168724,0.000702950283390069,0.000694864910870008,0.00279452105350209,0.011962600352429,missense|LC,5034924807,5,34924807,
SLC39A8,ENSG00000138821,0.000767220022135806,0.249938381392169,0.000345036351179107,0.00664564560374699,missense|LC,4102259417,4,102259417,
SLC35E1,ENSG00000127526,0.000821987910876842,0.190561112307801,0.000396702585439224,0.011221723116632,missense|LC,19016553597,19,16553597,
PADI3,ENSG00000142619,0.000862647549074946,0.18275517395939,0.000383812489401669,0.00272178181575641,missense|LC,1017244099,1,17244099,
NEO1,ENSG00000067141,0.000876466925095909,0.03541526863823,0.000444018057580653,0.00658498233631286,missense|LC,15073052601,15,73052601,
UTP18,ENSG00000011260,0.000894912433786921,0.000654759017698514,0.00584236080574652,0.0166289851764799,missense|LC,17051259184,17,51259184,
CDK4,ENSG00000135446,0.000965316803665628,0.000802461086048423,0.00538681028245636,0.0250952305921758,missense|LC,12057745081,12,57745081,
COLEC11,ENSG00000118004,0.000973455243267418,0.000572758289410502,0.0376173549403686,0.0266462479677276,missense|LC,2003603566,2,3603566,
POU4F3,ENSG00000091010,0.000987065427060063,0.000638700456132901,0.0480366052570982,0.0233162673671422,missense|LC,5146338985,5,146338985,
ZFHX4,ENSG00000091656,0.00106162225083228,0.00996878552714142,0.000940442904491245,0.00531778033169172,missense|LC,8076704006,8,76704006,
ARHGAP25,ENSG00000163219,0.00106570554436969,0.00209207323111782,0.00115940988730212,0.0111134196154974,missense|LC,2068735155,2,68735155,
RNF175,ENSG00000145428,0.00107872952064525,0.000542563236853644,0.0455153725939671,0.0114105116915616,missense|LC,4153705155,4,153705155,
PDE11A,ENSG00000284741,0.00110059664095874,0.00444637845540197,0.000993156331532519,0.0416076675639738,missense|LC,2177629484,2,177629484,
OR8K1,ENSG00000150261,0.0011443825589228,0.000818533744772143,0.0355756964467702,0.0180397959026351,missense|LC,11056345996,11,56345996,
ZDHHC24,ENSG00000174165,0.0011702831009035,0.00573430589901225,0.0011541077502053,0.0210647367733416,missense|LC,11066530780,11,66530780,
NDST2,ENSG00000166507,0.00117186864083652,0.0013517747612708,0.0038249317021003,0.0106364789695505,missense|LC,10073796916,10,73796916,
ZNF404,ENSG00000176222,0.00117490117253616,0.00789068897682554,0.00112608173798878,0.0123579959691101,missense|LC,19043872505,19,43872505,
EHMT1,ENSG00000181090,0.00118757749702558,0.534238284701085,0.000580082811232674,0.00222869839699358,missense|LC,9137614002,9,137614002,
SELENOH,ENSG00000211450,0.00120632455371938,0.00199707945124095,0.00113340621076607,0.0180535073199663,missense|LC,11057737553,11,57737553,
SPTBN1,ENSG00000115306,0.00121500052507284,0.00566077032482637,0.0012458161986042,-0.00747003641624474,missense|LC,2054526308,2,54526308,
DDAH2,ENSG00000213722,0.00131556150768108,0.0745750198845112,0.000612658708466163,0.0141500536609437,missense|LC,6031723323,6,31723323,
OR10Z1,ENSG00000198967,0.00132628760483744,0.000800941716201264,0.0858224982144592,-0.0178910941289449,missense|LC,1158606406,1,158606406,
CBR4,ENSG00000145439,0.0013292998448533,0.00124380453210138,0.00256185864711078,0.0166666034454749,missense|LC,4168987577,4,168987577,
INMT-MINDY4,ENSG00000254959,0.00134275100068459,0.0163620403224921,0.00115009006795042,0.0104023435695752,missense|LC,7030752022,7,30752022,
LRRC4,ENSG00000128594,0.00135688872264017,0.0315089134736595,0.00086100566669578,0.0118102860682023,missense|LC,7128028606,7,128028606,
CYP3A4,ENSG00000160868,0.00137055038055078,0.000684674150533193,0.00609752269934605,0.0101493869323765,missense|LC,7099758087,7,99758087,
STX1B,ENSG00000099365,0.00141498287955732,0.0412973835376689,0.000739026876923954,0.0420272106062891,missense|LC,16030984902,16,30984902,
ART4,ENSG00000111339,0.00148032452084834,0.0008699380014352,0.00546923267385635,0.0168544169839158,missense|LC,12014822844,12,14822844,
INMT,ENSG00000241644,0.00150574642586188,0.0224633944663762,0.00104816235565353,0.00824485257616284,missense|LC,7030752022,7,30752022,
SLC3A1,ENSG00000138079,0.00150742948880711,0.938205233030279,0.000696255762069997,-0.00015872758201437,missense|LC,2044270564,2,44270564,
GABBR2,ENSG00000136928,0.00160978423141644,0.00187565038680437,0.0111095318367258,0.0219504696544825,missense|LC,9098290521,9,98290521,
HMSD,ENSG00000221887,0.00161396523049095,0.00100522641255052,0.0374140858375511,0.0397591500978191,missense|LC,18063953407,18,63953407,
TNFAIP3,ENSG00000118503,0.0016236143280286,0.00118243153876996,0.0108935676763788,0.0126300450548262,missense|LC,6137871133,6,137871133,
SERTM1,ENSG00000180440,0.00162520540936451,0.00100568347321961,0.0148979352807537,0.0752665272860195,missense|LC,13036695045,13,36695045,
CHN2,ENSG00000106069,0.00164237394540356,0.000947117169789458,0.016014818360961,0.0172443393602466,missense|LC,7029194846,7,29194846,
SPAG17,ENSG00000155761,0.00165809403156403,0.114036606648623,0.00102067667604167,0.0074085434172512,missense|LC,1117949653,1,117949653,
CSNK1G3,ENSG00000151292,0.00177810305786985,0.00309794523630347,0.00340876986295346,0.0281900951875547,missense|LC,5123545644,5,123545644,
MIER3,ENSG00000155545,0.00179286997872852,0.0039665514708952,0.00194391155714846,0.0211956299396441,missense|LC,5056914816,5,56914816,
CSDE1,ENSG00000009307,0.00179451147972398,0.0392547360494759,0.00100040895441122,0.0153345309269829,missense|LC,1114713745,1,114713745,
SPRR2A,ENSG00000241794,0.00180978600897863,0.0842433205856923,0.00094634749004352,0.0266697209317669,missense|LC,1153056354,1,153056354,
GNPTAB,ENSG00000111670,0.00187056157431464,0.00118701619779826,0.0119153796103111,0.0105245050518558,missense|LC,12101747155,12,101747155,
CD7,ENSG00000173762,0.00187808961523384,0.00442014140845681,0.00434029955184245,0.0219830569255184,missense|LC,17082315291,17,82315291,
TAFA1,ENSG00000183662,0.00189274134706741,0.0168251664723933,0.00131697158932442,0.0300182128226951,missense|LC,3068006587,3,68006587,
UHRF1,ENSG00000276043,0.00194132648022138,0.00107712014280725,0.148339819018766,-0.0115592499287904,missense|LC,19004910757,19,4910757,
EIF4A1,ENSG00000161960,0.00194506457122101,0.268674598422611,0.000988891461389474,0.017912651806114,missense|LC,17007570252,17,7570252,
BLMH,ENSG00000108578,0.00209809357931301,0.00287743169613008,0.00216407525262408,0.0155314771291688,missense|LC,17030248913,17,30248913,
APLNR,ENSG00000134817,0.00210180383556413,0.00172031317363008,0.00805961628845009,0.0137737922095133,missense|LC,11057235767,11,57235767,
NSRP1,ENSG00000126653,0.00213758656449758,0.0345887494280018,0.00140074008547031,-0.00960712905953838,missense|LC,17030116738,17,30116738,
CBLN4,ENSG00000054803,0.0021494387548836,0.00963828254718846,0.00161354651620871,0.108800579681017,missense|LC,20055998467,20,55998467,
AC107959.5,ENSG00000284956,0.00216676703016228,0.00328592569755726,0.00206693796662116,0.0142873239044026,missense|LC,8023102831,8,23102831,
PDK1,ENSG00000152256,0.00218435037216935,0.00906790049077855,0.00285036091268664,0.0179849181780572,missense|LC,2172556082,2,172556082,
KLHL34,ENSG00000185915,0.00232628796950007,0.00244857063296677,0.00389115450520916,0.0122559953674799,missense|LC,23021652282,X,21652282,
BBS9,ENSG00000122507,0.002354014589112,0.00148173809326835,0.0142005477730305,0.00930736166790674,missense|LC,7033129023,7,33129023,
DEFB131A,ENSG00000186146,0.00236925988315695,0.0257120504578263,0.00152830508163682,0.0160744936274519,missense|LC,4009444442,4,9444442,
ATP5MC1,ENSG00000159199,0.00242883053496068,0.0440032450002481,0.00131640624089868,0.0334562211259182,missense|LC,17048893322,17,48893322,
AP001267.5,ENSG00000285827,0.0024369283246507,0.00146899065881234,0.0146068962180602,0.0112220273855312,missense|LC,11118401571,11,118401571,
PRB4,ENSG00000230657,0.00245857937272109,0.00281209190992016,0.00301736385679408,0.00917911060878067,missense|LC,12011308123,12,11308123,
GFM2,ENSG00000164347,0.00250049985974909,0.233265415074609,0.00160913246091843,-0.00454465054023941,missense|LC,5074716567,5,74716567,
ACO2,ENSG00000100412,0.00257663301077127,0.00179668581991255,0.020874890562493,0.013021241284108,missense|LC,22041467376,22,41467376,
EPS8L3,ENSG00000198758,0.00258622769571448,0.00174454830455351,0.012417130218155,0.0112554300519411,missense|LC,1109750289,1,109750289,
SFRP1,ENSG00000104332,0.0026484742706665,0.00550915729156742,0.00539032989436994,0.0278154654267808,missense|LC,8041265148,8,41265148,
IGSF8,ENSG00000162729,0.00266831011618596,0.011731964368353,0.00267849842981205,0.0106962223163938,missense|LC,1160087339,1,160087339,
KLHL21,ENSG00000162413,0.00278778280708059,0.164589816519258,0.0014319770436888,0.0070676445734991,missense|LC,1006585844,1,6585844,
