Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
LDLR,ENSG00000130164,1.29626670702238e-15,3.3930757145659e-13,6.98019255934124e-10,0.117980269838595,pLoF,19011089485,19,11089485,
WDR4,ENSG00000160193,0.0000057524158565414,0.000630122169146596,0.0000048201765459055,0.0580747200232559,pLoF,21042849941,21,42849941,
MYO1C,ENSG00000197879,0.0000121773600558761,0.000375604405700614,0.0000166817790367979,0.0510747172844268,pLoF,17001465618,17,1465618,
ZFYVE16,ENSG00000039319,0.0000135687928400907,0.000040520975417957,0.00015634387095198,0.0431084426678362,pLoF,5080434080,5,80434080,
HTR3D,ENSG00000186090,0.0000147624214373865,0.0000284555746802306,0.0000661456403954208,0.0537564897089667,pLoF,3184031700,3,184031700,
VAT1L,ENSG00000171724,0.0000367084582467703,0.000226292066365597,0.000073590631021081,0.0583865258577046,pLoF,16077788583,16,77788583,
AL357075.4,ENSG00000288520,0.0000450453409340801,0.000609094336545324,0.0000775294440612528,0.064427817199569,pLoF,6154159785,6,154159785,
GALNT15,ENSG00000131386,0.0000665730242832563,0.000040015847042385,0.00251749007528801,0.0356745101797029,pLoF,3016175069,3,16175069,
LRRC34,ENSG00000171757,0.0000773832410680964,0.0000677931771518869,0.0401997250598278,0.030106791618184,pLoF,3169793600,3,169793600,
TSEN34,ENSG00000170892,0.0000858847620136549,0.00390092329091452,0.0000714208713997744,0.063419095650015,pLoF,19054187050,19,54187050,
TTPAL,ENSG00000124120,0.0000929576340277238,0.0000898512174665189,0.000498124614774165,0.0983260190256322,pLoF,20044479924,20,44479924,
PPIL4,ENSG00000131013,0.000213717746509356,0.0033121134609384,0.000169993906883548,0.0346436599681681,pLoF,6149505383,6,149505383,
ZNF304,ENSG00000131845,0.00025422899840899,0.000337286331618447,0.000243821527883492,0.0961807918947227,pLoF,19057351565,19,57351565,
MYO9B,ENSG00000099331,0.000268318941299195,0.00164548716213486,0.000473390912184568,0.0700636296716762,pLoF,19017073213,19,17073213,
SLC15A3,ENSG00000110446,0.0003812221737165,0.52164234996269,0.000235073956597276,0.00495791219275938,pLoF,11060932085,11,60932085,
CARMIL3,ENSG00000186648,0.000439234274581035,0.000714765163219,0.00235449948181565,0.0512439112342665,pLoF,14024048069,14,24048069,
PDK2,ENSG00000005882,0.000446596457142845,0.00182932941357938,0.000524070153127498,0.0779619190544597,pLoF,17050095392,17,50095392,
MON2,ENSG00000061987,0.000476049094222053,0.000834238998790759,0.00277291258264134,0.0466907595324026,pLoF,12062467155,12,62467155,
FGF2,ENSG00000138685,0.000506817389779091,0.0329216456887979,0.000359191095719358,0.0351662735109604,pLoF,4122826354,4,122826354,
PSPN,ENSG00000125650,0.000528157153212971,0.000479476749442043,0.00277030466507022,0.0633808374425395,pLoF,19006372714,19,6372714,
SLC4A7,ENSG00000033867,0.000621428618986064,0.00098556822796847,0.00293179090917584,0.0689243504289948,pLoF,3027376744,3,27376744,
GCLC,ENSG00000001084,0.000646245921461897,0.00051594947570488,0.00317136503917748,0.0910194783555622,pLoF,6053498737,6,53498737,
SPAG11B,ENSG00000164871,0.000650736617756942,0.0134094832881128,0.000472936723338591,0.0455272311903818,pLoF,8007450615,8,7450615,
SAMD1,ENSG00000141858,0.000666481313891243,0.00328810846624694,0.000457182576910298,0.0860791008725864,pLoF,19014083168,19,14083168,
IL1F10,ENSG00000136697,0.000694917978011689,0.000646808032025548,0.00364525817005346,0.0471412120876658,pLoF,2113072670,2,113072670,
UPK1A,ENSG00000105668,0.000738504783174943,0.00203747385642661,0.000676824780094343,0.0605231489874494,pLoF,19035666726,19,35666726,
ABAT,ENSG00000183044,0.000809742769204647,0.0863286477601244,0.000508009472305782,0.0433811382296804,pLoF,16008722737,16,8722737,
GP1BA,ENSG00000185245,0.00083313997602652,0.000791269706005959,0.00129599414825299,0.0283891458690739,pLoF,17004932242,17,4932242,
NAF1,ENSG00000145414,0.000849467510385393,0.0548729179059104,0.000564536651080361,0.0941195531112739,pLoF,4163126839,4,163126839,
FHIT,ENSG00000189283,0.000922038098610911,0.000436785783495264,0.0115197034983723,0.145643491909287,pLoF,3059752181,3,59752181,
FAM110A,ENSG00000125898,0.000935031397318209,0.00120667148057163,0.00118831744920278,0.106519402670935,pLoF,20000839771,20,839771,
BRD3,ENSG00000169925,0.000946711194000693,0.00171346842242792,0.000894742906443979,0.0889916432707902,pLoF,9134034573,9,134034573,
ELP4,ENSG00000109911,0.000978544379415691,0.00163557398014202,0.00157165130380599,0.0480983264805446,pLoF,11031509698,11,31509698,
POLR2M,ENSG00000255529,0.0010488193065803,0.00181224918640011,0.000909979984443532,0.072231937389924,pLoF,15057706738,15,57706738,
ZFC3H1,ENSG00000133858,0.00105001116859793,0.00416097214786992,0.00150058630681837,0.0633384741337672,pLoF,12071610325,12,71610325,
C17orf113,ENSG00000267221,0.00111749155804453,0.000936327235883994,0.0258071945423715,0.0297080822996529,pLoF,17042034178,17,42034178,
BIRC3,ENSG00000023445,0.00113007368275053,0.198769889687979,0.000652791314148526,0.0528814195135184,pLoF,11102324402,11,102324402,
CNKSR3,ENSG00000153721,0.00122434408833227,0.00417677522662874,0.00138327982796649,0.0693833386982644,pLoF,6154406274,6,154406274,
BCL9,ENSG00000116128,0.00128089331881609,0.000798152959204712,0.00300356835634896,0.039023089071189,pLoF,1147611763,1,147611763,
RCL1,ENSG00000120158,0.00130321432601888,0.00878652299574934,0.000800103255187201,0.0925515562570747,pLoF,9004792980,9,4792980,
