Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
PSORS1C1,ENSG00000204540,0.00000122200694629981,0.000131847154154485,8.42736601169847e-7,0.0392732822510252,missense|LC,6031111304,6,31111304,
C9orf50,ENSG00000179058,0.00000933613407039235,0.000511783168673507,0.00000576726587997456,0.0201666774462142,missense|LC,9129612292,9,129612292,
RCHY1,ENSG00000163743,0.0000141905445667501,0.00154787983108329,0.0000113350427222159,0.0651574561696544,missense|LC,4075482454,4,75482454,
IZUMO1R,ENSG00000183560,0.0000651317087666525,0.28958306016115,0.0000316104678907969,0.0148420617389668,missense|LC,11094305593,11,94305593,
CLDN25,ENSG00000228607,0.0000925502346615925,0.00421887643265473,0.0000668418547149496,0.0491421776362031,missense|LC,11113779727,11,113779727,
POC5,ENSG00000152359,0.0000926243010639372,0.00131967411300782,0.0000840963659178851,0.0224357033518823,missense|LC,5075669136,5,75669136,
MB,ENSG00000198125,0.000106551643766606,0.00875874865533044,0.0000558662087848383,0.0545800756828097,missense|LC,22035607187,22,35607187,
TNFRSF11B,ENSG00000164761,0.000115488282596776,0.039029510561122,0.0000492862567207375,0.020561089044969,missense|LC,8118924279,8,118924279,
TAS2R60,ENSG00000185899,0.000123916675642821,0.0198553921281068,0.0000601835414684171,0.0333374802974627,missense|LC,7143443381,7,143443381,
ADAT3,ENSG00000213638,0.000140886385388672,0.000124030292247057,0.00332442677693778,0.025773030080413,missense|LC,19001911921,19,1911921,
ZAP70,ENSG00000115085,0.000184754185460156,0.000315714138610201,0.000878098932161508,0.0380471247751304,missense|LC,2097723913,2,97723913,
ANKRD50,ENSG00000151458,0.000210116955234319,0.00228217118283025,0.000161504067904938,0.0196872909094429,missense|LC,4124668921,4,124668921,
CLTA,ENSG00000122705,0.000213857260832673,0.000290536259543561,0.00109557188309828,0.0573112703464476,missense|LC,9036190890,9,36190890,
ZNRD1,ENSG00000066379,0.000219357608945647,0.000803555344396578,0.00020989075038369,0.0316782795254439,missense|LC,6030061420,6,30061420,
PCDHGC3,ENSG00000240184,0.00022552892875638,0.0443392845913407,0.000121445981649315,0.015614171289132,missense|LC,5141476018,5,141476018,
GGCX,ENSG00000115486,0.000242906522024966,0.000388548621478524,0.00151550726416871,0.0302605206457353,missense|LC,2085541041,2,85541041,
ATG2B,ENSG00000066739,0.000260753453448115,0.159245082323462,0.000110441900958769,0.00534577742612698,missense|LC,14096285686,14,96285686,
TXNRD2,ENSG00000184470,0.000301977028439593,0.00357838246900999,0.000261929618363133,0.0171123759275406,missense|LC,22019876975,22,19876975,
SNAPC3,ENSG00000164975,0.000318397136410575,0.0111257129170066,0.000274835618568114,0.0180033917253284,missense|LC,9015422782,9,15422782,
CST3,ENSG00000101439,0.000350877198455501,0.000321676942669935,0.00337075082568328,0.0633148403431333,missense|LC,20023633906,20,23633906,
GATD1,ENSG00000177225,0.000409647492462306,0.000196052868129071,0.00791270670378097,0.0470727345131767,missense|LC,11000763315,11,763315,
SPESP1,ENSG00000258484,0.000426085792224029,0.00318260965070838,0.000557902885944261,0.0419237660781272,missense|LC,15068930537,15,68930537,
BTLA,ENSG00000186265,0.000466765847077943,0.0218704104425678,0.00021008743123474,0.0416742913624237,missense|LC,3112466016,3,112466016,
ANKIB1,ENSG00000001629,0.000498675050436548,0.00038518889931094,0.00744955769386024,0.0299176055872586,missense|LC,7092240979,7,92240979,
RABGGTB,ENSG00000137955,0.000547512406000372,0.216194999586949,0.0002387999040665,0.0278917434230659,missense|LC,1075786173,1,75786173,
CDKL1,ENSG00000100490,0.000564635586413842,0.000314542107430205,0.00665888068484466,0.0324018401908244,missense|LC,14050325500,14,50325500,
