Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
SPDYE3,ENSG00000214300,2.90711652528586e-7,0.00000339863006360019,3.94263914738069e-7,0.0773113482759751,pLoF,7100307702,7,100307702,
TET2,ENSG00000168769,0.00000755850945988179,0.00618947931950897,0.00000405122524604895,0.047988350099104,pLoF,4105233891,4,105233891,
CDT1,ENSG00000167513,0.0000668037867549431,0.239934704407805,0.0000379030753354659,0.0278353521049971,pLoF,16088803767,16,88803767,
HMOX1,ENSG00000100292,0.0000727571223124723,0.00013273379072809,0.000106353834783746,0.112426103788793,pLoF,22035381063,22,35381063,
TM4SF4,ENSG00000169903,0.0000730594466029633,0.00181298420545895,0.0000640842919680251,0.0682444015340976,pLoF,3149474784,3,149474784,
ATP13A4,ENSG00000127249,0.0000855056699152756,0.00326072423330781,0.0000622190683920998,0.0473713537670207,pLoF,3193402715,3,193402715,
FAM81A,ENSG00000157470,0.000116878366700601,0.00424018217701128,0.0000983319234033608,0.179021893283069,pLoF,15059458507,15,59458507,
LMLN,ENSG00000185621,0.000119881758419482,0.000940950273550345,0.0000975010074588667,0.106614664934021,pLoF,3197955702,3,197955702,
TSHZ1,ENSG00000179981,0.000128835218492052,0.0027016693914037,0.000113927269484448,0.193617982921564,pLoF,18075208237,18,75208237,
UTP20,ENSG00000120800,0.00013488097655312,0.00222438984026518,0.000160262564204539,0.0651666868793798,pLoF,12101280167,12,101280167,
FBLIM1,ENSG00000162458,0.000139828089705918,0.00124816860760857,0.000128316237772985,0.154513110653746,pLoF,1015764861,1,15764861,
ATP8B2,ENSG00000143515,0.000150684183161554,0.00562162026131796,0.0000985573063861933,0.0817917709998039,pLoF,1154322876,1,154322876,
USP16,ENSG00000156256,0.000157376101647677,0.000341736639763335,0.00059178753167366,0.0678460992636555,pLoF,21029024634,21,29024634,
PEX11G,ENSG00000104883,0.000187254592389663,0.0135566521435984,0.000132501137426355,0.0458272015893976,pLoF,19007477113,19,7477113,
FLRT3,ENSG00000125848,0.000203015712474053,0.000407832618650961,0.000245476656476451,0.179503539417834,pLoF,20014325473,20,14325473,
LEMD2,ENSG00000161904,0.000219033296054993,0.00122701791377711,0.000211180895712593,0.122481526052966,pLoF,6033772556,6,33772556,
NGFR,ENSG00000064300,0.000220735109513703,0.000745411911254656,0.000244557856438066,0.165929401845711,pLoF,17049495329,17,49495329,
HIF3A,ENSG00000124440,0.00031349991968177,0.000545369651627325,0.00059858748291175,0.113793537805667,pLoF,19046297011,19,46297011,
CNP,ENSG00000173786,0.000354799875070255,0.000249238828065268,0.000993352555815008,0.190734007424325,pLoF,17041966747,17,41966747,
GUCY1B1,ENSG00000061918,0.000356805064350318,0.0133023156167528,0.000205736103098597,0.100865779543842,pLoF,4155759055,4,155759055,
GRXCR2,ENSG00000204928,0.000362927871908614,0.0184550353960968,0.000188039090637471,0.0942470149956898,pLoF,5145859664,5,145859664,
ADGRG6,ENSG00000112414,0.000369183765161929,0.0030464793815923,0.000401543411735483,0.090068234020936,pLoF,6142302228,6,142302228,
APAF1,ENSG00000120868,0.000399419423370628,0.00986640376689585,0.000265967483695118,0.0659867733000529,pLoF,12098644438,12,98644438,
SEC14L1,ENSG00000129657,0.00040215806901911,0.0068036297256262,0.000243649125543532,0.0934816405617416,pLoF,17077143546,17,77143546,
ILDR2,ENSG00000143195,0.000414365264460703,0.00217348558042463,0.000331926328061338,0.142493514054888,pLoF,1166919288,1,166919288,
PI3,ENSG00000124102,0.000455393644614777,0.00321060613261992,0.000407089213047884,0.186855596625308,pLoF,20045174865,20,45174865,
DRC7,ENSG00000159625,0.000466440973246551,0.0111902146092,0.000300425707266738,0.0638567019408417,pLoF,16057697819,16,57697819,
FAR1,ENSG00000197601,0.000467905136024238,0.00140862929561969,0.000405789770565601,0.151948040364604,pLoF,11013694696,11,13694696,
TDO2,ENSG00000151790,0.000468006083561345,0.000486333335397493,0.00171626079278431,0.0606149847739547,pLoF,4155903668,4,155903668,
ACSBG2,ENSG00000130377,0.000526094939692912,0.00119980008196818,0.000840511753696038,0.0675664195563425,pLoF,19006141509,19,6141509,
ENTPD6,ENSG00000197586,0.000569268337739515,0.00419021898590222,0.000513344074677513,0.102114197125194,pLoF,20025195771,20,25195771,
CYP7B1,ENSG00000172817,0.000577768965850822,0.0326845156478249,0.000262821248131595,0.06557442215189,pLoF,8064596580,8,64596580,
ARFGEF3,ENSG00000112379,0.000595124485800458,0.0128281668530177,0.000399732500944605,0.0819428241433584,pLoF,6138162026,6,138162026,
HIPK1,ENSG00000163349,0.00061139137927313,0.00369803343877284,0.000489907940900092,0.129572607367633,pLoF,1113929249,1,113929249,
LCA5L,ENSG00000157578,0.00062074628151132,0.0346618118982353,0.000444204267155968,0.0395717311500636,pLoF,21039405828,21,39405828,
GRID2IP,ENSG00000215045,0.000638560696762491,0.00395708141338291,0.000588656903492746,0.0679901410099711,pLoF,7006497775,7,6497775,
NDFIP1,ENSG00000131507,0.000732698370599527,0.000533500259027764,0.000871751968248846,0.248708669669488,pLoF,5142108886,5,142108886,
OCIAD1,ENSG00000109180,0.000765919155386263,0.000699791006373407,0.00102175544409389,0.0932345887288613,pLoF,4048831422,4,48831422,
RAPGEF3,ENSG00000079337,0.000774987564358565,0.00075446419656866,0.000963454637668115,0.025334618098249,pLoF,12047737504,12,47737504,
MCCC1,ENSG00000078070,0.00079554189357145,0.21918054216135,0.000428728919275367,0.0268159302699487,pLoF,3183015354,3,183015354,
UBA6,ENSG00000033178,0.000812434222669189,0.00434372000676464,0.000741158066668302,0.100397276386845,pLoF,4067618919,4,67618919,
CAPRIN2,ENSG00000110888,0.000818139015702157,0.260660575552543,0.000342829730533567,0.0332720247709302,pLoF,12030709804,12,30709804,
GLB1L2,ENSG00000149328,0.000835781238031075,0.00127860970036542,0.00238434362810391,0.0669986045445091,pLoF,11134332017,11,134332017,
B4GALT5,ENSG00000158470,0.000862864378385009,0.000647123189815968,0.00101785006588262,0.242012243046275,pLoF,20049636208,20,49636208,
PHF10,ENSG00000130024,0.000924628595987853,0.00256031579247928,0.00103240610992739,0.0812988202018901,pLoF,6169702437,6,169702437,
VPS11,ENSG00000160695,0.000972479037363305,0.00560003074921733,0.000953617254997319,0.0958647214861026,pLoF,11119067715,11,119067715,
LAD1,ENSG00000159166,0.00103092956794215,0.014470185662284,0.000573095352318198,0.0645373814640988,pLoF,1201381815,1,201381815,
SENP5,ENSG00000119231,0.00104174617422603,0.00335100756236639,0.000950843414638469,0.13326586347761,pLoF,3196885133,3,196885133,
CYP4Z1,ENSG00000186160,0.00105891174263584,0.0184429383445893,0.000676964380853962,0.0430472627691871,pLoF,1047067405,1,47067405,
THAP12,ENSG00000137492,0.00106311168707118,0.000814316899230061,0.00381738392426523,0.108069539237116,pLoF,11076350767,11,76350767,
DDX31,ENSG00000125485,0.00106376713487777,0.037312784636105,0.000503426018870323,0.0449327890695698,pLoF,9132589085,9,132589085,
AGGF1,ENSG00000164252,0.0010669597253069,0.0793176562069118,0.000546051507583245,0.0437217006468808,pLoF,5077030669,5,77030669,
PIP4K2C,ENSG00000166908,0.0010754282472395,0.000715889715362295,0.00242396001618861,0.110287974625988,pLoF,12057591198,12,57591198,
MPP2,ENSG00000108852,0.00110087555097127,0.00971729790147291,0.000718789837608425,0.108972731546501,pLoF,17043877766,17,43877766,
ZUP1,ENSG00000153975,0.00113240678368898,0.124176620217495,0.000553023318083046,0.0504406861288912,pLoF,6116632158,6,116632158,
MAN1A2,ENSG00000198162,0.00123149070551687,0.00140301250661179,0.00152695585827223,0.0918168612912143,pLoF,1117368099,1,117368099,
CLIP2,ENSG00000106665,0.00124090583965164,0.00836000265392089,0.0008880238097424,0.112338078614473,pLoF,7074317419,7,74317419,
KALRN,ENSG00000160145,0.00124894611873538,0.00251684108125327,0.000860054175990554,0.196023905534534,pLoF,3124094781,3,124094781,
ANXA8L1,ENSG00000264230,0.00125406543017148,0.0383358012855337,0.000803147812508787,0.071849971418078,pLoF,10046373469,10,46373469,
RNF39,ENSG00000204618,0.00131763869511448,0.00319073209218712,0.00113881515557268,0.0795111697786277,pLoF,6030067330,6,30067330,
APC,ENSG00000134982,0.00132311126761875,0.0197306742700811,0.00077010176420278,0.0925752072748379,pLoF,5112737758,5,112737758,
GDI2,ENSG00000057608,0.00132314042003145,0.00865323084853298,0.000790376810739124,0.155942466556467,pLoF,10005761220,10,5761220,
TBC1D2B,ENSG00000167202,0.00133431349941604,0.00158360291329562,0.00128108708260766,0.208762011108801,pLoF,15077989989,15,77989989,
KRT15,ENSG00000171346,0.0013383188471926,0.00406040391591511,0.00106979456125988,0.0764639717255516,pLoF,17041513987,17,41513987,
DCUN1D4,ENSG00000109184,0.00135611209611775,0.0712024350957,0.000742954621623992,0.0852093602857422,pLoF,4051842978,4,51842978,
FAM98B,ENSG00000171262,0.0013607404595477,0.0119151391318902,0.000871473634810993,0.103105598198597,pLoF,15038454083,15,38454083,
SIPA1L1,ENSG00000197555,0.0013651127394122,0.00607453068153962,0.000851182096197167,0.167402208718731,pLoF,14071587801,14,71587801,
MTFMT,ENSG00000103707,0.00138220247768484,0.222019361424851,0.000800790228801418,0.0485926959044155,pLoF,15065003015,15,65003015,
USO1,ENSG00000138768,0.00138438293600496,0.00745530814535944,0.00109255848059331,0.114453661928188,pLoF,4075724733,4,75724733,
ARG1,ENSG00000118520,0.00140817094234624,0.0031970436823594,0.00118133378138496,0.0907145772700921,pLoF,6131573213,6,131573213,
APOB,ENSG00000084674,0.00141127032684507,0.00162557278523012,0.00307311986294001,0.0442687917326909,pLoF,2021001656,2,21001656,
ZSWIM7,ENSG00000214941,0.00144901077555581,0.00615373374975947,0.00133008706882887,0.0637439925884827,pLoF,17015974614,17,15974614,
SYNPO,ENSG00000171992,0.00145347235762039,0.00613939482845249,0.000931738950609051,0.167049859103382,pLoF,5150618250,5,150618250,
KIAA1549L,ENSG00000110427,0.00146536758614157,0.0699162804933413,0.000744789649486988,0.0514644063866176,pLoF,11033542455,11,33542455,
SEC11A,ENSG00000140612,0.00153015158722725,0.00376201387339847,0.0010392789465179,0.18299801138014,pLoF,15084669857,15,84669857,
SLC27A5,ENSG00000083807,0.00162150473725442,0.00691113579042446,0.00113034508936138,0.0462794155280068,pLoF,19058498431,19,58498431,
RAD51C,ENSG00000108384,0.00162807506683127,0.00742810035365915,0.00130758223395611,0.0770009438133128,pLoF,17058692529,17,58692529,
MOB3A,ENSG00000172081,0.0016507313455566,0.00487947022813096,0.00150503055037499,0.0992536690062151,pLoF,19002073297,19,2073297,
METTL22,ENSG00000067365,0.00166820640025689,0.046669055326084,0.00134735103111727,0.0347515575784768,pLoF,16008625579,16,8625579,
TLCD5,ENSG00000181264,0.00171085816384353,0.00265578810344125,0.00182322880808683,0.11027166861329,pLoF,11120327299,11,120327299,
HECW2,ENSG00000138411,0.00171341550280646,0.0145745145347254,0.00112509794717219,0.0970450705955209,pLoF,2196201251,2,196201251,
CPLANE2,ENSG00000132881,0.00171610126009758,0.0157348536828956,0.00114432434502121,0.0782005467825313,pLoF,1016231922,1,16231922,
ZNF513,ENSG00000163795,0.00172515731360134,0.0440333763831386,0.001235395654544,0.100072963657686,pLoF,2027372504,2,27372504,
MAN1B1,ENSG00000177239,0.00177683167633402,0.0107168036859172,0.00158246747425894,0.0555691681274062,pLoF,9137081977,9,137081977,
SPTSSA,ENSG00000165389,0.00181962623043552,0.00372013244237412,0.00167670427338162,0.178449394746003,pLoF,14034435146,14,34435146,
