Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
RPL36,ENSG00000130255,0.000014035921547296,,,,pLoF,19005678479,19,5678479,
FER1L5,ENSG00000249715,0.0000276641864800364,0.00142326915819158,0.0000245371796263605,0.0401479624357907,pLoF,2096642748,2,96642748,
PCDHA3,ENSG00000255408,0.000030763051658611,0.000839031226154585,0.0000339620537787022,0.0613704507926014,pLoF,5140796057,5,140796057,
RETREG3,ENSG00000141699,0.0000776193056107877,0.0012748399430671,0.0000599481572812754,0.122319804310683,pLoF,17042577018,17,42577018,
MIB1,ENSG00000101752,0.0000855386031899386,0.000506234853766108,0.00060441344486839,0.0320987503426695,pLoF,18021741508,18,21741508,
TTPAL,ENSG00000124120,0.000113479763018343,0.0142206152633131,0.0000532611566569363,0.0806696428513249,pLoF,20044479924,20,44479924,
CAMK4,ENSG00000152495,0.000127986244310208,0.000735451291538958,0.000121892110056532,0.110250277654928,pLoF,5111224329,5,111224329,
SLC6A13,ENSG00000010379,0.000148507756385974,0.00618950299962473,0.0000941267430616399,0.0537505081514539,pLoF,12000220836,12,220836,
HERC2,ENSG00000128731,0.000150600118867361,0.00447438165635505,0.000159770158247419,0.0649457914891922,pLoF,15028111678,15,28111678,
LRP6,ENSG00000070018,0.000157031230982763,0.000766808387198115,0.000283736523272182,0.109864253586936,pLoF,12012111105,12,12111105,
SH3BP2,ENSG00000087266,0.000157431073217529,0.0017075588128731,0.000114235231813198,0.0362489469936088,pLoF,4002818184,4,2818184,
SMIM22,ENSG00000267795,0.000205836854404451,0.000213128494838566,0.000216201216102219,0.0213354784009551,pLoF,16004783428,16,4783428,
TROAP,ENSG00000135451,0.000209777465730032,0.0330001761983859,0.000116121610212239,0.044374021603294,pLoF,12049323481,12,49323481,
FAM193B,ENSG00000146067,0.000241775628165408,0.000472568925630301,0.000785089640781389,0.0996854500235887,pLoF,5177514790,5,177514790,
SFR1,ENSG00000156384,0.000242164685195334,0.000435002747053659,0.000433562298718604,0.0908265187450707,pLoF,10104122163,10,104122163,
FBXO33,ENSG00000165355,0.000255273674197531,0.000776406997586854,0.000355501980325634,0.108199278240001,pLoF,14039399444,14,39399444,
PTPRH,ENSG00000080031,0.000292514140603051,0.0133251262817295,0.000246027079351729,0.0148501179201713,pLoF,19055178090,19,55178090,
MAP2K2,ENSG00000126934,0.000343834491646433,0.00103379995997455,0.000450483357322118,0.105983024757635,pLoF,19004090547,19,4090547,
BMPR1B,ENSG00000138696,0.000354467337814746,0.000946976585178505,0.000384402041512466,0.160977513140646,pLoF,4095051677,4,95051677,
NFIA,ENSG00000162599,0.000366277560125194,0.00717433255582378,0.000302676438475036,0.115328593758983,pLoF,1061077538,1,61077538,
DPP9,ENSG00000142002,0.000368983823161528,0.00343142997290524,0.000344055002538646,0.105506326418741,pLoF,19004670228,19,4670228,
KLRD1,ENSG00000134539,0.000400970228982334,0.028353806210472,0.000189138251549981,0.0697792455540686,pLoF,12010308012,12,10308012,
PSMF1,ENSG00000125818,0.000401251535178782,0.000464952335580637,0.00117500829963735,0.0819336051210237,pLoF,20001118656,20,1118656,
PALM3,ENSG00000187867,0.000509064326456699,0.00406107586412652,0.000319867328532397,0.128520472537455,pLoF,19014048928,19,14048928,
ATG9A,ENSG00000198925,0.000533642695316972,0.000573261837110817,0.00111756806814267,0.113709202534489,pLoF,2219214388,2,219214388,
UBXN6,ENSG00000167671,0.000562190522618744,0.180025480833851,0.000273332986813646,0.0352130717056135,pLoF,19004442187,19,4442187,
SLC22A18AS,ENSG00000254827,0.000596229252775797,,,,pLoF,11002883708,11,2883708,
DNPEP,ENSG00000123992,0.000637545245427695,0.000564187328094268,0.00256803353816515,0.034767521134509,pLoF,2219374230,2,219374230,
LRIG3,ENSG00000139263,0.000659915600694227,0.00619677675962005,0.000537290131983781,0.0438830756752824,pLoF,12058872455,12,58872455,
PCMTD2,ENSG00000203880,0.000666861076985992,0.00416994224524481,0.000571755643256733,0.0761025310197016,pLoF,20064259938,20,64259938,
MRPL39,ENSG00000154719,0.000680244391996321,0.00113766747875332,0.000915964816516346,0.0416886075764231,pLoF,21025585700,21,25585700,
SCYL3,ENSG00000000457,0.000686491019320723,0.0494208743692933,0.000452829826957712,0.0368059703058649,pLoF,1169849462,1,169849462,
NUBP2,ENSG00000095906,0.000703569669425863,0.0935187976412386,0.000489636017607764,0.0562647490417765,pLoF,16001777961,16,1777961,
FAM178B,ENSG00000168754,0.000708215510397792,0.000344177378494681,0.00557761451913019,0.0438131646952917,pLoF,2096876190,2,96876190,
RTN4RL1,ENSG00000185924,0.000722688250995751,0.0242191049219319,0.000557604480901031,0.12040227141618,pLoF,17001935471,17,1935471,
ARID5A,ENSG00000196843,0.000763714071845389,0.00221891557836496,0.00100362118236696,0.110920362050544,pLoF,2096536700,2,96536700,
BEGAIN,ENSG00000183092,0.00077731185182095,0.00427425155389582,0.000566029036346949,0.126828092895183,pLoF,14100537824,14,100537824,
L3MBTL2,ENSG00000100395,0.000821850454311046,0.00853316765974677,0.000641284387107866,0.0752202373329192,pLoF,22041205268,22,41205268,
ZNF732,ENSG00000186777,0.000832142717939632,0.000804846642967094,0.00139564682267057,0.165475614812649,pLoF,4000271043,4,271043,
NPHP3-ACAD11,ENSG00000274810,0.000839381314499787,0.00358862299295382,0.000724838923567339,0.104481973536878,pLoF,3132644839,3,132644839,
FGF2,ENSG00000138685,0.00085589368704353,0.00552716445792811,0.000673316627305409,0.0651682340554198,pLoF,4122826354,4,122826354,
ZNF436,ENSG00000125945,0.000943498885085159,0.00341426267375833,0.000804090945918046,0.105670658908634,pLoF,1023361878,1,23361878,
AUP1,ENSG00000115307,0.000975888820992865,0.00118803861938344,0.00321119163565253,0.0908488629512505,pLoF,2074522473,2,74522473,
USP24,ENSG00000162402,0.000977204095469864,0.00416304906171661,0.00127816560836846,0.0858500154556938,pLoF,1055061368,1,55061368,
FES,ENSG00000182511,0.00104137708862995,0.0616563019890666,0.000479866414811014,0.0462351060554381,pLoF,15090879508,15,90879508,
ANKRD22,ENSG00000152766,0.00106170829270125,0.411443416295823,0.000515850803658902,0.0224121587250473,pLoF,10088815015,10,88815015,
CACNA1D,ENSG00000157388,0.00114206513203263,0.00979035637233094,0.000815049998206807,0.0869979976493511,pLoF,3053495125,3,53495125,
MAP3K1,ENSG00000095015,0.00115137443391455,0.00322227582024737,0.00144340577757895,0.105416696358501,pLoF,5056815458,5,56815458,
NOSTRIN,ENSG00000163072,0.00115143375822968,0.26010089763295,0.000539681027593275,0.0199915357137519,pLoF,2168851086,2,168851086,
STARD3,ENSG00000131748,0.0011804422365872,0.0116663063547735,0.000842859007327723,0.0710709680017409,pLoF,17039633729,17,39633729,
VPS28,ENSG00000160948,0.00118947884238751,0.0951309906666479,0.000771246583147089,0.0760018151773635,pLoF,8144423697,8,144423697,
CCNP,ENSG00000105219,0.00119639595177445,0.0258086769594594,0.000902063540196507,0.0847659485147622,pLoF,19040217210,19,40217210,
HSD17B8,ENSG00000204228,0.00122672529637347,0.0014372258688965,0.00117504391796774,0.0257850991302666,pLoF,6033200128,6,33200128,
FADS3,ENSG00000221968,0.0012586379118924,0.00269062653203878,0.0012439686244583,0.137707626968088,pLoF,11061873768,11,61873768,
MPP2,ENSG00000108852,0.00128978756776876,0.103650556308888,0.000621622820128787,0.0547584931895332,pLoF,17043877766,17,43877766,
EGFLAM,ENSG00000164318,0.00131942558747622,0.0115630170456782,0.000996064528387963,0.0423056962171441,pLoF,5038258656,5,38258656,
