Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ACAN,ENSG00000157766,1.55982119935706e-52,2.22831599908152e-53,0.00000687130467103003,-0.0436200325091604,pLoF,15088836159,15,88836159,
NPR2,ENSG00000159899,2.47592030439003e-33,2.62777533526625e-31,1.08164228007859e-16,-0.033787192531293,pLoF,9035792317,9,35792317,
SCUBE3,ENSG00000146197,5.68791438197184e-22,1.5086668569087e-17,1.29918941605203e-10,-0.0260540113887069,pLoF,6035214362,6,35214362,
IRS1,ENSG00000169047,6.90750715869781e-22,1.09981269319611e-21,1.98079446243592e-12,-0.0212632247806977,pLoF,2226794943,2,226794943,
SHOX,ENSG00000185960,8.70151173528844e-21,1.70644769720924e-20,4.86783348353835e-13,-0.0438082841989278,pLoF,23000630802,X,630802,
LTBP2,ENSG00000119681,1.05782966679546e-19,3.06448359197025e-14,4.16680084441897e-12,0.0116289713835359,pLoF,14074493191,14,74493191,
SERPINH1,ENSG00000149257,2.28927295278617e-16,3.74599018671883e-17,4.49264196181375e-9,-0.0274606519585689,pLoF,11075566248,11,75566248,
PAPPA,ENSG00000182752,4.68929408806179e-16,2.37151814127434e-12,7.5454548606511e-10,-0.0210009748795345,pLoF,9116154025,9,116154025,
DTL,ENSG00000143476,3.67092555591595e-15,2.00544544973364e-13,4.53287388175312e-12,-0.0148180134039838,pLoF,1212035316,1,212035316,
PACC1,ENSG00000065600,5.55453411628452e-15,9.76028884297765e-13,7.93504873754932e-16,-0.00362661481372891,pLoF,1212360569,1,212360569,
IHH,ENSG00000163501,6.78152799663331e-15,2.33811295304574e-12,9.23373420614524e-11,-0.0555716360234302,pLoF,2219055118,2,219055118,
OPRPN,ENSG00000171199,1.52030202689399e-14,0.00000100717014217544,2.17186003841999e-15,-0.090825558275626,pLoF,4070399222,4,70399222,
PIEZO1,ENSG00000103335,1.64431410386145e-14,2.3490201483735e-15,0.153667589852698,-0.00550871953947388,pLoF,16088710342,16,88710342,
NF1,ENSG00000196712,3.09828635773558e-14,6.52193135023719e-14,0.0000309510318919903,-0.017025251298856,pLoF,17031095231,17,31095231,
COL27A1,ENSG00000196739,3.39277227921104e-14,3.29978789924068e-14,0.000546777213316529,-0.0160187433055769,pLoF,9114155832,9,114155832,
IGF2BP2,ENSG00000073792,3.33570512301421e-13,4.76529303287745e-14,0.0000556763284802475,-0.0361755722173151,pLoF,3185645499,3,185645499,
IGF1R,ENSG00000140443,3.35076090336342e-13,2.70207086766839e-13,0.0000257742149285534,-0.0220369331366649,pLoF,15098649579,15,98649579,
GRAMD2A,ENSG00000175318,5.30076016105618e-13,1.15035722599844e-12,7.57251451579454e-14,0.00415386615802897,pLoF,15072161929,15,72161929,
NRK,ENSG00000123572,2.01913022221552e-12,1.65045145620279e-12,0.00000862285406377783,0.011235734341606,pLoF,23105822797,X,105822797,
CLEC11A,ENSG00000105472,7.8108829299168e-12,6.90826195332918e-12,1.16318547017833e-11,-0.00261484426052919,pLoF,19050723442,19,50723442,
CNPY2,ENSG00000257727,9.77607841827053e-12,5.06975536563924e-10,1.47908317174991e-11,-0.0136798066536762,pLoF,12056310487,12,56310487,
AC073896.1,ENSG00000144785,1.26179907633617e-11,8.54991248542758e-10,1.50941868172396e-11,-0.0134509799977316,pLoF,12056282364,12,56282364,
ADAMTSL4,ENSG00000143382,1.41332848684366e-11,2.01904069549094e-12,7.95802462209093e-10,-0.00405923956765684,pLoF,1150552206,1,150552206,
TET1,ENSG00000138336,3.763662903551e-11,2.38737019750804e-10,0.000017025592476072,0.0233133327011518,pLoF,10068572265,10,68572265,
GHRH,ENSG00000118702,5.71904084424346e-11,8.17005834891923e-12,4.68741128134553e-8,-0.0179104483770731,pLoF,20037251176,20,37251176,
FLNB,ENSG00000136068,2.02788311002555e-10,1.01632301646418e-10,0.0000633737350119734,-0.0086909229356572,pLoF,3058008460,3,58008460,
SCMH1,ENSG00000010803,2.10126249733378e-10,4.23621901766026e-11,0.000942397012044793,0.0223826469875635,pLoF,1041028094,1,41028094,
CRISPLD2,ENSG00000103196,2.15194084773884e-10,8.99919054647941e-11,6.7071373099914e-7,-0.00962295571260398,pLoF,16084838390,16,84838390,
ZFAT,ENSG00000066827,2.15568896066998e-10,1.08970792053831e-10,0.00537044582490842,0.0120139345358088,pLoF,8134478341,8,134478341,
ZBTB45,ENSG00000119574,2.17432183369226e-10,1.18053582518215e-10,0.000103580447690765,-0.0089766823028936,pLoF,19058509771,19,58509771,
PDE3B,ENSG00000152270,2.32092123297889e-10,2.71309341356099e-10,2.12694255985468e-7,0.00514571567966104,pLoF,11014643928,11,14643928,
HECTD1,ENSG00000092148,2.7148178025174e-10,1.74040655935912e-10,0.000138069434557408,-0.0201973225950853,pLoF,14031100846,14,31100846,
FBLN5,ENSG00000140092,3.81162990059636e-10,6.9520158441194e-10,0.00000550962961731738,-0.0274001162665136,pLoF,14091870151,14,91870151,
DDR2,ENSG00000162733,7.33878180447789e-10,4.81574901825722e-10,0.000026000558875916,-0.0258720829919733,pLoF,1162718970,1,162718970,
PLAG1,ENSG00000181690,8.04337596527205e-10,4.73685942709797e-9,3.90953535100991e-8,-0.0486702162714579,pLoF,8056166196,8,56166196,
GHSR,ENSG00000121853,9.57504409093701e-10,2.12544538125763e-9,9.36717547972421e-8,-0.0108861095045701,pLoF,3172445071,3,172445071,
HMG20B,ENSG00000064961,1.1870903149358e-9,1.14524749683653e-8,0.00000143784846784456,0.0230051166430166,pLoF,19003573225,19,3573225,
CCDC66,ENSG00000180376,1.36629862979021e-9,0.00000315089733304852,1.33542195126782e-9,0.00124464346922129,pLoF,3056557122,3,56557122,
LOXL2,ENSG00000134013,3.24390503347871e-9,3.74152715476583e-8,9.80523728877358e-9,0.00698154460266919,pLoF,8023293244,8,23293244,
ASPN,ENSG00000106819,3.25244198240426e-9,3.74253508184097e-8,8.52685323460278e-8,-0.00445893639749893,pLoF,9092456873,9,92456873,
INPPL1,ENSG00000165458,3.9484824299052e-9,3.03036621351893e-8,0.00597255970620059,0.00771830946986282,pLoF,11072220757,11,72220757,
ANKRD11,ENSG00000167522,4.28646546726985e-9,1.4891716082488e-8,0.00000908019118250891,-0.0320908162642535,pLoF,16089268502,16,89268502,
NIM1K,ENSG00000177453,6.44954056827629e-9,7.3939868450168e-8,3.68648819248918e-8,-0.00496798547455473,pLoF,5043232411,5,43232411,
PAPPA2,ENSG00000116183,7.44476014169493e-9,1.63200238180931e-9,0.000303989784404157,-0.00985710016944174,pLoF,1176556229,1,176556229,
UGGT2,ENSG00000102595,1.35714127713626e-8,1.49619157063796e-8,0.00000347177832382695,0.00272324916374185,pLoF,13095801705,13,95801705,
PTCH1,ENSG00000185920,1.36351291368797e-8,0.000432840177301053,3.59640968117247e-8,-0.00859941273089277,pLoF,9095446803,9,95446803,
ANGPTL2,ENSG00000136859,2.82007929230943e-8,3.6932738441916e-8,0.0000446340689234104,-0.015790297811226,pLoF,9127088845,9,127088845,
DAP,ENSG00000112977,2.87683831201591e-8,2.9174838211965e-8,4.16841375860955e-8,0.00350288912977415,pLoF,5010680656,5,10680656,
APOC3,ENSG00000110245,2.94889334062631e-8,3.63279789968471e-8,8.22378891096598e-7,-0.00342982477406182,pLoF,11116830486,11,116830486,
TRIM40,ENSG00000204614,6.52486245034112e-8,8.92249412132173e-8,3.44502290916537e-7,-0.00226320524565399,pLoF,6030136958,6,30136958,
EBP,ENSG00000147155,7.07320262360867e-8,5.23404429353391e-7,3.68139944084689e-8,-0.0935603028607255,pLoF,23048517157,X,48517157,
CHAD,ENSG00000136457,8.81524737516253e-8,2.93841579172084e-8,0.000461468237044405,0.018666148664627,pLoF,17050460598,17,50460598,
APOB,ENSG00000084674,1.11353374299128e-7,3.16587203651337e-8,0.0550075416867597,-0.00469737526091915,pLoF,2021001656,2,21001656,
