Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
RAPGEF6,ENSG00000158987,0.00000264772018732096,0.0000180824803113211,0.00000390439740916015,0.135847723636008,pLoF,5131427201,5,131427201,
AC008695.1,ENSG00000273217,0.00000280416712261644,0.0000195198485486436,0.00000398200093021384,0.134987071770399,pLoF,5131427201,5,131427201,
C2,ENSG00000166278,0.0000773714103655676,0.0000710921409285969,0.000148810659958976,0.0380509343294377,pLoF,6031927426,6,31927426,
LMOD3,ENSG00000163380,0.000109254976147666,0.00499065843660329,0.0000649508430420331,0.124769951365764,pLoF,3069101789,3,69101789,
QRSL1,ENSG00000130348,0.000119808942836919,0.000407645698171422,0.00021419980097892,0.101173032511512,pLoF,6106628679,6,106628679,
DNMT1,ENSG00000130816,0.000180493449786212,0.0000981532376829186,0.000443482800283057,0.307444363930367,pLoF,19010133569,19,10133569,
ATP13A1,ENSG00000105726,0.000221737194735838,0.00133625705766149,0.000197894019698053,0.121182344768466,pLoF,19019640198,19,19640198,
CALHM5,ENSG00000178033,0.000247403672334223,0.00413627726213039,0.000218958635938904,0.127414286086803,pLoF,6116511624,6,116511624,
CHD5,ENSG00000116254,0.000266410016015572,0.00250869602583803,0.000229110477306116,0.139340041513013,pLoF,1006096770,1,6096770,
GAPDH,ENSG00000111640,0.00030279508408626,0.000303137524361952,0.00045177045032041,0.144901491588684,pLoF,12006529537,12,6529537,
PIPOX,ENSG00000179761,0.00032994223809335,0.000636274144256266,0.000519262080561189,0.0950864660070624,pLoF,17029043183,17,29043183,
CFAP73,ENSG00000186710,0.000331302880230755,0.000264712344089424,0.00216370397768739,0.0953071912369642,pLoF,12113149862,12,113149862,
NFIC,ENSG00000141905,0.00033604565159906,0.00116459634002442,0.000316735165686644,0.112501056435408,pLoF,19003366597,19,3366597,
MCRS1,ENSG00000187778,0.000341313836431656,0.000429606461658794,0.000541076061698287,0.178275845388655,pLoF,12049554283,12,49554283,
P3H2,ENSG00000090530,0.000415799149767637,0.000934365766003586,0.000854732348025689,0.0754238009557978,pLoF,3189957892,3,189957892,
FAR1,ENSG00000197601,0.000499436746461468,0.000420482399097311,0.00106434098344566,0.178764002429782,pLoF,11013694696,11,13694696,
KCNU1,ENSG00000215262,0.000524063411035725,0.000423769978612931,0.00806718861731082,0.0495692970282886,pLoF,8036784362,8,36784362,
ZDHHC18,ENSG00000204160,0.000528915266212127,0.000469121205850409,0.00108843734768715,0.134646243043455,pLoF,1026826737,1,26826737,
ADGRA2,ENSG00000020181,0.00053856514573325,0.00246289941654543,0.000454065666565473,0.11129499246172,pLoF,8037797174,8,37797174,
TLL2,ENSG00000095587,0.000541447996324051,0.185558218411185,0.000283455571564506,0.0259365482143638,pLoF,10096367973,10,96367973,
TMEM40,ENSG00000088726,0.000564648328405415,0.0253716318762088,0.000383051097962883,0.11901498819317,pLoF,3012734673,3,12734673,
CPNE9,ENSG00000144550,0.000607466853505767,0.0220087681047095,0.000336787289385909,0.0909334844571969,pLoF,3009701698,3,9701698,
ERGIC3,ENSG00000125991,0.000629883492534344,0.00102660587310388,0.00075689638876697,0.158774487280786,pLoF,20035542001,20,35542001,
FAM71E2,ENSG00000180043,0.000636737723302527,0.00537414795526203,0.000560567674069867,0.0976674318843059,pLoF,19055353643,19,55353643,
RAG1,ENSG00000166349,0.000670095675846416,0.00119069747423151,0.00130848855759635,0.103475977546827,pLoF,11036573225,11,36573225,
PDXP,ENSG00000241360,0.000680881950472112,0.00114220738012993,0.000749505713852017,0.156440427041416,pLoF,22037653743,22,37653743,
INTS4,ENSG00000149262,0.000694690763444639,0.0018450508656801,0.000883183497249362,0.0747944073975932,pLoF,11077878901,11,77878901,
NACA2,ENSG00000253506,0.000713085314551942,0.00360336475284473,0.000656117712238169,0.130642148643238,pLoF,17061590471,17,61590471,
CA5A,ENSG00000174990,0.000841602919037454,0.0011307248642769,0.00113357518796775,0.156640744110528,pLoF,16087887994,16,87887994,
FZD7,ENSG00000155760,0.00086336108554641,0.00636641180253228,0.000553194770398946,0.165975032277918,pLoF,2202034574,2,202034574,
SURF6,ENSG00000148296,0.00097049204205657,0.00830849397470634,0.000693626292889493,0.0912115006717854,pLoF,9133331736,9,133331736,
P2RY14,ENSG00000174944,0.000973536128735186,0.00141687058637274,0.000922904045708939,0.15202661174704,pLoF,3151213253,3,151213253,
DMAP1,ENSG00000178028,0.000974827981599202,0.00346396982478459,0.000769038634399366,0.105876109595463,pLoF,1044213679,1,44213679,
RFPL1,ENSG00000128250,0.000992600491105278,0.00687048510354415,0.000865016831325671,0.162424434809996,pLoF,22029438585,22,29438585,
LTF,ENSG00000012223,0.000999483708143734,0.0485026168722196,0.000489542801073495,0.051054283981496,pLoF,3046436118,3,46436118,
SLC13A2,ENSG00000007216,0.00100108542901511,0.00467242968318249,0.000813165873608024,0.0857751891138779,pLoF,17028468293,17,28468293,
NCOA3,ENSG00000124151,0.00102999751608468,0.00228967396377555,0.000903018509097242,0.0584264441430931,pLoF,20047622227,20,47622227,
ZNF846,ENSG00000196605,0.00108024294570963,0.00965388661433242,0.000875471190616373,0.149556612748517,pLoF,19009757476,19,9757476,
SCARF1,ENSG00000074660,0.00108089061150285,0.00612169109366667,0.000867634958541252,0.0800097724647427,pLoF,17001634627,17,1634627,
LEO1,ENSG00000166477,0.00114304766495876,0.00413114758298172,0.00073283164767779,0.179753921028731,pLoF,15051938154,15,51938154,
TRIM55,ENSG00000147573,0.00116083452648641,0.00301762741459466,0.00144509805263404,0.107687537060777,pLoF,8066127183,8,66127183,
FAM221B,ENSG00000204930,0.00117317937796702,0.0435712905850337,0.000566746084160186,0.0744656614916009,pLoF,9035811402,9,35811402,
CDKL2,ENSG00000138769,0.0012008829614315,0.00344207259775287,0.00151826021625534,0.105952236497042,pLoF,4075581800,4,75581800,
PRKAR2B,ENSG00000005249,0.00123121593129616,0.00138255473700322,0.00115120480947173,0.215869836587795,pLoF,7107044818,7,107044818,
YAP1,ENSG00000137693,0.00128355951392845,0.00250168316684096,0.00104602607983328,0.137234328233106,pLoF,11102110737,11,102110737,
ZNF266,ENSG00000174652,0.00139106361920627,0.00275667505796706,0.00101682230008437,0.192902437596424,pLoF,19009413166,19,9413166,
SLC35C1,ENSG00000181830,0.00143847757119853,0.00171946280848401,0.00130659701014557,0.208499323849306,pLoF,11045804407,11,45804407,
CEP57L1,ENSG00000183137,0.00145041017510916,0.0613974241030344,0.000977891907170347,0.0894907561683286,pLoF,6109093712,6,109093712,
MLF1,ENSG00000178053,0.00149054125779624,0.00341904292570339,0.00178067617241962,0.106030275368923,pLoF,3158592364,3,158592364,
ZNF622,ENSG00000173545,0.00150999205747948,0.00306899605272648,0.00145932934813575,0.135163720259782,pLoF,5016451537,5,16451537,
DIP2B,ENSG00000066084,0.0015132053660396,0.0124335219630963,0.00102765517749903,0.103180253756611,pLoF,12050505057,12,50505057,
ANO3,ENSG00000134343,0.00152189209967124,0.125180774225691,0.000911888297012498,0.0667896262783178,pLoF,11026332037,11,26332037,
SLC25A41,ENSG00000181240,0.00152664026850813,0.144692155864136,0.000859651117286475,0.062344527103754,pLoF,19006421204,19,6421204,
SPRED2,ENSG00000198369,0.00153651881291994,0.057933437567946,0.000735347469135839,0.0919057723057611,pLoF,2065308219,2,65308219,
DNAJB2,ENSG00000135924,0.00155696620729051,0.00937214973376777,0.000968493412664362,0.153138727435503,pLoF,2219279742,2,219279742,
PGLYRP3,ENSG00000159527,0.00157958959046578,0.00160173633186811,0.00280907539928332,0.118225784280951,pLoF,1153297863,1,153297863,
RAB21,ENSG00000080371,0.00158923510135522,0.00197333620601636,0.00189840620861859,0.144609850100192,pLoF,12071755004,12,71755004,
DPH7,ENSG00000148399,0.00164038735287297,0.00307303590308716,0.00201595953228018,0.0909237186242801,pLoF,9137550073,9,137550073,
RHBDF2,ENSG00000129667,0.0016542156377316,0.00334851378724388,0.00161184585195517,0.128814825356333,pLoF,17076466106,17,76466106,
SYT10,ENSG00000110975,0.00173374244942115,0.0421643957658002,0.000939477824980051,0.0758158752465765,pLoF,12033376744,12,33376744,
GEMIN5,ENSG00000082516,0.00175494220901551,0.0216207366670513,0.00120236748497382,0.0624722728124287,pLoF,5154888147,5,154888147,
KIF3B,ENSG00000101350,0.00181065754035492,0.00719656509779998,0.00112802180356608,0.161408451465782,pLoF,20032309674,20,32309674,
OXLD1,ENSG00000204237,0.00181151014048342,0.00103430025835216,0.00366271445942823,0.22454853982793,pLoF,17081665092,17,81665092,
IARS2,ENSG00000067704,0.00185225330526828,0.198472710639352,0.00090546853802409,0.051769008985603,pLoF,1220094125,1,220094125,
FBXO33,ENSG00000165355,0.0019011662871119,0.00230182885203434,0.00170196636180675,0.134480699485592,pLoF,14039399444,14,39399444,
H3C8,ENSG00000273983,0.00194158704397429,0.0251003404589116,0.00155242422145851,0.070673705021227,pLoF,6026270901,6,26270901,
TNFRSF14,ENSG00000157873,0.00197540721051914,0.00174686644075694,0.00209171739549874,0.207938408385749,pLoF,1002556592,1,2556592,
SLC25A25,ENSG00000148339,0.00198869430925042,0.0358635926053393,0.00142142005104107,0.107526808395525,pLoF,9128063358,9,128063358,
MCAM,ENSG00000076706,0.00199342431634564,0.00918110798323257,0.00150041464603234,0.110604097979888,pLoF,11119309804,11,119309804,
TEX2,ENSG00000136478,0.00200225798231246,0.0224158090140675,0.00112113588537155,0.124608612829447,pLoF,17064148856,17,64148856,
CRLF3,ENSG00000176390,0.00201413390194116,0.0138104786525963,0.00132727303795277,0.10196138191417,pLoF,17030784119,17,30784119,
DCAF4L2,ENSG00000176566,0.00205098137377802,0.00415746946310591,0.00193464366114626,0.044819459131019,pLoF,8087872688,8,87872688,
STX16,ENSG00000124222,0.00205873453612626,0.0179123801349428,0.00108014234658804,0.132352234433251,pLoF,20058651915,20,58651915,
SMTN,ENSG00000183963,0.00212055736442895,0.23014626689776,0.00112863754278458,0.0474063039921986,pLoF,22031082862,22,31082862,
HSPA4L,ENSG00000164070,0.0021210173559848,0.00925064395149233,0.00164547783919078,0.109251345800365,pLoF,4127782500,4,127782500,
