Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ELOF1,ENSG00000130165,0.0000121870285528791,0.000116150884603372,0.0000119294461882191,0.134376165948513,missense|LC,19011549234,19,11549234,
SAPCD1,ENSG00000228727,0.0000232981596832715,0.0724239421498738,0.0000118470202057352,0.0095290733320398,missense|LC,6031758060,6,31758060,
THUMPD1,ENSG00000066654,0.0000236485973301725,0.000568102721788755,0.0000264312106861286,0.0393363192812064,missense|LC,16020729303,16,20729303,
TCF7L2,ENSG00000148737,0.0000278168959478853,0.00594022123377436,0.0000124464161079807,0.0644104383875152,missense|LC,10112950647,10,112950647,
RIPOR2,ENSG00000111913,0.0000749526549501667,0.0116630913430894,0.0000514813771450573,0.00757629701607858,missense|LC,6024806343,6,24806343,
TMEM239,ENSG00000198326,0.000076475272602905,0.0000354787836067683,0.033080443688694,0.0622164820320892,missense|LC,20002815076,20,2815076,
AC008758.1,ENSG00000196826,0.000119946301084362,0.000971706331934885,0.000119350571720744,0.0290844724254701,missense|LC,19012463914,19,12463914,
ZNF709,ENSG00000242852,0.000119993083043557,0.000984942383805532,0.000118982903268838,0.0290474377255105,missense|LC,19012463914,19,12463914,
MDC1,ENSG00000137337,0.000132369257198173,0.00377343741896352,0.0000775373453911765,0.00632202029606148,missense|LC,6030700377,6,30700377,
MRPL4,ENSG00000105364,0.000152964418485446,0.000373531152727091,0.000108494781135948,0.0262809302918318,missense|LC,19010252134,19,10252134,
CMC1,ENSG00000187118,0.000224602680352626,0.12177356681781,0.0000984114403781433,0.050834264344466,missense|LC,3028241291,3,28241291,
SMARCD2,ENSG00000108604,0.000230071096137263,0.0197469911775536,0.000127352462157004,0.0335704278650272,missense|LC,17063827368,17,63827368,
TASP1,ENSG00000089123,0.00026100924429695,0.0110588620864291,0.000191935419789457,0.0482453477867195,missense|LC,20013390304,20,13390304,
TOM1L2,ENSG00000175662,0.000262679938509147,0.0158181436325773,0.000147829581734871,0.0212653097749921,missense|LC,17017847519,17,17847519,
MAB21L3,ENSG00000173212,0.000263155190752262,0.0132511363833707,0.000163360372014365,0.0337584839112744,missense|LC,1116112551,1,116112551,
DDR1,ENSG00000204580,0.000267471428089472,0.167738544829526,0.000146479159489066,0.00722088262175765,missense|LC,6030888731,6,30888731,
CDSN,ENSG00000204539,0.000278809601888086,0.820213394472907,0.000145215999366566,-0.0011133742232971,missense|LC,6031111304,6,31111304,
FUT2,ENSG00000176920,0.000347276704749655,0.000218379166346594,0.0164018660263096,0.024974942420289,missense|LC,19048702888,19,48702888,
IL2,ENSG00000109471,0.000368072404359099,0.00445167437883653,0.000250024082109279,0.101238482094059,missense|LC,4122451760,4,122451760,
PLEKHA2,ENSG00000169499,0.000375056122142059,0.000648475938312076,0.00204418917391203,0.0452686082851469,missense|LC,8038917802,8,38917802,
LRCH3,ENSG00000186001,0.000379386647209157,0.000646972875482987,0.000997316256982961,0.0229504829048281,missense|LC,3197791149,3,197791149,
JRK,ENSG00000234616,0.000397797385206733,0.023590898963224,0.000322113496140308,0.0158486647126714,missense|LC,8142658687,8,142658687,
POU5F1,ENSG00000204531,0.000397932698249059,0.0332393293465639,0.000190269409853228,0.0377926470147433,missense|LC,6031159388,6,31159388,
ZNF703,ENSG00000183779,0.000409232014248251,0.45235266067969,0.000185551578975929,0.00690479821192187,missense|LC,8037695887,8,37695887,
BRI3,ENSG00000164713,0.000427886823480939,0.0981296524169248,0.000233961759885437,0.0455574770363008,missense|LC,7098281722,7,98281722,
HEATR5B,ENSG00000008869,0.000449422412811096,0.00125382647986161,0.000688631354288427,0.0583477349049009,missense|LC,2036981440,2,36981440,
UBE2Q2,ENSG00000140367,0.000470151298509802,0.197654424533251,0.000207435621184748,0.0130666697821091,missense|LC,15075843586,15,75843586,
OR10G2,ENSG00000255582,0.000479428497116685,0.00932517422562562,0.000315989943130979,0.02715724911099,missense|LC,14021633877,14,21633877,
CHD5,ENSG00000116254,0.000492768403272281,0.0168126435424625,0.000302401646950723,0.0133938526339762,missense|LC,1006096770,1,6096770,
PPP1R18,ENSG00000146112,0.000499295684162071,0.040748768926218,0.000229840781029389,0.00936289529972191,missense|LC,6030672569,6,30672569,
GUCA1B,ENSG00000112599,0.000552045181606009,0.00571590262183852,0.000416031954436624,0.0479504409402578,missense|LC,6042178284,6,42178284,
H2AC16,ENSG00000276903,0.000555791461202548,0.0684884654961635,0.000259389770296492,0.039895792291498,missense|LC,6027865244,6,27865244,
TMEM212,ENSG00000186329,0.000557903395146608,0.00286410770913337,0.000523641353650461,0.0602734172978895,missense|LC,3171843306,3,171843306,
C6orf15,ENSG00000204542,0.000569244645663103,0.480549078436469,0.000301102036431189,0.00457607746417302,missense|LC,6031111304,6,31111304,
DEFB121,ENSG00000204548,0.000575848860578598,0.299172699524297,0.000329242152575793,0.0300424143637113,missense|LC,20031404822,20,31404822,
TFF3,ENSG00000160180,0.000625107277763326,0.000586036966323422,0.00392628786482119,0.0327379740594466,missense|LC,21042312146,21,42312146,
CD68,ENSG00000129226,0.000633269121844471,0.0176365353563581,0.000282795748251519,0.0231175792335809,missense|LC,17007574647,17,7574647,
MDM1,ENSG00000111554,0.000682397070549179,0.00444379721466359,0.000498883701906983,0.0203966766559756,missense|LC,12068295221,12,68295221,
DET1,ENSG00000140543,0.000689702523672175,0.000440641394913732,0.0140487541624994,0.0381511377877404,missense|LC,15088512485,15,88512485,
NFYB,ENSG00000120837,0.00076645970549083,0.0445421528387051,0.000399381525497233,0.0748414689474915,missense|LC,12104119692,12,104119692,
