Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
REXO5,ENSG00000005189,0.000022069036048622,0.0000188905749560764,0.000720160718054697,0.0507758869682219,synonymous,16020802673,16,20802673,
ARNTL,ENSG00000133794,0.0000279456078834395,0.000411586709170741,0.000043113800919814,0.0700985050155685,synonymous,11013354218,11,13354218,
SLCO1C1,ENSG00000139155,0.0000284345773297057,0.00214545684772727,0.0000244511722919949,0.0620447035547517,synonymous,12020699483,12,20699483,
FGF2,ENSG00000138685,0.0000602844525909862,0.0000448170103450884,0.000602891488656221,0.0323157824003895,synonymous,4122826354,4,122826354,
CFL1,ENSG00000172757,0.0000673093101574151,0.000366099735700898,0.000130619064784843,0.0709874755334436,synonymous,11065849857,11,65849857,
SYNPO2L,ENSG00000166317,0.0000735683063158854,0.000064744938814143,0.000466699288555139,0.0657914694163297,synonymous,10073639888,10,73639888,
ZNF141,ENSG00000131127,0.0000905455263032762,0.00042458646236232,0.0000847476622429788,0.0334013492195448,synonymous,4000337874,4,337874,
WASF1,ENSG00000112290,0.0000965741093572614,0.00159107997313357,0.0000915210042307102,0.0652508578930451,synonymous,6110100426,6,110100426,
MAP3K20,ENSG00000091436,0.000104094121541776,0.0000947854153918737,0.000951593049284494,0.031307910860247,synonymous,2173075651,2,173075651,
TNFSF18,ENSG00000120337,0.000145303978936751,0.000133683059769796,0.00068280323938863,0.114483823141182,synonymous,1173041309,1,173041309,
NCAPH,ENSG00000121152,0.000161357731236045,0.00108962998458284,0.000333683075339652,0.0453087163745415,synonymous,2096335712,2,96335712,
RAB20,ENSG00000139832,0.000181577585678383,0.00023814441177894,0.000921053851360099,0.0959919598598213,synonymous,13110523498,13,110523498,
SPIN3,ENSG00000204271,0.000188282196880829,0.000997615674499963,0.00015193471423991,0.0664554940540994,synonymous,23056994098,X,56994098,
CHCHD5,ENSG00000125611,0.000202783052633548,0.0183631958872741,0.0000925524093065011,0.0646264548876627,synonymous,2112584550,2,112584550,
TIPRL,ENSG00000143155,0.000206659733289039,0.000668212886581476,0.000215020962766266,0.111058759707505,synonymous,1168179004,1,168179004,
C11orf97,ENSG00000257057,0.000209053221857491,0.00334605753962225,0.000134156305080735,0.106339547727584,synonymous,11094512402,11,94512402,
ASMT,ENSG00000196433,0.000229541887102558,0.00950638668995651,0.000150308495456164,0.0386460112686781,synonymous,23001615125,X,1615125,
TRIM31,ENSG00000204616,0.000255465183666925,0.018575789118023,0.000189842107768179,0.017428283936516,synonymous,6030103404,6,30103404,
RSPO1,ENSG00000169218,0.000262157776124483,0.0644638669576798,0.00014408784043396,0.0336260936698391,synonymous,1037612669,1,37612669,
BRD8,ENSG00000112983,0.000334770504158644,0.010604228701282,0.00028536910950816,0.0188570391607635,synonymous,5138138585,5,138138585,
IRGC,ENSG00000124449,0.000338300212513576,0.000222949229498504,0.0662636075195253,0.0344950880815066,synonymous,19043718370,19,43718370,
TRAK2,ENSG00000115993,0.000349039114368788,0.0487666790992671,0.000179783938587197,0.0250517917166731,synonymous,2201380458,2,201380458,
ZNF479,ENSG00000185177,0.000349125628869684,0.000270695413583821,0.00269315674321946,0.060989446912958,synonymous,7057119780,7,57119780,
MANEAL,ENSG00000185090,0.000376191510703783,0.067741499257965,0.000159972081689497,0.0267906864111368,synonymous,1037794092,1,37794092,
PKD1L2,ENSG00000166473,0.000386254619003101,0.00455242079252072,0.000274350787864863,0.026060620605062,synonymous,16081170358,16,81170358,
KCNJ15,ENSG00000157551,0.000480387425666251,0.0003214554248121,0.00131179475251098,-0.0253774332993936,synonymous,21038299202,21,38299202,
SUMO2,ENSG00000188612,0.000497903547979739,0.00451866683060032,0.000446213014579699,0.125219801924327,synonymous,17075168290,17,75168290,
SMTN,ENSG00000183963,0.000533707055275556,0.00255962924341069,0.000387583091028154,0.0204882847963455,synonymous,22031082862,22,31082862,
NIPAL4,ENSG00000172548,0.000572709598434473,0.000549005810646097,0.00275744255834121,0.0398300665480661,synonymous,5157460089,5,157460089,
REEP4,ENSG00000168476,0.0005832484045033,0.000523779930811763,0.00202555271487637,0.0327821041595393,synonymous,8022138393,8,22138393,
PDGFB,ENSG00000100311,0.000619550557281023,0.0038407314712624,0.000763834852823608,0.0690988832496827,synonymous,22039225613,22,39225613,
AC008982.1,ENSG00000268083,0.000632551736114761,0.00037107103946532,0.00244141321711355,0.0360404409430709,synonymous,19038812480,19,38812480,
SLC19A2,ENSG00000117479,0.000660528810608629,0.0128107735853308,0.000497479356945552,0.0315788118225428,synonymous,1169465768,1,169465768,
FPR3,ENSG00000187474,0.000665296173450347,0.0727363243515085,0.00029183949431455,0.0527339368142358,synonymous,19051823691,19,51823691,
TNPO3,ENSG00000064419,0.000680325245652202,0.0177917079780281,0.000531880766566184,0.0263916067030057,synonymous,7128957165,7,128957165,
POM121L2,ENSG00000158553,0.000684572631651115,0.000487962208203574,0.00521832566161651,0.0212490894660751,synonymous,6027309005,6,27309005,
RWDD3,ENSG00000122481,0.000703503733981314,0.00304543469897545,0.000900922775912694,0.0911156915710102,synonymous,1095230844,1,95230844,
PBX2,ENSG00000204304,0.000828250509741335,0.00159004915547767,0.00107031070867558,0.0486332069461168,synonymous,6032179734,6,32179734,
NCS1,ENSG00000107130,0.000833073293866726,0.000787120150112841,0.00303543000012829,0.0614329703402177,synonymous,9130172606,9,130172606,
DDX56,ENSG00000136271,0.000841134277883238,0.000527798488247355,0.0213812616051134,0.0281033820138586,synonymous,7044565970,7,44565970,
RPL23A,ENSG00000198242,0.000886151762139575,0.00100563533003251,0.00168759447158673,0.0922147972352592,synonymous,17028714989,17,28714989,
FAM133A,ENSG00000179083,0.000890405761263646,0.0020239463593954,0.000780586016562612,0.0873198654456778,synonymous,23093671655,X,93671655,
RND2,ENSG00000108830,0.001011026460641,0.052658513108883,0.000728712225769979,0.0696077542254451,synonymous,17043020232,17,43020232,
ZKSCAN3,ENSG00000189298,0.0010182716687982,0.0440392409408502,0.000487188814678352,0.0307112153072108,synonymous,6028359473,6,28359473,
OR2K2,ENSG00000171133,0.00102500728723576,0.0177934834162469,0.000599085438672597,0.0463335174515926,synonymous,9111327489,9,111327489,
