Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ZFAT,ENSG00000066827,5.0704176635744e-68,1.3048222325986e-51,4.16992169319371e-51,0.00303412555936734,missense|LC,8134478341,8,134478341,
SCMH1,ENSG00000010803,1.34322461492413e-46,0.375699440225047,1.91889230703448e-47,0.00022088606988332,missense|LC,1041028094,1,41028094,
NPR3,ENSG00000113389,1.5745517770882e-39,1.43689959151355e-39,1.23015753489251e-25,0.00406984572157144,missense|LC,5032710545,5,32710545,
STC2,ENSG00000113739,2.08993644901825e-39,3.13518318300142e-15,5.07205677127788e-40,0.00344361593226066,missense|LC,5173317717,5,173317717,
NPR2,ENSG00000159899,7.2836701847458e-32,3.79673766035549e-15,7.73532057511064e-26,-0.00325533220334974,missense|LC,9035792317,9,35792317,
FBN2,ENSG00000138829,4.87048010511599e-30,0.0000406446379376257,6.95782872159428e-31,0.000593179692698137,missense|LC,5128259368,5,128259368,
PIEZO1,ENSG00000103335,8.56352057385924e-28,4.52015021216805e-15,1.21478353135314e-22,-0.000664782691267248,missense|LC,16088710342,16,88710342,
ADAMTS6,ENSG00000049192,3.95888190909518e-25,1.71754848233674e-19,1.27490739324699e-19,-0.00232914410897301,missense|LC,5065151775,5,65151775,
SMIM29,ENSG00000186577,2.80813331698587e-23,2.37408574735577e-12,1.18201982006498e-23,0.00320090413304627,missense|LC,6034242672,6,34242672,
FGFR3,ENSG00000068078,4.52272898227407e-23,1.01087500818583e-23,5.44170647071852e-13,-0.00253580679324343,missense|LC,4001793905,4,1793905,
GRAMD2A,ENSG00000175318,5.99816197350612e-21,2.66583883840903e-19,3.00704639423562e-20,0.00294675705138687,missense|LC,15072161929,15,72161929,
CRISPLD2,ENSG00000103196,1.15968237574785e-19,5.46127972119842e-16,1.0984139765768e-17,-0.0017015652057194,missense|LC,16084838390,16,84838390,
NPAS4,ENSG00000174576,3.21739038711534e-19,5.47936973571694e-9,5.25246107947036e-20,-0.00143249894114449,missense|LC,11066421113,11,66421113,
