Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
LMF1,ENSG00000103227,0.0000696577058139081,0.100034791043675,0.0000471613745660626,0.0461767564095569,pLoF,16000854454,16,854454,
TDRD6,ENSG00000180113,0.0000726650174361909,0.0000449940145256233,0.00297635040611333,0.0527681665889225,pLoF,6046687977,6,46687977,
GPR137B,ENSG00000077585,0.000151687834814229,0.000135984862375316,0.00192462137768745,0.0623973947576763,pLoF,1236142578,1,236142578,
THAP5,ENSG00000177683,0.000153054085546445,0.00506595498732298,0.000111021110828169,0.0726176171165357,pLoF,7108564141,7,108564141,
TBC1D21,ENSG00000167139,0.000164681987005921,0.000177572408750493,0.000207233479556757,0.124971463575979,pLoF,15073873621,15,73873621,
HLA-DRB1,ENSG00000196126,0.000180521271701983,0.000175758749274557,0.000189590346960977,-0.0374692773291353,pLoF,6032580682,6,32580682,
CCDC142,ENSG00000135637,0.000198116175141205,0.000106951881052919,0.00550301074661086,0.0863512180636607,pLoF,2074472000,2,74472000,
TBXA2R,ENSG00000006638,0.000384638273564497,0.000238608873483592,0.00131542541194585,0.125980549735016,pLoF,19003589780,19,3589780,
OR2D3,ENSG00000178358,0.000395638506398011,0.000537849504440135,0.000380015165408754,0.174691202054188,pLoF,11006920946,11,6920946,
ART4,ENSG00000111339,0.000425825306058503,0.00465222833885304,0.000386104056745662,0.126136978459215,pLoF,12014822844,12,14822844,
CEACAM3,ENSG00000170956,0.000467062513387018,0.000626513270910012,0.000807712622685641,0.134991403111287,pLoF,19041796583,19,41796583,
YTHDF1,ENSG00000149658,0.000473636553137813,0.000270399176322544,0.00492104926305414,0.12118424752809,pLoF,20063196606,20,63196606,
MEI1,ENSG00000167077,0.000477195594862256,0.00145152425061335,0.000621637153861876,0.0723831360780804,pLoF,22041699418,22,41699418,
DXO,ENSG00000204348,0.000557885410157,0.0160111108429124,0.000438223188641285,0.0782861694344015,pLoF,6031965756,6,31965756,
FAM126A,ENSG00000122591,0.000866854051646548,0.000758683343176636,0.00190265754875996,0.108083704341924,pLoF,7022945557,7,22945557,
BLOC1S5,ENSG00000188428,0.000894760030781705,0.000603815564594101,0.00615127098427015,0.136568687122283,pLoF,6008015565,6,8015565,
HECTD1,ENSG00000092148,0.00092899370877686,0.0144875342287271,0.00051411723877548,0.139575754699205,pLoF,14031100846,14,31100846,
GET4,ENSG00000239857,0.000994602973840575,0.00094527775625397,0.00103476925345003,0.229155998099816,pLoF,7000872409,7,872409,
RGS3,ENSG00000138835,0.00102440011960969,0.0742156329478475,0.00069205462645372,0.0396957859536613,pLoF,9113460139,9,113460139,
PSAP,ENSG00000197746,0.00106540817087508,0.00179851101387718,0.00142721464209439,0.113696464470487,pLoF,10071811298,10,71811298,
CLPS,ENSG00000137392,0.00109935458880384,0.00149004742975123,0.00104798180703425,0.213826886625526,pLoF,6035795021,6,35795021,
ZNF329,ENSG00000181894,0.0011324527508344,0.00613690584815463,0.000825121324741773,0.120443311937863,pLoF,19058127804,19,58127804,
MMP28,ENSG00000271447,0.00118714069712755,0.0341188453032761,0.00087787117573368,0.0813558323657745,pLoF,17035760868,17,35760868,
HEPH,ENSG00000089472,0.00128183405029403,0.00252609430899109,0.00166865458701926,0.0859991627958642,pLoF,23066162663,X,66162663,
EMP2,ENSG00000213853,0.00131345232279156,0.00275187802598609,0.00119454154980181,0.137758518664426,pLoF,16010532821,16,10532821,
NPR2,ENSG00000159899,0.00132285757412165,0.0012796382645226,0.00302820146604899,0.123480376616557,pLoF,9035792317,9,35792317,
FBRSL1,ENSG00000112787,0.00133166130214635,0.000721451447653898,0.00539059684319043,0.0139168349067338,pLoF,12132490469,12,132490469,
AC008695.1,ENSG00000273217,0.00137156638558422,0.0401716702389654,0.000759408359068514,0.0768265672653664,pLoF,5131427201,5,131427201,
SPECC1,ENSG00000128487,0.00139754948436643,0.00470955792447181,0.00184504415400821,0.0847588841303094,pLoF,17020096537,17,20096537,
RAPGEF6,ENSG00000158987,0.00139781248612736,0.0415421243061322,0.000769061212808397,0.0760585612752121,pLoF,5131427201,5,131427201,
SNRNP200,ENSG00000144028,0.00139895114905442,0.00214975640412263,0.00148426508499322,0.142525431769619,pLoF,2096269338,2,96269338,
OSBP2,ENSG00000184792,0.00140400368572235,0.00168497655538047,0.00228587420951076,0.0977949742546367,pLoF,22030693997,22,30693997,
SPTLC3,ENSG00000172296,0.00143112039992865,0.00885304914516227,0.00101269474978161,0.0915032667642817,pLoF,20013009218,20,13009218,
TUBB8,ENSG00000261456,0.00148300022072978,0.00422925149737519,0.00202003187552735,0.0848201110880747,pLoF,10000047098,10,47098,
DSCC1,ENSG00000136982,0.00166235663272729,0.0409057104913143,0.00124225935107747,0.0760509170405496,pLoF,8119831638,8,119831638,
PPIG,ENSG00000138398,0.00166513574042604,0.00159983582203405,0.00359398813876255,0.119647234665804,pLoF,2169603978,2,169603978,
GPR155,ENSG00000163328,0.00177192978403751,0.00847912548228491,0.00134738533723222,0.0762690755584411,pLoF,2174427681,2,174427681,
ST3GAL6,ENSG00000064225,0.00178873669310597,0.011010730661156,0.00108161097080761,0.0860240107594989,pLoF,3098732769,3,98732769,
EIF4A1,ENSG00000161960,0.00180196264335053,0.00118739268069845,0.00239693160772492,0.220651064148468,pLoF,17007570252,17,7570252,
EEA1,ENSG00000102189,0.00186462446353486,0.0122007459963853,0.00143506456974873,0.0829347282397468,pLoF,12092768947,12,92768947,
TMEM79,ENSG00000163472,0.0018772733265332,0.0226219680341297,0.00105237151339876,0.0626529805341677,pLoF,1156277954,1,156277954,
PCDH17,ENSG00000118946,0.00196366451066243,0.0071303927169164,0.00129227043609403,0.116010087035148,pLoF,13057632455,13,57632455,
GABRP,ENSG00000094755,0.0020085693705042,0.0158798589748813,0.00119667341523755,0.0970137826637439,pLoF,5170788540,5,170788540,
FBXO40,ENSG00000163833,0.00201072272854785,0.00634532518943953,0.00169447262324729,0.0651913906424175,pLoF,3121620484,3,121620484,
TAGAP,ENSG00000164691,0.00204498217318028,0.00248731178431438,0.00185872535101028,0.196285293929517,pLoF,6159035734,6,159035734,
MAN1B1,ENSG00000177239,0.0020721893499096,0.00369006462911114,0.0027598055158492,0.0658068087787869,pLoF,9137081977,9,137081977,
HTRA3,ENSG00000170801,0.00222266976021879,0.021284083488772,0.00132268919772138,0.0906933980062729,pLoF,4008269908,4,8269908,
KIF1B,ENSG00000054523,0.00229660543772536,0.00876495500207097,0.00182608423137087,0.111015795301139,pLoF,1010232286,1,10232286,
