feature	GeneSymbol	hgnc_id	chr	start	end
ENSG00000243485	MIR1302-10	38233.0	1	29554	31109
ENSG00000237613	FAM138A	32334.0	1	34554	36081
ENSG00000186092	OR4F5	14825.0	1	69091	70008
ENSG00000235249	OR4F29	31275.0	1	367640	368634
ENSG00000185097	OR4F16	15079.0	1	621059	622053
ENSG00000177757	FAM87B	32236.0	1	752751	755214
ENSG00000225880	LINC00115	26211.0	1	761586	762902
ENSG00000230368	FAM41C	27635.0	1	803451	812283
ENSG00000187634	SAMD11	28706.0	1	860260	879955
ENSG00000188976	NOC2L	24517.0	1	879584	894689
ENSG00000187961	KLHL17	24023.0	1	895967	901095
ENSG00000187583	PLEKHN1	25284.0	1	901877	911245
ENSG00000187642	C1orf170	28208.0	1	910579	917497
ENSG00000188290	HES4	24149.0	1	934342	935552
ENSG00000187608	ISG15	4053.0	1	948803	949920
ENSG00000188157	AGRN	329.0	1	955503	991496
ENSG00000237330	RNF223	40020.0	1	1006346	1009687
ENSG00000131591	C1orf159	26062.0	1	1017198	1051741
ENSG00000205231	TTLL10-AS1	41159.0	1	1108436	1114935
ENSG00000162571	TTLL10	26693.0	1	1109264	1133315
ENSG00000186891	TNFRSF18	11914.0	1	1138888	1142071
ENSG00000186827	TNFRSF4	11918.0	1	1146706	1149518
ENSG00000078808	SDF4	24188.0	1	1152288	1167411
ENSG00000176022	B3GALT6	17978.0	1	1167629	1170421
ENSG00000184163	FAM132A	32308.0	1	1177826	1182102
ENSG00000160087	UBE2J2	19268.0	1	1189289	1209265
ENSG00000162572	SCNN1D	10601.0	1	1215816	1227409
ENSG00000131584	ACAP3	16754.0	1	1227756	1244989
ENSG00000169972	PUSL1	26914.0	1	1243947	1247057
ENSG00000127054	CPSF3L	26052.0	1	1246965	1260071
ENSG00000224051	GLTPD1	28116.0	1	1260136	1264277
ENSG00000169962	TAS1R3	15661.0	1	1266694	1270686
ENSG00000107404	DVL1	3084.0	1	1270656	1284730
ENSG00000162576	MXRA8	7542.0	1	1288069	1297157
ENSG00000175756	AURKAIP1	24114.0	1	1309110	1310875
ENSG00000221978	CCNL2	20570.0	1	1321091	1334708
ENSG00000242485	MRPL20	14478.0	1	1337288	1342693
ENSG00000235098	ANKRD65	42950.0	1	1353800	1357149
ENSG00000205116	TMEM88B	37099.0	1	1361508	1363167
ENSG00000179403	VWA1	30910.0	1	1370241	1378262
ENSG00000215915	ATAD3C	32151.0	1	1385069	1405538
ENSG00000160072	ATAD3B	24007.0	1	1407143	1433228
ENSG00000197785	ATAD3A	25567.0	1	1447531	1470067
