Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
EXOC5,ENSG00000070367,3.96971928329215e-7,0.0425688885694538,2.71362622483728e-7,0.0517457882224698,synonymous,14057208561,14,57208561,
FAM9A,ENSG00000183304,0.0000107371496027575,0.014938860835124,0.00000846671389020948,0.0638800722855836,synonymous,23008791272,X,8791272,
ST3GAL4,ENSG00000110080,0.0000621645794585124,0.000160343232486815,0.000220356861259874,0.112356291212897,synonymous,11126405989,11,126405989,
DDX42,ENSG00000198231,0.0000699833116166726,0.00254055341360238,0.0000646121053001769,0.066692676713605,synonymous,17063786953,17,63786953,
TTC9,ENSG00000133985,0.00014055471620078,0.0614867088733786,0.0000730926773548912,0.09121909597776,synonymous,14070642033,14,70642033,
NANOS1,ENSG00000188613,0.000191465342237906,0.0408103806312239,0.000127690065371944,0.0463924269592126,synonymous,10119029730,10,119029730,
SRGAP1,ENSG00000196935,0.000192765693792007,0.0151030997378425,0.0000911524726185942,0.0607203755828433,synonymous,12063844743,12,63844743,
NMNAT1,ENSG00000173614,0.00021248924539885,0.061031549478236,0.000121140610686465,0.0911228122429203,synonymous,1009942593,1,9942593,
RGS5,ENSG00000143248,0.000243489425450827,0.00141703787036218,0.000226569912710306,0.151617302329471,synonymous,1163147249,1,163147249,
DOC2A,ENSG00000149927,0.000244815485823002,0.0040034314599775,0.000221147719859149,0.062927025773436,synonymous,16030000701,16,30000701,
SNW1,ENSG00000100603,0.000282414942342268,0.0105344888146663,0.000201783277143597,0.0723678167234414,synonymous,14077715718,14,77715718,
SNCAIP,ENSG00000064692,0.000297433528552382,0.0150503303573599,0.000174547579133044,0.0263919628950144,synonymous,5122391082,5,122391082,
SMARCAL1,ENSG00000138375,0.000339937286970793,0.00512862020386184,0.000319512618977891,0.0551184652897232,synonymous,2216414647,2,216414647,
KCTD13,ENSG00000174943,0.00034121642462881,0.0330201240327492,0.000202824967558413,0.0654341173759772,synonymous,16029901341,16,29901341,
POU2AF1,ENSG00000110777,0.000369584903811226,0.00236695301010947,0.000410533950353953,0.0944856450726749,synonymous,11111354177,11,111354177,
HHEX,ENSG00000152804,0.000373297038435361,0.00192279976753662,0.000290722847893998,0.115209485654597,synonymous,10092689904,10,92689904,
CDK5,ENSG00000164885,0.000375891583384136,0.0246285417954299,0.000196473855403334,0.0879803027301423,synonymous,7151048816,7,151048816,
PRKRIP1,ENSG00000128563,0.000381929354224098,0.0136641887778651,0.000207986443075847,0.10191298187752,synonymous,7102366020,7,102366020,
STRIP2,ENSG00000128578,0.000394273706209036,0.165565853568521,0.000180451061503994,0.0315202336836185,synonymous,7129434340,7,129434340,
ATP5MG,ENSG00000167283,0.000404022751524735,0.000425042175978607,0.000995354944906213,0.117277847121638,synonymous,11118401571,11,118401571,
TEKT1,ENSG00000167858,0.000426757844921966,0.00189418222940074,0.000718167880195741,0.0973337121881621,synonymous,17006799941,17,6799941,
CABP7,ENSG00000100314,0.000455645557648765,0.00563335160151401,0.000347263732754288,0.0981147231744306,synonymous,22029720372,22,29720372,
LRP1,ENSG00000123384,0.000506215920405673,0.00193843135927962,0.00136168840716788,0.0135719766938221,synonymous,12057128887,12,57128887,
C2orf73,ENSG00000177994,0.000552073920895624,0.000461358104561382,0.011405539774374,0.0539572515030924,synonymous,2054330901,2,54330901,
ACSL4,ENSG00000068366,0.000564160863716689,0.0120154514218073,0.000333378568406761,0.0828799456152205,synonymous,23109643966,X,109643966,
