Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
STK11IP,ENSG00000144589,0.00000148594359128396,0.0000833279496479378,0.0000018944695845402,0.09570906894258,pLoF,2219597822,2,219597822,
SDHAF3,ENSG00000196636,0.0000346363918788395,0.0000188052757958967,0.000128125121103939,0.25085177194144,pLoF,7097117614,7,97117614,
NOTCH3,ENSG00000074181,0.0000529155377119173,0.0121255452086608,0.0000405292595764273,0.144171299162909,pLoF,19015160631,19,15160631,
MDN1,ENSG00000112159,0.0000608096080398912,0.012884448554231,0.0000332261709414805,0.082707268076524,pLoF,6089637663,6,89637663,
CNTRL,ENSG00000119397,0.000063297178421462,0.0023229709432887,0.0000565822294837925,0.0659557446235735,pLoF,9121088311,9,121088311,
NUP210,ENSG00000132182,0.0000850038519263352,0.022359869186641,0.0000376931078697185,0.0729879394115313,pLoF,3013317638,3,13317638,
LAMB3,ENSG00000196878,0.0000951997468578991,0.0000742793075561021,0.00248470374257859,0.0825007296427412,pLoF,1209609877,1,209609877,
HEATR1,ENSG00000119285,0.000199458287290177,0.000271878657590041,0.000308896259767488,0.186551417998732,pLoF,1236544693,1,236544693,
TPI1,ENSG00000111669,0.000214789540284976,0.00749195144713122,0.000180170170630989,0.15958768119398,pLoF,12006862410,12,6862410,
PIEZO2,ENSG00000154864,0.000225826750506308,0.0238222169994661,0.000108264946548475,0.0897550942012906,pLoF,18010671425,18,10671425,
GOLGA1,ENSG00000136935,0.000240299316148995,0.043487073206862,0.000153682302610481,0.102467265799656,pLoF,9124873604,9,124873604,
SDK2,ENSG00000069188,0.000248064581538032,0.0214085201807274,0.000115061772552272,0.127850342786788,pLoF,17073338556,17,73338556,
ME3,ENSG00000151376,0.000255030910761178,0.0746937388503672,0.000158488220056707,0.0842652214976046,pLoF,11086441179,11,86441179,
HSD17B2,ENSG00000086696,0.000330493953037192,0.0111475111852224,0.000296518779387411,0.0567009234380565,pLoF,16082035343,16,82035343,
CINP,ENSG00000100865,0.0003444648153893,0.00363484120554913,0.000297749581051665,0.183798127450003,pLoF,14102348482,14,102348482,
TRPV5,ENSG00000127412,0.000429460088886335,0.0698644462680748,0.000206685489162028,0.0868296629166131,pLoF,7142908421,7,142908421,
LEMD3,ENSG00000174106,0.000431527997828862,0.000423172438377417,0.000485378123647351,0.256219443046451,pLoF,12065169503,12,65169503,
PLCD4,ENSG00000115556,0.000434728191282208,0.066205634635097,0.000205822311598491,0.0654408271823562,pLoF,2218615634,2,218615634,
PRB3,ENSG00000197870,0.000495131023274142,0.00152254189017187,0.000466607907770755,0.11891525951667,pLoF,12011267110,12,11267110,
ATXN7,ENSG00000163635,0.000498909998764896,0.0112888094671774,0.000394738530471006,0.100629356495606,pLoF,3063912497,3,63912497,
FAM131A,ENSG00000175182,0.00051130471920291,0.000485546767709177,0.000525415464420087,0.25151187646879,pLoF,3184334629,3,184334629,
STAP1,ENSG00000035720,0.000533567707788896,0.0100176005440616,0.000270434318825341,0.15177625510853,pLoF,4067558702,4,67558702,
PREPL,ENSG00000138078,0.000538608165969734,0.00200520562076956,0.000484809413577758,0.114668240714278,pLoF,2044313798,2,44313798,
APAF1,ENSG00000120868,0.000553307444600803,0.00865525552624846,0.000345256516147363,0.113143081899107,pLoF,12098644438,12,98644438,
DLG1,ENSG00000075711,0.000593046823048615,0.00263156451074642,0.000398462203446193,0.194211240803956,pLoF,3197044590,3,197044590,
SUCLG1,ENSG00000163541,0.000626091464459133,0.00899577565591758,0.00034196828230304,0.155067102057081,pLoF,2084423667,2,84423667,
RELN,ENSG00000189056,0.000640235707557002,0.013414609903928,0.000323606834421786,0.142105426617585,pLoF,7103472773,7,103472773,
IRS2,ENSG00000185950,0.000648409541590178,0.00114880771267056,0.000549805959118244,0.221859805357942,pLoF,13109756255,13,109756255,
GFY,ENSG00000261949,0.000675017111623988,0.00538340008051152,0.000566398923379396,0.123099483996793,pLoF,19049422370,19,49422370,
NXPE3,ENSG00000144815,0.000684497567726261,0.00368506312580996,0.000600282940242503,0.129024606437314,pLoF,3101785538,3,101785538,
UHMK1,ENSG00000152332,0.000686200026684847,0.00114763527782158,0.000582051872191292,0.221878550200257,pLoF,1162497718,1,162497718,
GHITM,ENSG00000165678,0.000689131336736315,0.000356622087465341,0.00362623640925741,0.142902249834186,pLoF,10084141432,10,84141432,
GABRG1,ENSG00000163285,0.0006910552768018,0.0155229479191086,0.000360138174045455,0.137716576802524,pLoF,4046040906,4,46040906,
CMAS,ENSG00000111726,0.000737874331293908,0.00105025210050602,0.000695810291353682,0.225002642294779,pLoF,12022046201,12,22046201,
PADI1,ENSG00000142623,0.000810211534914784,0.0012133835136775,0.00106007032241018,0.0807859929865713,pLoF,1017205166,1,17205166,
ZNF205,ENSG00000122386,0.000841366579028002,0.00792937219963608,0.000485124497164535,0.158981327429398,pLoF,16003113335,16,3113335,
NUP160,ENSG00000030066,0.000853905768051777,0.00284843644872368,0.000743199721945365,0.136575416582477,pLoF,11047779073,11,47779073,
ZNF468,ENSG00000204604,0.000869726383575742,0.00114102579813569,0.000830925827514539,0.425929993129726,pLoF,19052839957,19,52839957,
AHCYL2,ENSG00000158467,0.000870353240424948,0.00133414465016446,0.000755610877799184,0.216797137322909,pLoF,7129224933,7,129224933,
MX1,ENSG00000157601,0.000871612374206743,0.0264552405975295,0.000571097363457507,0.0688220054055786,pLoF,21041431993,21,41431993,
CARD6,ENSG00000132357,0.000909742157249482,0.00317268188951625,0.000847032156891192,0.134213008331939,pLoF,5040841315,5,40841315,
MOB1A,ENSG00000114978,0.000913095062464953,0.0148587332581879,0.000585564579730802,0.137218594046783,pLoF,2074147735,2,74147735,
GRM2,ENSG00000164082,0.00091464808928321,0.00506648953085909,0.000576250653496202,0.17304306882189,pLoF,3051703630,3,51703630,
KCNH4,ENSG00000089558,0.000940421157577198,0.00166882729356588,0.000734365292818451,0.209348495146864,pLoF,17042159968,17,42159968,
OR4C46,ENSG00000185926,0.000969693362261381,0.023449209215992,0.000462139836877151,0.124733690048918,pLoF,11054603056,11,54603056,
DNASE1,ENSG00000213918,0.000975207017627877,0.00739886309366955,0.000690374231414825,0.0780479968365168,pLoF,16003655250,16,3655250,
NHLRC2,ENSG00000196865,0.00100908838894609,0.00653493942701089,0.000630876306548345,0.165023585528338,pLoF,10113849669,10,113849669,
TMEM45B,ENSG00000151715,0.00100945027598864,0.00389002905621982,0.000638907169951852,0.104221965175533,pLoF,11129815674,11,129815674,
SNX11,ENSG00000002919,0.00105315366010428,0.000932538932441718,0.00216900499964034,0.160898504901461,pLoF,17048111010,17,48111010,
MCM10,ENSG00000065328,0.00106748623807063,0.0340003721874441,0.000523142764204509,0.111168242119295,pLoF,10013156692,10,13156692,
USP42,ENSG00000106346,0.0010718770642677,0.000763259136311034,0.00372086030013841,0.130433702148823,pLoF,7006111029,7,6111029,
FYN,ENSG00000010810,0.00109097353097964,0.0012901190031418,0.00104081965758396,0.416451106093954,pLoF,6111661663,6,111661663,
INHBC,ENSG00000175189,0.00109111012027607,0.00499604994572245,0.000979322269432426,0.123183615722802,pLoF,12057430439,12,57430439,
PER2,ENSG00000132326,0.00113873076824622,0.0320784820912179,0.000572662459087159,0.110855997181192,pLoF,2238239045,2,238239045,
CSGALNACT1,ENSG00000147408,0.00116043660227316,0.00110135245589016,0.00226792493424666,0.157111903134281,pLoF,8019405677,8,19405677,
PERM1,ENSG00000187642,0.00120757947023997,0.0148727782821306,0.0006497194362165,0.0644330926459484,pLoF,1000970205,1,970205,
TGFBR3,ENSG00000069702,0.00121580672637334,0.00872298799961557,0.000720425996216467,0.155184350031612,pLoF,1091683678,1,91683678,
SLC22A18,ENSG00000110628,0.00124641002424219,0.00199365915129845,0.00165806578895111,0.0969095910330659,pLoF,11002899256,11,2899256,
ZNF347,ENSG00000197937,0.00126015125411916,0.0209981914231328,0.000960890707174866,0.06278636311746,pLoF,19053140240,19,53140240,
AKR7L,ENSG00000211454,0.00127001022812834,0.0129489010925234,0.00101940802784384,0.140363558686282,pLoF,1019262130,1,19262130,
KDM5B,ENSG00000117139,0.00129262735175295,0.0729370730388984,0.000603563588202682,0.0859936532966905,pLoF,1202728943,1,202728943,
AMOT,ENSG00000126016,0.00132844053234271,0.00218274228883331,0.00125138843150874,0.37978723170254,pLoF,23112778520,X,112778520,
ARPC4,ENSG00000241553,0.00135662891823141,0.00496758019457422,0.0012168288314458,0.173184153020613,pLoF,3009789442,3,9789442,
ITFG2,ENSG00000111203,0.00141595980664566,0.0127829288065484,0.000794140000016097,0.143011509054689,pLoF,12002812695,12,2812695,
HMSD,ENSG00000221887,0.00141812479358938,0.00399416427549681,0.00097091303181629,0.180683256004722,pLoF,18063953407,18,63953407,
LACTB,ENSG00000103642,0.00142902530261391,0.0150113938731157,0.00109659238608217,0.136372281869105,pLoF,15063121754,15,63121754,
MYO9B,ENSG00000099331,0.00143103630418795,0.00868575056396681,0.000837817209375924,0.152755233200179,pLoF,19017073213,19,17073213,
TYW3,ENSG00000162623,0.00143119822670545,0.00422188223568931,0.00104062569973218,0.178906355759657,pLoF,1074733111,1,74733111,
DSEL,ENSG00000171451,0.00143146081716172,0.00948377627857178,0.00108091349199435,0.109800290599908,pLoF,18067510906,18,67510906,
ELAVL3,ENSG00000196361,0.00145038541599241,0.00189371487700485,0.00137544281738056,0.389094098292275,pLoF,19011446327,19,11446327,
MRPS30,ENSG00000112996,0.00145985370660839,0.00110230133481348,0.00632199274880585,0.104736712869546,pLoF,5044808800,5,44808800,
SLC35B1,ENSG00000121073,0.00146729611278962,0.00146463410315667,0.00142426545766117,0.213837142572436,pLoF,17049701415,17,49701415,
CPD,ENSG00000108582,0.00147357997888919,0.00930524468317651,0.000910472051501854,0.153612485637925,pLoF,17030378795,17,30378795,
TPRN,ENSG00000176058,0.00148712752247537,0.000989985788512282,0.00604784135709369,0.0915134003820966,pLoF,9137187360,9,137187360,
PUM3,ENSG00000080608,0.00149159505480712,0.00107613991773681,0.112502778278535,0.0633482312539745,pLoF,9002804247,9,2804247,
ECE2,ENSG00000145194,0.00152697473552699,0.00362089094719509,0.00172751394985271,0.0872646813928216,pLoF,3184275972,3,184275972,
PARP9,ENSG00000138496,0.00154016374269983,0.00824048650074083,0.00132167065204181,0.156252742819535,pLoF,3122528256,3,122528256,
TPD52L2,ENSG00000101150,0.00158140359089221,0.0138094858304758,0.00128126281138208,0.139135785041833,pLoF,20063861434,20,63861434,
DNMT3B,ENSG00000088305,0.0016143860103609,0.00352145594122466,0.00148854535017551,0.118496183934247,pLoF,20032780001,20,32780001,
NOLC1,ENSG00000166197,0.0016212779970981,0.0090951007629213,0.000976598637945192,0.153475744466652,pLoF,10102147176,10,102147176,
CHD4,ENSG00000111642,0.00163591253766504,0.00201072876924502,0.0015787225382099,0.20163125683248,pLoF,12006566043,12,6566043,
EEF1AKMT4-ECE2,ENSG00000284917,0.00164507929615731,0.00406350413225565,0.00180778388414138,0.0855852970282405,pLoF,3184244701,3,184244701,
TCTN2,ENSG00000168778,0.0016515774959579,0.115571570064486,0.000886559996778447,0.0697823876870345,pLoF,12123671165,12,123671165,
NUFIP2,ENSG00000108256,0.00166419271599239,0.00245206848153079,0.00157249038642193,0.371070133036219,pLoF,17029251960,17,29251960,
ADGRF2,ENSG00000164393,0.00167178116931499,0.00199186764135684,0.0014809697487328,0.138746716992951,pLoF,6047656439,6,47656439,
SCFD1,ENSG00000092108,0.00169425119297928,0.0227542198062769,0.00120541721899514,0.224877946697649,pLoF,14030622216,14,30622216,
FECH,ENSG00000066926,0.00171129314435359,0.0554705594527819,0.00103005230949271,0.0935749116815253,pLoF,18057550613,18,57550613,
