Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
AQP1,ENSG00000240583,0.000025422479826509,0.0334116091778742,0.00000958737638678819,0.0232114756286975,synonymous,7030911792,7,30911792,
ADI1,ENSG00000182551,0.0000495479804288879,0.000470084016550132,0.000047734500165153,0.0503238041368317,synonymous,2003498807,2,3498807,
SAA1,ENSG00000173432,0.00019359986555334,0.0236758145869085,0.000115723562004622,0.0710004122041677,synonymous,11018261936,11,18261936,
PROS1,ENSG00000184500,0.000207192958415092,0.0105120098286852,0.000131461566395541,0.0402036015336644,synonymous,3093874158,3,93874158,
ACCS,ENSG00000110455,0.000209105968471901,0.637914919537436,0.0000854469998106122,0.00805005824827562,synonymous,11044067540,11,44067540,
ZCCHC13,ENSG00000187969,0.000213635169410864,0.00201836170000813,0.000196673663409141,0.061398976901334,synonymous,23074304161,X,74304161,
PRKRIP1,ENSG00000128563,0.000227372351690791,0.0002985940812954,0.000718496361544751,0.0724814643150431,synonymous,7102366020,7,102366020,
THAP8,ENSG00000161277,0.00027706800493088,0.0022797035377482,0.000348605833046967,0.0543353435627636,synonymous,19036032144,19,36032144,
ZNF581,ENSG00000171425,0.000286395923552507,0.00839383989159559,0.000235748538115477,0.0379104615527978,synonymous,19055635602,19,55635602,
ZNF628,ENSG00000197483,0.000361179256385347,0.000215237078654118,0.0236019354381488,0.0165327687745901,synonymous,19055481075,19,55481075,
KALRN,ENSG00000160145,0.000369325449082858,0.000225988231099317,0.0597276925720126,-0.0139299443428341,synonymous,3124094781,3,124094781,
UQCR10,ENSG00000184076,0.000413790416610049,0.000368130491350205,0.00196185426594186,0.142557876631397,synonymous,22029767320,22,29767320,
UBE2D4,ENSG00000078967,0.000429515040705208,0.0556806308043789,0.000205568593068972,0.0561064763183007,synonymous,7043926434,7,43926434,
MIS18BP1,ENSG00000129534,0.000519797832406854,0.00100742631546602,0.00162443319146277,0.0383361150158149,synonymous,14045198622,14,45198622,
SIRT3,ENSG00000142082,0.000524803947918429,0.00357514081853683,0.000519843093099492,0.0313385201569166,synonymous,11000210030,11,210030,
DUSP1,ENSG00000120129,0.00054256293336119,0.000749865285150308,0.00277546654465999,0.0462589341125349,synonymous,5172763104,5,172763104,
CBLC,ENSG00000142273,0.000546837333753381,0.0138180875275693,0.000301793650534954,0.0299077815282078,synonymous,19044777839,19,44777839,
CACNA1S,ENSG00000081248,0.000561487165989583,0.000287753808449476,0.0141591349490698,-0.0146103943553103,synonymous,1201039719,1,201039719,
SETD1A,ENSG00000099381,0.000565661557017205,0.239192981806399,0.000260447156767984,0.00433670019714092,synonymous,16030953116,16,30953116,
RDH16,ENSG00000139547,0.000584665896141146,0.263714615642262,0.000292450521911403,0.0215840082416186,synonymous,12056951963,12,56951963,
TAS2R3,ENSG00000127362,0.000587920168783174,0.00192076711924649,0.000517965004027232,0.026221190397384,synonymous,7141763992,7,141763992,
PPP1R21,ENSG00000162869,0.000597289252935007,0.0181115961874199,0.000379736712787127,0.0289083527077278,synonymous,2048440909,2,48440909,
PTPN22,ENSG00000134242,0.000606724892226795,0.000529185439872126,0.00331337355741423,0.0350403887042227,synonymous,1113811558,1,113811558,
NDUFA11,ENSG00000174886,0.000631696057310283,0.000762297898844078,0.00164267258485917,0.0481638002125313,synonymous,19005892786,19,5892786,
LMNA,ENSG00000160789,0.000638415985439678,0.0344900700434728,0.000444936692661768,-0.0115621344804787,synonymous,1156114870,1,156114870,
ASPA,ENSG00000108381,0.000669453703497469,0.000465678467217678,0.00599850951998526,0.0526271241816983,synonymous,17003471342,17,3471342,
PDSS1,ENSG00000148459,0.000693309180887502,0.174019040357199,0.000436189273457899,0.0214183131777818,synonymous,10026697597,10,26697597,
ADAMTSL5,ENSG00000185761,0.000695722799610943,0.0278863237883391,0.000521331039924799,0.0137426728825564,synonymous,19001505898,19,1505898,
SDC1,ENSG00000115884,0.000728297117623677,0.0180358474890162,0.000547222687604543,0.0316224057883598,synonymous,2020202682,2,20202682,
MEST,ENSG00000106484,0.000743644754665373,0.000553164217723667,0.00526793628863564,0.0334253457961267,synonymous,7130492214,7,130492214,
C9orf50,ENSG00000179058,0.000753220651007913,0.00125387779724351,0.000907765395874782,0.0156588701235611,synonymous,9129612292,9,129612292,
NSG1,ENSG00000168824,0.000758742643710897,0.00068179882729269,0.00350861506948785,0.062445671016332,synonymous,4004387582,4,4387582,
GHITM,ENSG00000165678,0.000790682523677089,0.00694017521600832,0.0007128836654412,0.0269333492059865,synonymous,10084141432,10,84141432,
POLE,ENSG00000177084,0.000800577479116105,0.202190226550693,0.000345305227804182,0.00545323257042099,synonymous,12132618763,12,132618763,
ZNF18,ENSG00000154957,0.000806586889521732,0.000397258587172988,0.0185347106403297,0.0430872690448255,synonymous,17011977854,17,11977854,
DDX21,ENSG00000165732,0.000831149986014079,0.0225774405752761,0.000459142195546214,0.0263165668862071,synonymous,10068956146,10,68956146,
ZEB2,ENSG00000169554,0.000855163257162173,0.313555674556421,0.000398904809209566,0.00556400553594844,synonymous,2144389362,2,144389362,
PACS1,ENSG00000175115,0.000930773293257747,0.118274245141971,0.000417106051246119,0.0130866077375457,synonymous,11066067887,11,66067887,
PVR,ENSG00000073008,0.000992583256841706,0.65170389697021,0.000574047504581232,0.00583982414438754,synonymous,19044644028,19,44644028,
MED8,ENSG00000159479,0.00106616490024625,0.000494504759907866,0.0602059135077626,0.0547385685125793,synonymous,1043384329,1,43384329,
PHACTR4,ENSG00000204138,0.0011114742644579,0.000706691357450162,0.00626730560345579,0.0269274577913361,synonymous,1028438171,1,28438171,
TXNRD1,ENSG00000198431,0.00118920945533274,0.000741889262793616,0.0133225905450225,0.0432025888559412,synonymous,12104215723,12,104215723,
SCEL,ENSG00000136155,0.00122339293229945,0.0549306716893234,0.000611308216375117,0.0216421433796934,synonymous,13077555833,13,77555833,
TTYH3,ENSG00000136295,0.00123882001987752,0.907428971456275,0.000696266067332973,-0.000892998760688158,synonymous,7002632044,7,2632044,
